Rk,Player,G,BLK,3P,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,Player-additional
1,Draymond Green,397,415,361,2012-13,2016-17,22-26,397,249,2,10627,1283,2950,922,1868,361,1082,639,920,490,2194,2684,1627,540,415,718,1100,3566,.435,.494,.334,.695,.531,.496,F,GSW,greendr01
2,Shane Battier,396,418,389,2001-02,2005-06,23-27,396,279,0,12782,1503,3307,1114,2287,389,1020,765,1028,732,1176,1908,684,507,418,444,1033,4160,.454,.487,.381,.744,.553,.513,F,MEM,battish01
3,Jerami Grant,383,451,274,2014-15,2018-19,20-24,383,145,0,9233,1180,2558,906,1737,274,821,735,1123,368,1132,1500,396,219,451,360,877,3369,.461,.522,.334,.654,.552,.515,F,OKCPHI,grantje01
4,Shawn Marion,371,446,304,1999-00,2003-04,21-25,371,358,1,13816,2685,5833,2381,4978,304,855,976,1163,947,2546,3493,803,671,446,637,949,6650,.460,.478,.356,.839,.524,.486,F,PHO,mariosh01
5,Karl-Anthony Towns,358,523,507,2015-16,2019-20,20-24,358,358,2,12307,3063,5741,2556,4461,507,1280,1480,1781,1121,3088,4209,992,278,523,904,1180,8113,.534,.573,.396,.831,.622,.578,C-F,MIN,townska01
6,Myles Turner,342,707,261,2015-16,2019-20,19-23,342,309,0,9689,1662,3405,1401,2673,261,732,768,1000,487,1789,2276,421,243,707,453,967,4353,.488,.524,.357,.768,.566,.526,C-F,IND,turnemy01
7,Raef LaFrentz,318,707,274,1998-99,2002-03,22-26,318,285,0,9345,1525,3254,1251,2517,274,737,546,785,677,1571,2248,355,178,707,342,1165,3870,.469,.497,.372,.696,.538,.511,F-C,DALDEN,lafrera01
8,Kristaps Porziņģis,286,551,522,2015-16,2020-21,20-25,286,285,1,8905,1929,4375,1407,2929,522,1446,961,1188,487,1751,2238,418,197,551,475,890,5341,.441,.480,.361,.809,.545,.501,F-C,DALNYK,porzikr01
9,Jaren Jackson Jr.,267,558,441,2018-19,2022-23,19-23,267,258,1,7308,1550,3325,1109,2072,441,1253,850,1076,372,1104,1476,300,242,558,449,993,4391,.466,.535,.352,.790,.578,.532,F,MEM,jacksja02
10,Joel Embiid,260,443,296,2016-17,2020-21,22-26,260,260,4,7943,2133,4384,1837,3483,296,901,1894,2343,618,2318,2936,796,208,443,895,829,6456,.487,.527,.329,.808,.596,.520,C,PHI,embiijo01
11,Victor Wembanyama,129,473,290,2023-24,2025-26,20-22,129,129,1,4049,1070,2264,780,1409,290,855,522,640,267,1149,1416,490,153,473,452,302,2952,.473,.554,.339,.816,.580,.537,C-F,SAS,wembavi01
