Rk,Lineup,MP,PTS,FG%,3P,3PA,3P%,eFG%,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV
1,G. Antetokounmpo | A. Green | T. Prince | R. Rollins | M. Turner,10:12,61.9,0.286,4.8,-14.3,0.357,0.317,33.3,9.5,28.6,19,9.5,0,4.8,4.8
2,A. Green | B. Portis | R. Rollins | G. Trent | M. Turner,8:31,34.3,0.096,4.9,-25.2,0.378,0.121,11.1,5.6,14.1,8.6,-1.3,-5.6,-5.2,-0.7
3,C. Anthony | G. Harris | B. Portis | J. Sims | G. Trent,8:11,-7.6,0.137,-6.2,-20.4,0.375,0.115,-13.4,7,1.4,5.3,-3.9,-1.1,9.5,24.6
4,G. Antetokounmpo | C. Anthony | A. Coffey | K. Kuzma | B. Portis,14:02,33.2,0.091,7.7,-5.7,0.21,0.12,-10.3,0.7,5.8,3.6,15.6,3.4,0,-3.3
5,G. Antetokounmpo | A. Green | K. Kuzma | R. Rollins | M. Turner,52:24:00,46.8,0.235,14.1,-4.2,0.369,0.321,-4.5,-7.4,11.8,2.3,12.4,3.7,2.8,-1.7
6,G. Antetokounmpo | C. Anthony | G. Harris | B. Portis | G. Trent,15:20,-52.5,-0.119,-4.6,-7,-0.064,-0.133,-9.2,-0.7,2.8,0,-2.8,-2.5,3.6,11.9
7,G. Antetokounmpo | C. Anthony | T. Prince | G. Trent | M. Turner,14:01,37.5,0.199,9.4,9.4,0.17,0.246,-21.9,-6.3,6.3,0,21.9,0,-3.1,-3.1
8,G. Antetokounmpo | C. Anthony | A. Green | K. Kuzma | B. Portis,15:30,18.1,0.161,-2.4,-7.9,0.056,0.156,7.6,-11.5,8.1,-1.6,-10.6,-7,6.1,1
9,G. Antetokounmpo | A. Green | R. Rollins | G. Trent | M. Turner,144:33:00,-6.9,0.024,2.5,2.6,0.039,0.045,-3.8,-4,-0.9,-2.4,-1.5,-3.4,2.3,4.5
10,C. Anthony | A. Green | K. Kuzma | B. Portis | T. Prince,9:52,46.4,0.118,30.7,31.4,0.25,0.294,-13.8,-9.5,3.8,-2.4,16.4,-5.2,0,-9
11,K. Kuzma | B. Portis | R. Rollins | G. Trent | M. Turner,9:16,-16.7,-0.134,-5.6,0,-0.2,-0.174,11.1,0,-5.6,-2.8,5.6,5.6,5.6,-16.7
12,G. Antetokounmpo | K. Kuzma | B. Portis | R. Rollins | G. Trent,8:16,6.6,0.076,-5.5,-27.9,0.028,0.042,-34.2,-4.8,-2.6,-3,-5.1,5.9,-12.5,-11.8
13,C. Anthony | A. Coffey | K. Kuzma | B. Portis | T. Prince,29:17:00,-20.7,0.055,-7,-14.3,-0.085,0.031,-3.8,-10.5,2.3,-4.3,-10.7,-5,3.5,4.9
14,A. Coffey | K. Kuzma | B. Portis | T. Prince | R. Rollins,12:30,-32.2,-0.107,-19.7,-18.6,-0.214,-0.235,-9.3,0.3,-12.9,-5.4,-4.6,2.9,-4,-2.9
15,G. Antetokounmpo | A. Green | B. Portis | R. Rollins | G. Trent,9:41,-45.5,-0.214,-4.5,9.1,-0.238,-0.26,-13.6,4.5,-18.2,-6.8,-22.7,4.5,0,-4.5
16,G. Antetokounmpo | K. Kuzma | R. Rollins | G. Trent | M. Turner,11:22,-31.7,-0.221,8.5,29.8,0.023,-0.175,-7,-3.7,-25.7,-14.3,0.8,7.8,-4.3,-7.7
17,G. Antetokounmpo | A. Green | K. Kuzma | B. Portis | R. Rollins,10:31,34.5,0.059,20.8,18.5,0.556,0.167,0.6,-24.4,-6,-15.6,0,14.3,1.8,-14.9
18,A. Green | K. Kuzma | R. Rollins | G. Trent | M. Turner,55:20:00,-25.8,-0.107,5,11.7,0.019,-0.086,-19.1,-6.9,-24.6,-15.9,-9.6,3.5,-1.7,-6.1
19,C. Anthony | K. Kuzma | B. Portis | T. Prince | R. Rollins,13:50,4.2,0.062,-2.7,-0.9,-0.064,0.043,-19.2,-13.8,-20.6,-16.1,5.5,10.1,6.9,-13.5
20,G. Antetokounmpo | C. Anthony | A. Green | G. Trent | M. Turner,8:23,-58.8,-0.099,5.9,17.6,0.05,-0.063,-29.4,-17.6,-17.6,-17.6,0,-11.8,5.9,11.8
