Year,ORtgDiff,DRtgDiff,NRtgDiff,TopORtg,TopDRtg,TopNRtg
2015-16,1.42,2.45,0.63,115.18,99.55,11.49
2016-17,0.67,0.32,4.13,116.26,104.25,11.69
2017-18,0.88,0.09,0.61,115.48,104.56,8.64
2018-19,0.38,0.35,2.08,116.63,105.76,8.47
2019-20,2.84,2.49,3.21,117.50,103.36,9.62
2020-21,0.49,0.67,3.22,118.91,107.84,9.48
2021-22,0.39,0.03,0.18,117.68,107.68,7.66
2022-23,0.99,0.38,1.08,119.97,111.69,6.70
2023-24,2.38,2.28,4.40,124.23,109.98,11.71
2024-25,1.05,1.93,3.18,121.88,107.61,12.72
2025-26,0.03,7.09,5.48,124.54,103.95,16.96
