Rk,Player,PTS/100 Poss.,MP/G,G,USG%,TS%,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
1,Darryn Peterson,47.0,27.2,10,35.8,.629,2025-26,Kansas,10,10,1.7,124,99,1.1,0.6,.251,11.9,4.0,16.0,30.6,2.7,14.1,9.2,16.8,2.2,2.9,8.5,35.8,G,FR,darryn-peterson-1
2,Bol Bol,43.1,29.8,9,33.4,.632,2018-19,Oregon,9,9,1.8,118,87,1.1,0.8,.271,9.1,3.9,13.0,37.5,8.7,29.0,19.2,9.6,1.6,12.4,10.7,33.4,C,FR,bol-bol-1
3,Mike Daum,42.7,20.8,34,31.9,.656,2015-16,South Dakota State,34,3,5.2,129,98,3.9,1.3,.292,9.0,0.3,9.3,34.5,11.7,21.7,16.7,9.5,1.4,1.7,12.4,31.9,F,FR,mike-daum-1
4,Cameron Boozer,41.9,32.2,20,30.2,.664,2025-26,Duke,20,20,5.8,139,89,3.8,2.0,.359,13.7,6.5,20.2,35.8,12.6,21.6,17.4,26.8,3.2,2.3,11.1,30.2,F,FR,cameron-boozer-3
5,Jao Ituka,41.4,22.0,28,35.8,.602,2021-22,Marist,28,16,3.0,112,103,2.3,0.8,.196,4.1,-0.2,3.9,28.2,3.6,12.7,8.2,19.0,1.8,1.3,15.7,35.8,G,FR,jao-ituka-1
6,AJ Dybantsa,41.2,32.1,20,32.6,.615,2025-26,Brigham Young,20,20,4.0,125,101,2.7,1.3,.251,9.0,3.3,12.3,29.0,4.9,17.0,11.3,22.0,2.3,1.5,12.7,32.6,F,FR,aj-dybantsa-1
7,Zion Williamson,41.2,30.0,33,28.6,.702,2018-19,Duke,33,33,8.3,133,87,5.5,2.8,.335,13.4,6.7,20.1,40.8,12.7,18.0,15.5,14.9,3.9,5.8,12.8,28.6,F,FR,zion-williamson-1
8,Trae Young,40.4,35.4,32,37.1,.585,2017-18,Oklahoma,32,32,5.7,115,108,4.6,1.1,.201,9.7,1.3,11.1,28.3,1.3,10.0,5.8,48.6,2.5,0.7,18.2,37.1,G,FR,trae-young-1
9,Brice Sensabaugh,40.3,24.5,33,34.0,.587,2022-23,Ohio State,33,21,3.8,114,104,2.8,1.0,.187,7.8,0.8,8.6,26.4,6.2,18.9,12.8,11.0,1.3,1.7,12.8,34.0,F,FR,brice-sensabaugh-1
10,Antoine Davis,39.7,37.4,30,36.4,.539,2018-19,Detroit Mercy,30,29,3.1,109,119,3.4,-0.2,.112,5.8,-3.6,2.2,22.4,2.1,7.5,4.7,24.0,1.4,0.0,12.0,36.4,G,FR,antoine-davis-2
11,James Daniel,39.3,31.8,28,35.6,.552,2013-14,Howard,28,26,3.0,107,108,2.1,0.9,.133,4.2,-1.2,3.0,20.7,1.9,7.2,4.5,16.2,2.5,0.1,14.9,35.6,G,FR,james-daniel-1
