Rk,Player▲,PTS/G,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player▲-additional
1,Bradley Beal,30.5,2019-20,26,WAS,57,57,0,2053,593,1303,423,822,170,481,385,457,52,190,242,347,71,23,194,126,1741,.455,.515,.353,.842,.579,.520,G,bealbr01
2,Bradley Beal,31.3,2020-21,27,WAS,60,60,1,2147,670,1382,540,1009,130,373,408,459,72,211,283,265,69,22,187,140,1878,.485,.535,.349,.889,.593,.532,G,bealbr01
3,Kobe Bryant,30.0,2002-03,24,LAL,82,82,1,3401,868,1924,744,1600,124,324,601,713,106,458,564,481,181,67,288,218,2461,.451,.465,.383,.843,.550,.483,G-F,bryanko01
4,Kobe Bryant,35.4,2005-06,27,LAL,80,80,1,3277,978,2173,798,1655,180,518,696,819,71,354,425,360,147,30,250,233,2832,.450,.482,.347,.850,.559,.491,G-F,bryanko01
5,Kobe Bryant,31.6,2006-07,28,LAL,77,77,1,3140,813,1757,676,1359,137,398,667,768,75,364,439,413,111,36,255,205,2430,.463,.497,.344,.868,.580,.502,G-F,bryanko01
6,Stephen Curry,30.1,2015-16,27,GSW,79,79,1,2700,805,1598,403,712,402,886,363,400,68,362,430,527,169,15,262,161,2375,.504,.566,.454,.908,.669,.630,G,curryst01
7,Stephen Curry,32.0,2020-21,32,GSW,63,63,1,2152,658,1365,321,564,337,801,362,395,29,316,345,363,77,8,213,119,2015,.482,.569,.421,.916,.655,.605,G,curryst01
8,Luka Dončić,32.4,2022-23,23,DAL,66,66,1,2391,719,1449,534,908,185,541,515,694,54,515,569,529,90,33,236,166,2138,.496,.588,.342,.742,.609,.560,G-F,doncilu01
9,Luka Dončić,33.9,2023-24,24,DAL,70,70,1,2624,804,1652,520,908,284,744,478,608,59,588,647,686,99,38,282,149,2370,.487,.573,.382,.786,.617,.573,G-F,doncilu01
10,Luka Dončić,33.5,2025-26,26,LAL,64,64,1,2289,693,1457,439,763,254,694,503,645,41,454,495,530,105,34,255,153,2143,.476,.575,.366,.780,.616,.563,G-F,doncilu01
11,World B. Free,30.2,1979-80,26,SDC,68,,1,2585,737,1556,728,1531,9,25,572,760,129,109,238,283,81,32,228,195,2055,.474,.476,.360,.753,.544,.477,G,freewo01
12,George Gervin,33.1,1979-80,27,SAS,78,,1,2934,1024,1940,992,1838,32,102,505,593,154,249,403,202,110,79,254,208,2585,.528,.540,.314,.852,.587,.536,G-F,gervige01
13,George Gervin,32.3,1981-82,29,SAS,79,79,1,2817,993,1987,983,1951,10,36,555,642,138,254,392,187,77,45,210,215,2551,.500,.504,.278,.864,.562,.502,G-F,gervige01
14,Shai Gilgeous-Alexander,31.4,2022-23,24,OKC,68,68,1,2416,704,1381,646,1213,58,168,669,739,59,270,329,371,112,65,192,192,2135,.510,.533,.345,.905,.626,.531,G,gilgesh01
15,Shai Gilgeous-Alexander,30.1,2023-24,25,OKC,75,75,1,2553,796,1487,701,1218,95,269,567,649,65,350,415,465,150,67,162,184,2254,.535,.576,.353,.874,.636,.567,G,gilgesh01
16,Shai Gilgeous-Alexander,32.7,2024-25,26,OKC,76,76,1,2598,860,1656,697,1221,163,435,601,669,67,312,379,486,131,77,183,164,2484,.519,.571,.375,.898,.637,.569,G,gilgesh01
17,Shai Gilgeous-Alexander,31.1,2025-26,27,OKC,68,68,1,2259,731,1321,616,1023,115,298,540,614,38,254,292,448,95,52,151,139,2117,.553,.602,.386,.879,.665,.597,G,gilgesh01
18,James Harden,30.4,2017-18,28,HOU,72,72,1,2551,651,1449,386,727,265,722,624,727,41,348,389,630,126,50,315,169,2191,.449,.531,.367,.858,.619,.541,G,hardeja01
19,James Harden,36.1,2018-19,29,HOU,78,78,1,2867,843,1909,465,881,378,1028,754,858,66,452,518,586,158,58,387,244,2818,.442,.528,.368,.879,.616,.541,G,hardeja01
20,James Harden,34.3,2019-20,30,HOU,68,68,1,2483,672,1514,373,671,299,843,692,800,70,376,446,512,125,60,308,227,2335,.444,.556,.355,.865,.626,.543,G,hardeja01
21,Allen Iverson,31.1,2000-01,25,PHI,71,71,1,2979,762,1813,664,1507,98,306,585,719,50,223,273,325,178,20,237,147,2207,.420,.441,.320,.814,.518,.447,G,iversal01
22,Allen Iverson,31.4,2001-02,26,PHI,60,59,1,2622,665,1669,587,1401,78,268,475,585,44,225,269,331,168,13,237,102,1883,.398,.419,.291,.812,.489,.422,G,iversal01
23,Allen Iverson,30.7,2004-05,29,PHI,75,75,1,3174,771,1818,667,1480,104,338,656,786,51,248,299,596,180,9,344,140,2302,.424,.451,.308,.835,.532,.453,G,iversal01
