Rk,Player,WS,TRB/G,AST/G▼,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Russell Westbrook,3.7,11.5,11.7,2020-21,32,WAS,65,65,0,2369,544,1238,458,965,86,273,271,413,109,641,750,763,89,23,312,190,1445,.439,.475,.315,.656,.509,.474,G,westbru01
2,Oscar Robertson,17.0,9.0,11.5,1964-65,26,CIN,75,,1,3421,807,1681,807,1681,,,665,793,,,674,861,,,,205,2279,.480,.480,,.839,.561,.480,G-F,roberos01
3,Oscar Robertson,15.6,12.5,11.4,1961-62,23,CIN,79,,1,3503,866,1810,866,1810,,,700,872,,,985,899,,,,258,2432,.478,.478,,.803,.554,.478,G-F,roberos01
4,James Harden,15.0,8.1,11.2,2016-17,27,HOU,81,81,1,2947,674,1533,412,777,262,756,746,881,95,564,659,907,121,38,464,215,2356,.440,.530,.347,.847,.613,.525,G,hardeja01
5,Oscar Robertson,20.6,9.9,11.0,1963-64,25,CIN,79,,1,3559,840,1740,840,1740,,,800,938,,,783,868,,,,280,2480,.483,.483,,.853,.576,.483,G-F,roberos01
6,Russell Westbrook,6.8,11.1,10.7,2018-19,30,OKC,73,73,1,2630,630,1473,511,1062,119,411,296,451,109,698,807,784,142,33,325,245,1675,.428,.481,.290,.656,.501,.468,G,westbru01
7,Nikola Jokić,14.9,12.9,10.7,2025-26,30,DEN,65,65,1,2265,644,1132,532,837,112,295,399,480,192,644,836,697,92,53,243,173,1799,.569,.636,.380,.831,.670,.618,C-F,jokicni01
8,Magic Johnson,12.5,8.6,10.5,1982-83,23,LAL,79,79,1,2907,511,933,511,912,0,21,304,380,214,469,683,829,176,47,301,200,1326,.548,.560,.000,.800,.603,.548,G-F,johnsma02
9,Russell Westbrook,13.1,10.7,10.4,2016-17,28,OKC,81,81,1,2802,824,1941,624,1358,200,583,710,840,137,727,864,840,132,31,438,190,2558,.425,.459,.343,.845,.554,.476,G,westbru01
10,Russell Westbrook,10.1,10.1,10.3,2017-18,29,OKC,80,80,1,2914,757,1687,660,1361,97,326,417,566,152,652,804,820,147,20,381,200,2028,.449,.485,.298,.737,.524,.477,G,westbru01
11,Nikola Jokić,16.4,12.7,10.2,2024-25,29,DEN,70,70,1,2571,786,1364,648,1033,138,331,361,451,200,692,892,716,127,45,230,160,2071,.576,.627,.417,.800,.663,.627,C-F,jokicni01
12,Nikola Jokić,14.9,11.8,9.8,2022-23,27,DEN,69,69,1,2323,646,1022,589,873,57,149,341,415,167,650,817,678,87,47,247,174,1690,.632,.675,.383,.822,.701,.660,C-F,jokicni01
13,Luka Dončić,12.0,9.2,9.8,2023-24,24,DAL,70,70,1,2624,804,1652,520,908,284,744,478,608,59,588,647,686,99,38,282,149,2370,.487,.573,.382,.786,.617,.573,G-F,doncilu01
14,Oscar Robertson,13.2,10.1,9.7,1960-61,22,CIN,71,,1,3032,756,1600,756,1600,,,653,794,,,716,690,,,,219,2165,.473,.473,,.822,.555,.473,G-F,roberos01
