Player-additional,PG_Rk,PG_Player,PG_Age,PG_Pos,PG_G,PG_GS,PG_MP,PG_FG,PG_FGA,PG_FG%,PG_3P,PG_3PA,PG_3P%,PG_2P,PG_2PA,PG_2P%,PG_eFG%,PG_FT,PG_FTA,PG_FT%,PG_ORB,PG_DRB,PG_TRB,PG_AST,PG_STL,PG_BLK,PG_TOV,PG_PF,PG_PTS,ADV_Rk,ADV_Player,ADV_Age,ADV_Pos,ADV_G,ADV_GS,ADV_MP,ADV_PER,ADV_TS%,ADV_3PAr,ADV_FTr,ADV_ORB%,ADV_DRB%,ADV_TRB%,ADV_AST%,ADV_STL%,ADV_BLK%,ADV_TOV%,ADV_USG%,ADV_OWS,ADV_DWS,ADV_WS,ADV_WS/48,ADV_OBPM,ADV_DBPM,ADV_BPM,ADV_VORP,P100_Rk,P100_Player,P100_Age,P100_G,P100_GS,P100_MP,P100_FG,P100_FGA,P100_FG%,P100_3P,P100_3PA,P100_3P%,P100_2P,P100_2PA,P100_2P%,P100_eFG%,P100_FT,P100_FTA,P100_FT%,P100_ORB,P100_DRB,P100_TRB,P100_AST,P100_STL,P100_BLK,P100_TOV,P100_PF,P100_PTS,P100_ORtg,P100_DRtg
murraja01,1,Jamal Murray,28,PG,75,75,35.4,8.8,18.1,.483,3.3,7.5,.435,5.5,10.6,.517,.573,4.6,5.2,.887,0.4,4.0,4.4,7.1,0.9,0.4,2.3,1.7,25.4,1,Jamal Murray,28,PG,75,75,2652,21.8,.622,.414,.287,1.4,12.0,7.0,31.1,1.2,1.0,10.0,27.9,7.8,1.7,9.5,.173,5.5,-1.4,4.1,4.1,1,Jamal Murray,28,75,75,2652,12.1,25.0,.483,4.5,10.4,.435,7.6,14.7,.517,.573,6.4,7.2,.887,0.6,5.5,6.1,9.8,1.2,0.5,3.1,2.4,35.1,126,119
jokicni01,2,Nikola Jokić,30,C,65,65,34.8,9.9,17.4,.569,1.7,4.5,.380,8.2,12.9,.636,.618,6.1,7.4,.831,3.0,9.9,12.9,10.7,1.4,0.8,3.7,2.7,27.7,2,Nikola Jokić,30,C,65,65,2265,32.3,.670,.261,.424,10.0,30.4,20.7,50.3,2.0,2.2,15.3,30.4,11.5,3.4,14.9,.316,10.1,4.1,14.2,9.2,2,Nikola Jokić,30,65,65,2265,13.9,24.4,.569,2.4,6.4,.380,11.5,18.0,.636,.618,8.6,10.3,.831,4.1,13.9,18.0,15.0,2.0,1.1,5.2,3.7,38.8,134,111
braunch01,3,Christian Braun,24,SG,44,44,31.8,4.6,8.8,.519,1.0,3.3,.301,3.6,5.6,.646,.575,1.8,2.3,.782,1.4,3.4,4.8,2.7,0.7,0.3,1.0,2.3,12.0,8,Christian Braun,24,SG,44,44,1399,12.6,.607,.368,.260,5.1,11.5,8.4,11.4,1.0,0.8,9.0,14.8,2.2,0.8,3.0,.103,-0.4,-0.9,-1.2,0.3,8,Christian Braun,24,44,44,1399,7.0,13.6,.519,1.5,5.0,.301,5.5,8.6,.646,.575,2.8,3.5,.782,2.1,5.2,7.4,4.2,1.0,0.4,1.5,3.6,18.3,125,120
johnsca02,4,Cameron Johnson,29,SF,54,54,30.5,4.2,8.8,.480,2.0,4.7,.430,2.2,4.1,.539,.596,1.7,2.1,.839,0.8,3.0,3.8,2.4,0.7,0.4,0.9,2.3,12.2,5,Cameron Johnson,29,SF,54,54,1647,12.8,.629,.539,.236,3.1,10.6,7.0,10.6,1.2,1.2,8.2,15.1,2.7,1.0,3.7,.108,0.3,-0.9,-0.6,0.6,5,Cameron Johnson,29,54,54,1647,6.8,14.1,.480,3.3,7.6,.430,3.5,6.5,.539,.596,2.8,3.3,.839,1.3,4.8,6.1,3.9,1.2,0.6,1.4,3.7,19.6,127,120
watsope01,5,Peyton Watson,23,SF,54,40,29.6,5.3,10.8,.491,1.5,3.6,.411,3.8,7.1,.531,.560,2.6,3.5,.730,0.9,4.0,4.9,2.1,0.9,1.1,1.7,2.5,14.6,6,Peyton Watson,23,SF,54,40,1598,14.3,.594,.339,.325,3.6,14.4,9.3,9.7,1.5,3.6,12.3,20.6,1.0,1.6,2.6,.078,-0.8,-0.5,-1.2,0.3,6,Peyton Watson,23,54,40,1598,8.7,17.7,.491,2.5,6.0,.411,6.2,11.7,.531,.560,4.2,5.8,.730,1.5,6.6,8.1,3.4,1.5,1.9,2.8,4.2,24.1,112,116
gordoaa01,6,Aaron Gordon,30,PF,36,33,27.9,5.5,11.1,.497,1.7,4.4,.389,3.8,6.7,.568,.574,3.5,4.5,.767,1.4,4.4,5.8,2.7,0.6,0.3,1.1,1.7,16.2,9,Aaron Gordon,30,PF,36,33,1005,18.5,.620,.394,.410,6.0,16.8,11.6,13.7,1.0,0.9,7.5,21.9,2.4,0.7,3.2,.153,2.9,-1.2,1.7,0.9,9,Aaron Gordon,30,36,33,1005,9.6,19.3,.497,3.0,7.6,.389,6.7,11.7,.568,.574,6.1,7.9,.767,2.5,7.7,10.1,4.7,1.0,0.5,1.8,3.0,28.3,127,118
hardati02,7,Tim Hardaway Jr.,33,SG,80,6,26.6,4.4,9.7,.447,2.8,6.9,.407,1.6,2.9,.541,.591,2.0,2.5,.811,0.2,2.4,2.6,1.4,0.5,0.1,0.5,1.3,13.5,3,Tim Hardaway Jr.,33,SG,80,6,2127,13.5,.624,.706,.252,0.9,9.5,5.4,6.9,1.0,0.4,4.7,18.5,3.5,1.0,4.4,.100,1.3,-1.9,-0.7,0.7,3,Tim Hardaway Jr.,33,80,6,2127,8.0,17.9,.447,5.1,12.6,.407,2.8,5.3,.541,.591,3.6,4.5,.811,0.4,4.3,4.7,2.5,1.0,0.2,1.0,2.3,24.8,124,121
brownbr01,8,Bruce Brown,29,SG,82,4,24.4,3.0,6.4,.475,0.7,1.8,.385,2.3,4.6,.511,.530,1.2,1.5,.762,1.0,2.8,3.9,2.1,1.0,0.2,1.1,2.4,7.9,4,Bruce Brown,29,SG,82,4,1998,10.8,.562,.284,.241,5.0,12.5,8.9,11.3,2.1,0.9,13.6,14.5,1.2,1.8,2.9,.071,-2.5,0.1,-2.4,-0.2,4,Bruce Brown,29,82,4,1998,6.1,12.7,.475,1.4,3.6,.385,4.7,9.1,.511,.530,2.3,3.1,.762,2.1,5.7,7.8,4.2,2.1,0.5,2.2,4.8,15.9,113,117
jonessp01,9,Spencer Jones,24,SF,64,37,22.1,2.1,4.1,.504,0.9,2.3,.396,1.2,1.8,.636,.613,0.5,0.8,.608,1.2,2.1,3.3,0.8,0.8,0.5,0.5,2.7,5.5,7,Spencer Jones,24,SF,64,37,1417,9.3,.619,.550,.195,6.2,10.1,8.3,4.5,1.8,1.9,9.8,9.7,1.5,1.2,2.6,.089,-2.4,0.0,-2.4,-0.1,7,Spencer Jones,24,64,37,1417,4.5,9.0,.504,2.0,5.0,.396,2.6,4.1,.636,.613,1.1,1.8,.608,2.6,4.6,7.2,1.8,1.8,1.0,1.1,6.0,12.1,125,118
pickeja02,10,Jalen Pickett,26,SG,50,18,16.1,2.0,4.6,.422,1.0,2.5,.386,1.0,2.1,.467,.528,0.3,0.4,.789,0.4,1.9,2.3,2.3,0.3,0.1,0.7,0.8,5.2,12,Jalen Pickett,26,SG,50,18,807,10.3,.541,.547,.082,2.6,12.7,7.9,18.4,0.8,0.6,12.4,14.8,0.6,0.4,1.0,.059,-1.1,-1.1,-2.3,-0.1,12,Jalen Pickett,26,50,18,807,5.9,14.0,.422,3.0,7.7,.386,3.0,6.3,.467,.528,0.9,1.1,.789,1.1,5.8,6.9,7.0,0.8,0.3,2.1,2.5,15.7,115,120
