Team,Player,player_id,Age,Pos,G,GS,MPG,PPG,RPG,APG,FG%,3P%,FT%,TS%,eFG%,USG%,PER,BPM,VORP,PTS_per100,FGA_per100,AST_per100,TRB_per100,ORtg,DRtg
DEN,Jamal Murray,murraja01,28,PG,75,75,35.4,25.4,4.4,7.1,.483,.435,.887,.622,.573,27.9,21.8,4.1,4.1,35.1,25.0,9.8,6.1,126,119
DEN,Nikola Jokić,jokicni01,30,C,65,65,34.8,27.7,12.9,10.7,.569,.380,.831,.670,.618,30.4,32.3,14.2,9.2,38.8,24.4,15.0,18.0,134,111
DEN,Christian Braun,braunch01,24,SG,44,44,31.8,12.0,4.8,2.7,.519,.301,.782,.607,.575,14.8,12.6,-1.2,0.3,18.3,13.6,4.2,7.4,125,120
DEN,Cameron Johnson,johnsca02,29,SF,54,54,30.5,12.2,3.8,2.4,.480,.430,.839,.629,.596,15.1,12.8,-0.6,0.6,19.6,14.1,3.9,6.1,127,120
DEN,Peyton Watson,watsope01,23,SF,54,40,29.6,14.6,4.9,2.1,.491,.411,.730,.594,.560,20.6,14.3,-1.2,0.3,24.1,17.7,3.4,8.1,112,116
DEN,Aaron Gordon,gordoaa01,30,PF,36,33,27.9,16.2,5.8,2.7,.497,.389,.767,.620,.574,21.9,18.5,1.7,0.9,28.3,19.3,4.7,10.1,127,118
DEN,Tim Hardaway Jr.,hardati02,33,SG,80,6,26.6,13.5,2.6,1.4,.447,.407,.811,.624,.591,18.5,13.5,-0.7,0.7,24.8,17.9,2.5,4.7,124,121
DEN,Bruce Brown,brownbr01,29,SG,82,4,24.4,7.9,3.9,2.1,.475,.385,.762,.562,.530,14.5,10.8,-2.4,-0.2,15.9,12.7,4.2,7.8,113,117
DEN,Spencer Jones,jonessp01,24,SF,64,37,22.1,5.5,3.3,0.8,.504,.396,.608,.619,.613,9.7,9.3,-2.4,-0.1,12.1,9.0,1.8,7.2,125,118
DEN,Jalen Pickett,pickeja02,26,SG,50,18,16.1,5.2,2.3,2.3,.422,.386,.789,.541,.528,14.8,10.3,-2.3,-0.1,15.7,14.0,7.0,6.9,115,120
DEN,Julian Strawther,strawju01,23,SG,57,14,15.1,7.2,2.0,1.1,.467,.387,.814,.590,.558,19.4,12.5,-2.3,-0.1,23.4,18.1,3.5,6.5,114,119
DEN,David Roddy,roddyda01,24,PF,5,0,14.6,8.0,4.0,0.8,.500,.273,1.000,.605,.550,20.9,20.4,0.0,0.0,26.7,20.1,2.7,13.4,129,114
DEN,Jonas Valančiūnas,valanjo01,33,C,65,6,13.4,8.7,5.1,1.2,.582,.308,.772,.630,.592,26.1,22.0,0.0,0.4,31.8,21.9,4.4,18.4,121,114
DEN,Zeke Nnaji,nnajize01,25,PF,52,4,12.0,3.7,2.6,0.6,.470,.259,.773,.558,.517,13.7,10.3,-3.5,-0.3,14.8,11.8,2.3,10.6,111,116
DEN,Curtis Jones,jonescu01,24,SG,10,0,8.8,2.9,1.1,1.0,.407,.333,.500,.520,.519,14.7,10.8,-3.5,0.0,16.1,15.0,5.5,6.1,115,118
DEN,Tyus Jones,jonesty01,29,PG,11,2,8.4,2.2,1.3,1.2,.346,.375,.000,.454,.462,15.3,6.5,-5.7,-0.1,12.7,13.8,6.9,7.4,95,121
DEN,DaRon Holmes,holmeda01,23,PF,25,6,8.4,3.7,1.4,0.6,.508,.444,.786,.692,.672,16.4,13.4,-0.5,0.1,21.6,14.2,3.7,8.1,124,120
DEN,Hunter Tyson,tysonhu01,25,PF,21,2,7.7,2.2,1.7,0.8,.269,.212,.846,.398,.337,16.8,6.4,-6.8,-0.2,13.9,15.7,5.1,10.8,96,118
DEN,KJ Simpson,simpskj01,23,PG,6,0,5.7,1.2,1.3,1.3,.300,.000,.500,.322,.300,15.2,10.1,-3.4,0.0,10.0,14.4,11.5,11.5,110,119
