Season,Team,Opponent,Player,PlayerID,Age,G,GS,Total_MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PerGame_MP,PerGame_PTS,PerGame_TRB,PerGame_AST,PerGame_STL,PerGame_BLK,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
2023,DEN,MIN,Jamal Murray,murraja01,25,5,5,192,49,104,18,42,20,22,2,26,28,32,5,2,13,12,136,0.471,0.429,0.909,38.4,27.2,5.6,6.4,1,0.4,0.598,0.558,1.1,15.1,8.4,27.6,1.3,1,10.3,29.6,119,112,20.4
2023,DEN,MIN,Nikola Jokić,jokicni01,27,5,5,185,48,99,11,22,24,34,21,41,62,45,6,2,14,21,131,0.485,0.5,0.706,37,26.2,12.4,9,1.2,0.4,0.575,0.54,12.9,25.3,19.5,41.1,1.7,1.1,10.9,31.1,126,109,24.1
2023,DEN,MIN,Michael Porter Jr.,portemi01,24,5,5,180,31,63,14,33,6,9,3,38,41,6,5,3,0,13,82,0.492,0.424,0.667,35.9,16.4,8.2,1.2,1,0.6,0.612,0.603,2,24.3,13.4,5,1.4,1.5,0,16.9,129,109,13.7
2023,DEN,MIN,Aaron Gordon,gordoaa01,27,5,5,163,23,46,4,12,17,19,15,20,35,9,3,1,5,23,67,0.5,0.333,0.895,32.7,13.4,7,1.8,0.6,0.2,0.616,0.543,11.1,14.4,12.9,8.1,0.9,0.6,8.4,16.4,131,114,11.1
2023,DEN,MIN,Bruce Brown,brownbr01,26,5,0,135,22,41,3,14,10,11,3,17,20,12,6,2,9,11,57,0.537,0.214,0.909,27,11.4,4,2.4,1.2,0.4,0.622,0.573,2.7,14.4,8.6,11.9,2.3,1.5,16.4,18.3,113,109,9.3
2023,DEN,MIN,Kentavious Caldwell-Pope,caldwke01,29,5,5,165,19,44,8,22,6,7,2,12,14,7,6,2,6,12,52,0.432,0.364,0.857,33,10.4,2.8,1.4,1.2,0.4,0.552,0.523,1.6,8.3,5,5.7,1.9,1.1,11.3,14.5,104,112,7
2023,DEN,MIN,Jeff Green,greenje02,36,5,0,113,8,23,2,10,1,3,1,6,7,7,3,4,4,14,19,0.348,0.2,0.333,22.5,3.8,1.4,1.4,0.6,0.8,0.391,0.391,0.9,5.7,3.6,7.6,1.3,3.5,14.1,11.4,79,111,1.8
2023,DEN,MIN,Christian Braun,braunch01,21,5,0,63,7,11,2,4,1,2,3,6,9,4,0,1,2,6,17,0.636,0.5,0.5,12.7,3.4,1.8,0.8,0,0.2,0.715,0.727,5.1,11,8.1,8.4,0,1.7,14.4,10,125,111,2.9
2023,DEN,MIN,DeAndre Jordan,jordade01,34,3,0,10,2,3,0,0,1,2,0,4,4,1,0,0,2,2,5,0.667,,0.5,3.5,1.7,1.3,0.3,0,0,0.644,0.667,0,39,20.6,18.4,0,0,34,25.2,86,91,0.8
2023,DEN,MIN,Zeke Nnaji,nnajize01,22,1,0,4,2,2,1,1,0,0,0,1,1,0,1,0,1,0,5,1,1,,4.3,5,1,0,1,0,1.25,1.25,0,23.5,12.3,0,12.1,0,33.3,31.5,105,62,4.7
2023,DEN,MIN,Vlatko Čančar,cancavl01,25,1,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,2.1,0,1,0,0,0,0,0,0,48.4,25.2,0,0,0,0,21.6,0,85,-0.4
2023,DEN,MIN,Reggie Jackson,jacksre01,32,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,,4.3,0,0,1,1,0,,,0,0,0,27.5,12.1,0,100,10.5,48,67,0.7
2023,DEN,MIN,Ish Smith,smithis01,34,1,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,,4.3,0,1,0,0,0,0,0,0,23.5,12.3,0,0,0,0,10.5,0,88,-0.8
2023,DEN,MIN,Peyton Watson,watsope01,20,1,0,4,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,,4.3,0,1,1,0,0,0,0,25.7,0,12.3,27.5,0,0,0,10.5,102,95,0.7
