,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Jamal Murray,25,5,5,192,.598,.558,1.1,15.1,8.4,27.6,1.3,1.0,10.3,29.6,119,112,20.4,murraja01
2,Nikola Jokić,27,5,5,185,.575,.540,12.9,25.3,19.5,41.1,1.7,1.1,10.9,31.1,126,109,24.1,jokicni01
3,Michael Porter Jr.,24,5,5,180,.612,.603,2.0,24.3,13.4,5.0,1.4,1.5,0.0,16.9,129,109,13.7,portemi01
4,Aaron Gordon,27,5,5,163,.616,.543,11.1,14.4,12.9,8.1,0.9,0.6,8.4,16.4,131,114,11.1,gordoaa01
5,Bruce Brown,26,5,0,135,.622,.573,2.7,14.4,8.6,11.9,2.3,1.5,16.4,18.3,113,109,9.3,brownbr01
6,Kentavious Caldwell-Pope,29,5,5,165,.552,.523,1.6,8.3,5.0,5.7,1.9,1.1,11.3,14.5,104,112,7.0,caldwke01
7,Jeff Green,36,5,0,113,.391,.391,0.9,5.7,3.6,7.6,1.3,3.5,14.1,11.4,79,111,1.8,greenje02
8,Christian Braun,21,5,0,63,.715,.727,5.1,11.0,8.1,8.4,0.0,1.7,14.4,10.0,125,111,2.9,braunch01
9,DeAndre Jordan,34,3,0,10,.644,.667,0.0,39.0,20.6,18.4,0.0,0.0,34.0,25.2,86,91,0.8,jordade01
10,Zeke Nnaji,22,1,0,4,1.250,1.250,0.0,23.5,12.3,0.0,12.1,0.0,33.3,31.5,105,62,4.7,nnajize01
11,Vlatko Čančar,25,1,0,2,.000,.000,0.0,48.4,25.2,0.0,0.0,0.0,0.0,21.6,0,85,-0.4,cancavl01
12,Reggie Jackson,32,1,0,4,,,0.0,0.0,0.0,27.5,12.1,0.0,100.0,10.5,48,67,0.7,jacksre01
13,Ish Smith,34,1,0,4,.000,.000,0.0,23.5,12.3,0.0,0.0,0.0,0.0,10.5,0,88,-0.8,smithis01
14,Peyton Watson,20,1,0,4,.000,.000,25.7,0.0,12.3,27.5,0.0,0.0,0.0,10.5,102,95,0.7,watsope01
,Team Totals,26.8,5,,1225,.586,.552,24.9,80.5,53.3,59.2,7.5,6.7,11.0,,118.8,109.7,,-9999
