,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Nikola Jokić,30,6,6,237,54,121,7,36,40,43,9,70,79,57,6,5,23,21,155,.446,.194,.930,39.5,25.8,13.2,9.5,1.0,0.8,jokicni01
2,Jamal Murray,28,6,6,238,46,129,11,42,39,40,7,23,30,34,5,2,13,10,142,.357,.262,.975,39.7,23.7,5.0,5.7,0.8,0.3,murraja01
3,Cameron Johnson,29,6,6,186,31,62,11,35,12,17,3,16,19,14,6,2,6,18,85,.500,.314,.706,31.1,14.2,3.2,2.3,1.0,0.3,johnsca02
4,Tim Hardaway Jr.,33,6,0,140,19,45,8,23,19,24,6,14,20,5,4,2,4,10,65,.422,.348,.792,23.3,10.8,3.3,0.8,0.7,0.3,hardati02
5,Christian Braun,24,6,6,187,15,36,6,14,14,19,2,19,21,10,6,5,4,13,50,.417,.429,.737,31.1,8.3,3.5,1.7,1.0,0.8,braunch01
6,Spencer Jones,24,6,3,145,13,19,9,13,4,5,3,9,12,2,4,7,4,20,39,.684,.692,.800,24.2,6.5,2.0,0.3,0.7,1.2,jonessp01
7,Bruce Brown,29,6,0,116,15,34,3,11,5,9,3,13,16,10,10,0,9,16,38,.441,.273,.556,19.4,6.3,2.7,1.7,1.7,0.0,brownbr01
8,Aaron Gordon,30,3,3,89,12,30,3,14,7,10,4,12,16,7,0,1,1,9,34,.400,.214,.700,29.8,11.3,5.3,2.3,0.0,0.3,gordoaa01
9,Jonas Valančiūnas,33,4,0,25,5,7,0,0,1,2,3,6,9,1,0,1,5,11,11,.714,,.500,6.3,2.8,2.3,0.3,0.0,0.3,valanjo01
10,Zeke Nnaji,25,2,0,19,2,2,1,1,5,6,1,2,3,1,1,0,0,3,10,1.000,1.000,.833,9.5,5.0,1.5,0.5,0.5,0.0,nnajize01
11,Tyus Jones,29,3,0,30,4,8,0,1,1,2,0,0,0,5,2,0,0,3,9,.500,.000,.500,10.1,3.0,0.0,1.7,0.7,0.0,jonesty01
12,Julian Strawther,23,2,0,18,2,7,1,3,1,2,1,2,3,0,0,0,2,2,6,.286,.333,.500,9.1,3.0,1.5,0.0,0.0,0.0,strawju01
13,Jalen Pickett,26,2,0,4,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,,,.500,2.1,0.5,0.0,0.5,0.0,0.0,pickeja02
14,DaRon Holmes,23,2,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,,,,2.1,0.0,1.0,0.0,0.0,0.0,holmeda01
,Team Totals,28.6,6,,1440,218,500,60,193,149,181,42,188,230,147,44,25,72,136,645,.436,.311,.823,240.0,107.5,38.3,24.5,7.3,4.2,-9999
