Season,Age,Team,Lg,Pos,G,GS,PerGame_MP,PerGame_FG,PerGame_FGA,PerGame_FG%,PerGame_3P,PerGame_3PA,PerGame_3P%,PerGame_2P,PerGame_2PA,PerGame_2P%,PerGame_eFG%,PerGame_FT,PerGame_FTA,PerGame_FT%,PerGame_ORB,PerGame_DRB,PerGame_TRB,PerGame_AST,PerGame_STL,PerGame_BLK,PerGame_TOV,PerGame_PF,PerGame_PTS,P100_MP,P100_FG,P100_FGA,P100_FG%,P100_3P,P100_3PA,P100_3P%,P100_2P,P100_2PA,P100_2P%,P100_eFG%,P100_FT,P100_FTA,P100_FT%,P100_ORB,P100_DRB,P100_TRB,P100_AST,P100_STL,P100_BLK,P100_TOV,P100_PF,P100_PTS,P100_ORtg,P100_DRtg,Advanced_MP,Advanced_PER,Advanced_TS%,Advanced_3PAr,Advanced_FTr,Advanced_ORB%,Advanced_DRB%,Advanced_TRB%,Advanced_AST%,Advanced_STL%,Advanced_BLK%,Advanced_TOV%,Advanced_USG%,Advanced_OWS,Advanced_DWS,Advanced_WS,Advanced_WS/48,Advanced_OBPM,Advanced_DBPM,Advanced_BPM,Advanced_VORP
2016-17,20,BOS,NBA,SF,78,20,17.2,2.5,5.4,.454,0.6,1.7,.341,1.9,3.7,.507,.508,1.1,1.6,.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,1341,7.1,15.6,.454,1.7,5.0,.341,5.4,10.6,.507,.508,3.1,4.6,.685,1.7,6.5,8.1,2.4,1.3,0.7,2.5,5.3,19.0,102,110,1341,10.3,.539,.319,.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,.053,-3.0,-0.8,-3.7,-0.6
2017-18,21,BOS,NBA,SG,70,70,30.7,5.3,11.5,.465,1.7,4.4,.395,3.6,7.1,.507,.540,2.1,3.3,.644,0.9,4.0,4.9,1.6,1.0,0.4,1.8,2.6,14.5,2152,8.7,18.6,.465,2.8,7.1,.395,5.9,11.5,.507,.540,3.5,5.4,.644,1.5,6.5,8.0,2.6,1.6,0.6,2.9,4.2,23.6,105,105,2152,13.6,.562,.381,.290,3.4,14.0,8.8,8.5,1.6,1.0,12.0,21.4,1.2,3.2,4.5,.100,-0.8,0.3,-0.5,0.8
2018-19,22,BOS,NBA,SG,74,25,25.9,5.0,10.7,.465,1.3,3.7,.344,3.7,7.0,.529,.525,1.8,2.7,.658,0.9,3.4,4.2,1.4,0.9,0.4,1.3,2.5,13.0,1913,9.3,19.9,.465,2.4,6.9,.344,6.9,13.0,.529,.525,3.3,5.1,.658,1.6,6.2,7.9,2.5,1.7,0.8,2.5,4.7,24.3,104,109,1913,13.5,.547,.348,.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,0.7,2.4,3.0,.076,-1.6,-0.4,-2.1,0.0
2019-20,23,BOS,NBA,SG,57,57,33.9,7.5,15.6,.481,2.3,5.9,.382,5.2,9.6,.543,.554,3.1,4.3,.724,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3,1934,10.7,22.1,.481,3.2,8.4,.382,7.4,13.7,.543,.554,4.4,6.1,.724,1.5,7.5,9.1,2.9,1.6,0.5,3.1,4.2,28.9,110,108,1934,16.9,.583,.381,.274,3.5,16.5,10.1,9.7,1.6,1.0,11.2,24.7,2.3,2.6,4.9,.123,1.0,-0.2,0.8,1.4
2020-21,24,BOS,NBA,SG,58,58,34.5,9.3,19.2,.484,2.8,7.1,.397,6.5,12.1,.536,.558,3.3,4.3,.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7,1999,13.1,27.2,.484,4.0,10.0,.397,9.2,17.1,.536,.558,4.7,6.1,.764,1.7,6.7,8.5,4.8,1.8,0.8,3.9,4.1,34.9,112,113,1999,19.9,.586,.370,.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,2.8,2.0,4.8,.115,3.2,-0.7,2.5,2.3
2021-22,25,BOS,NBA,SF,66,66,33.6,8.7,18.4,.473,2.5,7.0,.358,6.2,11.4,.544,.541,3.7,4.8,.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6,2220,12.9,27.2,.473,3.7,10.4,.358,9.2,16.9,.544,.541,5.4,7.1,.758,1.2,7.9,9.0,5.2,1.6,0.4,4.0,3.6,34.9,109,108,2220,18.9,.574,.381,.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,2.3,3.4,5.8,.124,1.9,0.1,2.1,2.2
2022-23,26,BOS,NBA,SF,67,67,35.9,10.1,20.6,.491,2.4,7.3,.335,7.7,13.4,.576,.550,3.9,5.1,.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6,2405,13.8,28.0,.491,3.3,9.9,.335,10.5,18.2,.576,.550,5.3,7.0,.765,1.6,7.7,9.3,4.7,1.5,0.5,4.0,3.5,36.2,110,111,2405,19.1,.581,.352,.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.4,1.6,3.4,5.0,.100,1.5,-0.2,1.3,2.0
2023-24,27,BOS,NBA,SF,70,70,33.5,9.0,17.9,.499,2.1,5.9,.354,6.9,12.1,.570,.557,3.0,4.3,.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23.0,2343,13.2,26.5,.499,3.1,8.6,.354,10.2,17.8,.570,.557,4.4,6.3,.703,1.8,6.4,8.2,5.3,1.8,0.8,3.5,3.9,34.0,113,112,2343,18.6,.580,.326,.239,4.0,13.4,8.9,16.6,1.8,1.4,10.7,28.9,2.7,3.2,5.9,.121,0.9,-0.1,0.7,1.6
2024-25,28,BOS,NBA,SF,63,63,34.3,8.2,17.7,.463,1.8,5.7,.324,6.4,12.1,.529,.515,3.9,5.1,.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,2158,12.0,26.0,.463,2.7,8.3,.324,9.3,17.7,.529,.515,5.7,7.5,.764,1.9,6.6,8.6,6.6,1.7,0.4,3.8,3.6,32.5,112,112,2158,17.8,.555,.320,.288,4.1,14.4,9.3,21.4,1.7,0.8,11.4,28.9,2.3,2.9,5.2,.115,0.4,-0.4,0.0,1.1
2025-26,29,BOS,NBA,SF,71,71,34.4,10.4,21.7,.477,2.0,5.7,.347,8.4,16.0,.523,.522,6.0,7.5,.795,1.1,5.8,6.9,5.1,1.0,0.4,3.6,2.7,28.7,2443,15.2,32.0,.477,2.9,8.4,.347,12.3,23.6,.523,.522,8.8,11.1,.795,1.7,8.5,10.2,7.5,1.5,0.6,5.4,4.0,42.2,114,113,2443,22.0,.573,.262,.347,3.7,18.1,11.1,25.9,1.5,1.1,12.7,36.2,3.5,3.4,6.9,.135,3.5,-0.1,3.3,3.3
