Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2016-17,20,BOS,NBA,SF,78,20,1341,7.1,15.6,.454,1.7,5.0,.341,5.4,10.6,.507,.508,3.1,4.6,.685,1.7,6.5,8.1,2.4,1.3,0.7,2.5,5.3,19.0,102,110
2017-18,21,BOS,NBA,SG,70,70,2152,8.7,18.6,.465,2.8,7.1,.395,5.9,11.5,.507,.540,3.5,5.4,.644,1.5,6.5,8.0,2.6,1.6,0.6,2.9,4.2,23.6,105,105
2018-19,22,BOS,NBA,SG,74,25,1913,9.3,19.9,.465,2.4,6.9,.344,6.9,13.0,.529,.525,3.3,5.1,.658,1.6,6.2,7.9,2.5,1.7,0.8,2.5,4.7,24.3,104,109
2019-20,23,BOS,NBA,SG,57,57,1934,10.7,22.1,.481,3.2,8.4,.382,7.4,13.7,.543,.554,4.4,6.1,.724,1.5,7.5,9.1,2.9,1.6,0.5,3.1,4.2,28.9,110,108
2020-21,24,BOS,NBA,SG,58,58,1999,13.1,27.2,.484,4.0,10.0,.397,9.2,17.1,.536,.558,4.7,6.1,.764,1.7,6.7,8.5,4.8,1.8,0.8,3.9,4.1,34.9,112,113
2021-22,25,BOS,NBA,SF,66,66,2220,12.9,27.2,.473,3.7,10.4,.358,9.2,16.9,.544,.541,5.4,7.1,.758,1.2,7.9,9.0,5.2,1.6,0.4,4.0,3.6,34.9,109,108
2022-23,26,BOS,NBA,SF,67,67,2405,13.8,28.0,.491,3.3,9.9,.335,10.5,18.2,.576,.550,5.3,7.0,.765,1.6,7.7,9.3,4.7,1.5,0.5,4.0,3.5,36.2,110,111
2023-24,27,BOS,NBA,SF,70,70,2343,13.2,26.5,.499,3.1,8.6,.354,10.2,17.8,.570,.557,4.4,6.3,.703,1.8,6.4,8.2,5.3,1.8,0.8,3.5,3.9,34.0,113,112
2024-25,28,BOS,NBA,SF,63,63,2158,12.0,26.0,.463,2.7,8.3,.324,9.3,17.7,.529,.515,5.7,7.5,.764,1.9,6.6,8.6,6.6,1.7,0.4,3.8,3.6,32.5,112,112
2025-26,29,BOS,NBA,SF,71,71,2443,15.2,32.0,.477,2.9,8.4,.347,12.3,23.6,.523,.522,8.8,11.1,.795,1.7,8.5,10.2,7.5,1.5,0.6,5.4,4.0,42.2,114,113
