player,split,mp,team_eFG,team_ORB,team_DRB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_Pace,team_ORtg,opp_eFG,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_Pace,opp_ORtg,diff_eFG,diff_ORB,diff_DRB,diff_TRB,diff_AST,diff_STL,diff_BLK,diff_TOV,diff_Pace,diff_ORtg
Mikal Bridges,On Court,2691,.564,28.1,76.0,52.2,65.3,8.1,8.1,13.9,96.3,120.9,.542,24.0,71.9,47.8,64.1,7.2,8.3,14.6,97.4,114.2,+.022,+4.1,+4.1,+4.5,+1.2,+0.9,-0.2,-0.7,-1.1,+6.7
Mikal Bridges,Off Court,1262,.544,32.0,78.3,54.5,62.0,8.9,8.7,14.4,96.7,118.9,.537,21.7,68.0,45.5,62.4,8.1,8.8,15.3,95.2,111.8,+.007,+10.3,+10.3,+8.9,-0.4,+0.8,-0.1,-0.9,+1.5,+7.1
Mikal Bridges,On - Off,68%,+.020,-3.9,-2.3,-2.3,+3.3,-0.8,-0.6,-0.5,-0.4,+2.0,+.005,+2.3,+3.9,+2.3,+1.7,-0.9,-0.5,-0.7,+2.2,+2.4,+.015,-6.2,-6.2,-4.4,+1.6,+0.1,-0.1,+0.2,-2.6,-0.4
Jalen Brunson,On Court,2591,.565,28.2,76.3,52.1,63.0,8.2,8.1,13.1,97.1,121.8,.551,23.7,71.8,47.9,63.3,7.1,7.4,14.4,96.6,115.8,+.014,+4.5,+4.5,+4.2,-0.3,+1.1,+0.7,-1.2,+0.5,+6.0
Jalen Brunson,Off Court,1361,.543,31.4,77.5,54.5,66.8,8.6,8.7,15.9,95.1,117.3,.521,22.5,68.6,45.5,64.2,8.3,10.5,15.6,96.9,109.0,+.022,+9.0,+9.0,+9.0,+2.6,+0.4,-1.8,+0.3,-1.8,+8.3
Jalen Brunson,On - Off,66%,+.022,-3.2,-1.2,-2.4,-3.8,-0.4,-0.6,-2.8,+2.0,+4.5,+.030,+1.2,+3.2,+2.4,-0.9,-1.2,-3.1,-1.2,-0.3,+6.8,-.008,-4.5,-4.5,-4.8,-2.9,+0.7,+2.5,-1.5,+2.3,-2.3
Karl-Anthony Towns,On Court,2322,.567,27.8,77.4,52.7,66.9,8.3,7.7,14.0,97.5,121.6,.548,22.6,72.2,47.3,64.1,7.2,8.9,14.6,96.7,114.6,+.019,+5.2,+5.2,+5.3,+2.8,+1.0,-1.2,-0.6,+0.8,+7.0
Karl-Anthony Towns,Off Court,1631,.543,31.5,75.8,53.4,60.3,8.5,9.2,14.2,94.9,118.3,.529,24.2,68.5,46.6,62.9,7.9,7.7,15.1,96.6,111.7,+.014,+7.3,+7.3,+6.7,-2.5,+0.6,+1.4,-0.9,-1.7,+6.6
Karl-Anthony Towns,On - Off,59%,+.024,-3.7,+1.6,-0.7,+6.6,-0.2,-1.5,-0.2,+2.6,+3.3,+.019,-1.6,+3.7,+0.7,+1.2,-0.7,+1.2,-0.5,+0.1,+2.9,+.005,-2.1,-2.1,-1.4,+5.3,+0.4,-2.6,+0.3,+2.5,+0.4
OG Anunoby,On Court,2226,.573,28.1,77.4,53.0,65.6,8.2,8.6,13.9,97.1,122.4,.543,22.6,71.9,47.0,64.7,7.5,8.3,14.7,97.1,113.4,+.030,+5.4,+5.4,+6.1,+0.9,+0.6,+0.3,-0.7,0.0,+9.0
OG Anunoby,Off Court,1727,.538,30.9,75.9,52.8,62.6,8.6,7.9,14.2,95.5,117.5,.537,24.1,69.1,47.2,62.2,7.5,8.7,14.9,96.2,113.5,.000,+6.8,+6.8,+5.7,+0.4,+1.2,-0.8,-0.7,-0.7,+4.0
OG Anunoby,On - Off,56%,+.035,-2.8,+1.5,+0.2,+3.0,-0.4,+0.7,-0.3,+1.6,+4.9,+.006,-1.5,+2.8,-0.2,+2.5,+0.0,-0.4,-0.2,+0.9,-0.1,+.030,-1.4,-1.4,+0.4,+0.5,-0.6,+1.1,+0.0,+0.7,+5.0
Josh Hart,On Court,1994,.564,27.4,77.8,52.2,65.6,8.5,7.6,13.8,96.9,120.2,.555,22.2,72.6,47.8,63.1,7.3,8.1,15.0,97.1,114.9,+.009,+5.2,+5.2,+4.5,+2.4,+1.3,-0.4,-1.2,-0.2,+5.3
Josh Hart,Off Court,1959,.550,31.3,75.7,53.6,62.9,8.2,9.0,14.3,95.9,120.3,.526,24.3,68.7,46.4,64.1,7.7,8.8,14.6,96.3,111.9,+.024,+7.0,+7.0,+7.3,-1.2,+0.5,+0.1,-0.3,-0.4,+8.4
Josh Hart,On - Off,50%,+.014,-3.9,+2.1,-1.4,+2.7,+0.3,-1.4,-0.5,+1.0,-0.1,+.029,-2.1,+3.9,+1.4,-1.0,-0.4,-0.7,+0.4,+0.8,+3.0,-.015,-1.8,-1.8,-2.8,+3.6,+0.8,-0.5,-0.9,+0.2,-3.1
