Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,D. Ayton | L. Dončić | L. James | J. LaRavia | M. Smart,225:26,-2.8,-1.3,-7.3,+.026,-7.0,-11.3,-.080,-.006,+7.0,+7.0,+.079,-1.9,-0.1,+5.4,-0.1,+1.9,+4.6,+0.5,-1.7,+3.2,+2.9,-0.6
2,D. Ayton | L. Dončić | L. James | A. Reaves | M. Smart,187:43,+12.9,+5.0,+4.8,+.029,+1.2,-0.6,+.043,+.032,+1.8,+4.2,-.067,-0.9,-2.0,-0.4,-2.0,-0.5,-1.3,-0.7,+4.5,+0.5,-6.0,-3.1
3,D. Ayton | L. Dončić | R. Hachimura | L. James | A. Reaves,132:09,-14.3,-5.2,-9.4,-.005,-5.0,-6.0,-.078,-.025,+1.1,+1.1,+.018,-4.3,-8.6,-1.2,-8.6,-2.7,-6.4,-6.0,-4.7,+0.7,+4.7,+0.2
4,D. Ayton | L. Dončić | R. Hachimura | A. Reaves | M. Smart,116:23,+20.6,+7.6,+0.8,+.081,+2.9,-2.3,+.092,+.096,+2.4,+3.9,-.016,-4.2,-6.1,+1.3,-6.1,-1.9,-4.0,+0.7,+4.1,+0.1,-6.0,-1.3
5,D. Ayton | L. Dončić | R. Hachimura | J. LaRavia | M. Smart,74:13,-3.9,-2.4,-5.4,+.004,-6.6,-11.1,-.049,-.028,+7.5,+10.2,-.011,-0.6,-1.7,-0.9,-1.7,-0.7,-1.7,-3.8,-2.1,+0.6,-0.6,-1.0
6,D. Ayton | L. Dončić | L. James | J. LaRavia | A. Reaves,58:29,-1.5,-4.3,-20.0,+.058,-5.6,-13.5,-.037,+.041,+12.7,+11.9,+.099,-6.4,-7.2,+8.6,-7.2,+1.2,+3.0,-7.9,-6.8,+0.8,+3.6,-2.5
7,D. Ayton | L. Dončić | J. LaRavia | M. Smart | J. Vanderbilt,53:21,-16.7,-8.2,-3.3,-.079,-1.0,+4.1,-.065,-.082,+0.7,-1.1,+.060,+1.7,+1.8,-2.3,+1.8,-0.4,-1.1,-9.8,-4.3,0.0,+3.4,-1.3
8,L. Dončić | R. Hachimura | J. Hayes | A. Reaves | M. Smart,52:33,+12.0,+1.2,-5.4,+.040,+8.3,+3.9,+.169,+.092,+1.4,+3.2,-.045,-4.9,-6.6,+2.5,-6.6,-1.4,-3.0,-3.3,-2.7,+1.9,-1.2,-1.4
9,D. Ayton | L. Dončić | R. Hachimura | A. Reaves | G. Vincent,51:22,-5.8,-1.9,-7.7,+.030,-6.7,0.0,-.189,-.003,+4.8,+9.6,-.094,-2.9,-5.7,+1.0,-5.7,-1.0,-2.6,-4.8,-2.9,-1.0,+3.8,-1.9
10,L. Dončić | R. Hachimura | J. Hayes | L. Kennard | A. Reaves,48:34,+8.9,+0.9,-15.2,+.107,+1.1,-2.2,+.061,+.124,+6.0,+8.9,-.023,-9.2,-16.0,+6.8,-16.0,-0.9,-2.3,-2.3,+0.8,+4.6,-0.7,-3.7
11,D. Ayton | L. Dončić | R. Hachimura | L. James | M. Smart,47:43,-20.2,-7.1,-7.1,-.042,-1.0,-1.0,-.022,-.043,-5.1,+2.0,-.273,+1.0,+0.8,-2.0,+0.8,-0.5,-1.1,-3.0,-3.0,-1.0,+5.1,-2.5
12,L. Dončić | R. Hachimura | J. Hayes | J. Vanderbilt | G. Vincent,46:33,+11.6,-0.5,-17.6,+.101,+2.8,-6.4,+.117,+.138,+9.7,+20.5,-.379,-6.0,-11.9,+1.3,-11.9,-2.5,-6.5,-1.3,-0.9,+3.0,+0.8,-6.4
13,D. Ayton | R. Hachimura | L. James | J. LaRavia | A. Reaves,41:57,-3.4,-3.9,-10.0,+.007,-5.9,-12.6,-.077,-.020,+10.2,+13.9,-.051,+0.2,+1.5,+2.8,+1.5,+1.8,+4.0,-6.6,-6.2,+2.3,+2.7,-4.3
14,D. Ayton | R. Hachimura | L. James | L. Kennard | J. LaRavia,39:19,+29.8,+13.8,+1.5,+.155,-0.2,-12.1,+.183,+.153,+2.4,+1.0,+.062,-9.3,-16.6,+0.3,-16.6,-4.6,-12.3,+15.3,+10.7,+1.3,-10.7,+0.7
15,L. Dončić | J. Hayes | L. James | J. LaRavia | M. Smart,37:46,-9.5,-0.6,-6.5,+.032,-5.5,-8.4,-.048,+.008,-2.8,-5.5,+.042,-2.8,-1.5,+8.4,-1.5,+2.6,+6.5,-0.5,-7.8,+0.1,+5.1,-0.7
16,L. Dončić | R. Hachimura | J. Hayes | J. LaRavia | G. Vincent,35:38,-6.3,-8.6,-14.5,-.019,+0.2,-4.8,+.058,-.008,+10.7,+18.6,-.189,-3.8,-3.2,+4.8,-3.2,+0.7,+1.4,-12.7,-4.0,+2.5,+1.5,-5.9
17,L. Dončić | R. Hachimura | J. Hayes | L. James | A. Reaves,34:41,+16.6,+5.2,+1.4,+.047,-4.2,-12.7,.000,+.023,+10.6,+12.1,+.150,+6.1,+13.3,+5.4,+13.3,+5.9,+13.3,-5.5,+2.8,+2.9,-5.7,+0.7
18,D. Ayton | L. Dončić | R. Hachimura | J. LaRavia | A. Reaves,32:05,+32.1,+8.0,-12.1,+.142,+4.4,+5.2,+.096,+.172,+11.7,+16.2,-.090,-0.4,+7.8,+15.0,+7.8,+6.9,+13.8,+8.7,-2.8,+4.7,-0.5,-0.8
19,L. Dončić | J. Hayes | L. James | J. LaRavia | G. Vincent,31:45,+1.3,-3.3,-22.4,+.076,+0.2,-0.3,+.007,+.100,+7.7,+10.0,+.029,-16.7,-25.3,-6.6,-25.3,-12.2,-23.5,-2.1,-5.5,+1.8,+0.4,-3.1
20,L. Dončić | R. Hachimura | J. Hayes | L. Kennard | J. LaRavia,29:11,+26.9,+7.7,+1.8,+.073,+16.8,+14.7,+.278,+.162,-5.4,+1.4,-.326,-5.3,-8.2,+5.6,-8.2,0.0,0.0,-0.6,+1.8,+0.1,-5.3,0.0
