"Lineup","MP","MP_decimal","PTS_diff","Has_Luka","Has_Reaves","Has_LeBron","Tier"
"D. Ayton | L. Dončić | L. James | J. LaRavia | M. Smart","225:26","225.433","-2.8","TRUE","FALSE","TRUE","One"
"D. Ayton | L. Dončić | L. James | A. Reaves | M. Smart","187:43","187.717","12.9","TRUE","TRUE","TRUE","Both"
"D. Ayton | L. Dončić | R. Hachimura | L. James | A. Reaves","132:09","132.15","-14.3","TRUE","TRUE","TRUE","Both"
"D. Ayton | L. Dončić | R. Hachimura | A. Reaves | M. Smart","116:23","116.383","20.6","TRUE","TRUE","FALSE","Both"
"D. Ayton | L. Dončić | R. Hachimura | J. LaRavia | M. Smart","74:13","74.217","-3.9","TRUE","FALSE","FALSE","One"
"D. Ayton | L. Dončić | L. James | J. LaRavia | A. Reaves","58:29","58.483","-1.5","TRUE","TRUE","TRUE","Both"
"D. Ayton | L. Dončić | J. LaRavia | M. Smart | J. Vanderbilt","53:21","53.35","-16.7","TRUE","FALSE","FALSE","One"
"L. Dončić | R. Hachimura | J. Hayes | A. Reaves | M. Smart","52:33","52.55","12","TRUE","TRUE","FALSE","Both"
"D. Ayton | L. Dončić | R. Hachimura | A. Reaves | G. Vincent","51:22","51.367","-5.8","TRUE","TRUE","FALSE","Both"
"L. Dončić | R. Hachimura | J. Hayes | L. Kennard | A. Reaves","48:34","48.567","8.9","TRUE","TRUE","FALSE","Both"
"D. Ayton | L. Dončić | R. Hachimura | L. James | M. Smart","47:43","47.717","-20.2","TRUE","FALSE","TRUE","One"
"L. Dončić | R. Hachimura | J. Hayes | J. Vanderbilt | G. Vincent","46:33","46.55","11.6","TRUE","FALSE","FALSE","One"
"D. Ayton | R. Hachimura | L. James | J. LaRavia | A. Reaves","41:57","41.95","-3.4","FALSE","TRUE","TRUE","One"
"D. Ayton | R. Hachimura | L. James | L. Kennard | J. LaRavia","39:19","39.317","29.8","FALSE","FALSE","TRUE","Neither"
"L. Dončić | J. Hayes | L. James | J. LaRavia | M. Smart","37:46","37.767","-9.5","TRUE","FALSE","TRUE","One"
"L. Dončić | R. Hachimura | J. Hayes | J. LaRavia | G. Vincent","35:38","35.633","-6.3","TRUE","FALSE","FALSE","One"
"L. Dončić | R. Hachimura | J. Hayes | L. James | A. Reaves","34:41","34.683","16.6","TRUE","TRUE","TRUE","Both"
"D. Ayton | L. Dončić | R. Hachimura | J. LaRavia | A. Reaves","32:05","32.083","32.1","TRUE","TRUE","FALSE","Both"
"L. Dončić | J. Hayes | L. James | J. LaRavia | G. Vincent","31:45","31.75","1.3","TRUE","FALSE","TRUE","One"
"L. Dončić | R. Hachimura | J. Hayes | L. Kennard | J. LaRavia","29:11","29.183","26.9","TRUE","FALSE","FALSE","One"
