"Player","Split","MP","team_eFG","team_ORB","team_DRB","team_TRB","team_AST","team_STL","team_BLK","team_TOV","team_Pace","team_ORtg","opp_eFG","opp_ORB","opp_DRB","opp_TRB","opp_AST","opp_STL","opp_BLK","opp_TOV","opp_Pace","opp_ORtg","diff_eFG","diff_ORB","diff_DRB","diff_TRB","diff_AST","diff_STL","diff_BLK","diff_TOV","diff_Pace","diff_ORtg"
"Luka Doncic","On Court","2290","","","","","","","","","","121","","","","","","","","","","117.2","","","","","","","","","","3.8"
"Luka Doncic","Off Court","","","","","","","","","","","115.4","","","","","","","","","","116.3","","","","","","","","","","-0.9"
"Luka Doncic","On - Off","","","","","","","","","","","5.6","","","","","","","","","","0.9","","","","","","","","","","4.7"
"Jake LaRavia","On Court","2052","","","","","","","","","","119.1","","","","","","","","","","118.6","","","","","","","","","","0.5"
"Jake LaRavia","Off Court","","","","","","","","","","","118.2","","","","","","","","","","114.8","","","","","","","","","","3.4"
"Jake LaRavia","On - Off","","","","","","","","","","","0.9","","","","","","","","","","3.8","","","","","","","","","","-2.9"
"LeBron James","On Court","1990","","","","","","","","","","118.7","","","","","","","","","","115.7","","","","","","","","","","3"
"LeBron James","Off Court","","","","","","","","","","","118.7","","","","","","","","","","117.9","","","","","","","","","","0.8"
"LeBron James","On - Off","","","","","","","","","","","0","","","","","","","","","","-2.2","","","","","","","","","","2.2"
"Deandre Ayton","On Court","1959","","","","","","","","","","117.7","","","","","","","","","","117.3","","","","","","","","","","0.4"
"Deandre Ayton","Off Court","","","","","","","","","","","119.7","","","","","","","","","","116.3","","","","","","","","","","3.4"
"Deandre Ayton","On - Off","","","","","","","","","","","-2","","","","","","","","","","1","","","","","","","","","","-3"
"Rui Hachimura","On Court","1926","","","","","","","","","","118.5","","","","","","","","","","116.6","","","","","","","","","","1.9"
"Rui Hachimura","Off Court","","","","","","","","","","","118.9","","","","","","","","","","117","","","","","","","","","","1.9"
"Rui Hachimura","On - Off","","","","","","","","","","","-0.4","","","","","","","","","","-0.4","","","","","","","","","",
"Marcus Smart","On Court","1758","","","","","","","","","","120.1","","","","","","","","","","112.8","","","","","","","","","","7.3"
"Marcus Smart","Off Court","","","","","","","","","","","117.6","","","","","","","","","","120.1","","","","","","","","","","-2.5"
"Marcus Smart","On - Off","","","","","","","","","","","2.5","","","","","","","","","","-7.3","","","","","","","","","","9.8"
"Austin Reaves","On Court","1761","","","","","","","","","","120","","","","","","","","","","115.2","","","","","","","","","","4.8"
"Austin Reaves","Off Court","","","","","","","","","","","117.7","","","","","","","","","","118.1","","","","","","","","","","-0.4"
"Austin Reaves","On - Off","","","","","","","","","","","2.3","","","","","","","","","","-2.9","","","","","","","","","","5.2"
"Jaxson Hayes","On Court","1208","","","","","","","","","","118.7","","","","","","","","","","116.2","","","","","","","","","","2.5"
"Jaxson Hayes","Off Court","","","","","","","","","","","118.7","","","","","","","","","","117.1","","","","","","","","","","1.6"
"Jaxson Hayes","On - Off","","","","","","","","","","","0","","","","","","","","","","-0.9","","","","","","","","","","0.9"
"Jarred Vanderbilt","On Court","1141","","","","","","","","","","118.2","","","","","","","","","","116.9","","","","","","","","","","1.3"
"Jarred Vanderbilt","Off Court","","","","","","","","","","","118.9","","","","","","","","","","116.8","","","","","","","","","","2.1"
"Jarred Vanderbilt","On - Off","","","","","","","","","","","-0.7","","","","","","","","","","0.1","","","","","","","","","","-0.8"
"Luke Kennard","On Court","738","","","","","","","","","","122.6","","","","","","","","","","119.8","","","","","","","","","","2.8"
"Luke Kennard","Off Court","","","","","","","","","","","117.8","","","","","","","","","","116.1","","","","","","","","","","1.7"
"Luke Kennard","On - Off","","","","","","","","","","","4.8","","","","","","","","","","3.7","","","","","","","","","","1.1"
"Gabe Vincent","On Court","560","","","","","","","","","","121.2","","","","","","","","","","122.1","","","","","","","","","","-0.9"
"Gabe Vincent","Off Court","","","","","","","","","","","118.3","","","","","","","","","","115.9","","","","","","","","","","2.4"
"Gabe Vincent","On - Off","","","","","","","","","","","2.9","","","","","","","","","","6.2","","","","","","","","","","-3.3"
"Dalton Knecht","On Court","553","","","","","","","","","","110","","","","","","","","","","117.5","","","","","","","","","","-7.5"
"Dalton Knecht","Off Court","","","","","","","","","","","120.1","","","","","","","","","","116.7","","","","","","","","","","3.4"
"Dalton Knecht","On - Off","","","","","","","","","","","-10.1","","","","","","","","","","0.8","","","","","","","","","","-10.9"
"Maxi Kleber","On Court","450","","","","","","","","","","118.7","","","","","","","","","","113.6","","","","","","","","","","5.1"
"Maxi Kleber","Off Court","","","","","","","","","","","118.7","","","","","","","","","","117.2","","","","","","","","","","1.5"
"Maxi Kleber","On - Off","","","","","","","","","","","0","","","","","","","","","","-3.6","","","","","","","","","","3.6"
"Nick Smith Jr.","On Court","375","","","","","","","","","","115.1","","","","","","","","","","115.5","","","","","","","","","","-0.4"
"Nick Smith Jr.","Off Court","","","","","","","","","","","119.1","","","","","","","","","","116.9","","","","","","","","","","2.1"
"Nick Smith Jr.","On - Off","","","","","","","","","","","-4","","","","","","","","","","-1.4","","","","","","","","","","-2.5"
"Bronny James","On Court","375","","","","","","","","","","112.7","","","","","","","","","","118.2","","","","","","","","","","-5.5"
"Bronny James","Off Court","","","","","","","","","","","119.3","","","","","","","","","","116.7","","","","","","","","","","2.7"
"Bronny James","On - Off","","","","","","","","","","","-6.6","","","","","","","","","","1.5","","","","","","","","","","-8.2"
