Player-additional,PG_Rk,PG_Player,PG_Age,PG_Pos,PG_G,PG_GS,PG_MP,PG_FG,PG_FGA,PG_FG%,PG_3P,PG_3PA,PG_3P%,PG_2P,PG_2PA,PG_2P%,PG_eFG%,PG_FT,PG_FTA,PG_FT%,PG_ORB,PG_DRB,PG_TRB,PG_AST,PG_STL,PG_BLK,PG_TOV,PG_PF,PG_PTS,ADV_Rk,ADV_Player,ADV_Age,ADV_Pos,ADV_G,ADV_GS,ADV_MP,ADV_PER,ADV_TS%,ADV_3PAr,ADV_FTr,ADV_ORB%,ADV_DRB%,ADV_TRB%,ADV_AST%,ADV_STL%,ADV_BLK%,ADV_TOV%,ADV_USG%,ADV_OWS,ADV_DWS,ADV_WS,ADV_WS/48,ADV_OBPM,ADV_DBPM,ADV_BPM,ADV_VORP,P100_Rk,P100_Player,P100_Age,P100_G,P100_GS,P100_MP,P100_FG,P100_FGA,P100_FG%,P100_3P,P100_3PA,P100_3P%,P100_2P,P100_2PA,P100_2P%,P100_eFG%,P100_FT,P100_FTA,P100_FT%,P100_ORB,P100_DRB,P100_TRB,P100_AST,P100_STL,P100_BLK,P100_TOV,P100_PF,P100_PTS,P100_ORtg,P100_DRtg
edwaran01,1,Anthony Edwards,24,SG,61,60,35.0,9.9,20.2,.489,3.4,8.4,.399,6.5,11.8,.554,.572,5.7,7.2,.796,0.6,4.4,5.0,3.7,1.4,0.8,2.9,1.9,28.8,5,Anthony Edwards,24,SG,61,60,2137,21.8,.617,.418,.355,1.9,13.4,7.8,17.6,1.9,2.0,10.9,31.5,3.9,2.7,6.5,.147,4.7,-0.1,4.5,3.5,5,Anthony Edwards,24,61,60,2137,13.5,27.5,.489,4.6,11.5,.399,8.9,16.0,.554,.572,7.8,9.8,.796,0.8,5.9,6.7,5.0,1.9,1.1,3.9,2.6,39.3,117,114
randlju01,2,Julius Randle,31,PF,79,79,33.0,7.3,15.3,.481,1.4,4.4,.315,6.0,10.9,.547,.526,5.0,6.3,.802,1.7,5.1,6.7,5.0,1.1,0.2,2.7,2.8,21.1,1,Julius Randle,31,PF,79,79,2610,18.4,.585,.287,.411,5.7,16.5,11.2,23.1,1.6,0.6,13.2,26.5,4.3,3.1,7.4,.135,1.5,0.0,1.5,2.3,1,Julius Randle,31,79,79,2610,10.6,22.1,.481,2.0,6.3,.315,8.6,15.8,.547,.526,7.3,9.1,.802,2.4,7.3,9.7,7.3,1.6,0.3,4.0,4.1,30.5,117,114
mcdanja02,3,Jaden McDaniels,25,PF,73,73,31.7,5.7,11.1,.515,1.4,3.4,.412,4.3,7.7,.562,.579,2.0,2.4,.835,1.0,3.2,4.2,2.7,1.1,1.0,1.8,3.3,14.8,4,Jaden McDaniels,25,PF,73,73,2316,14.0,.611,.309,.218,3.7,10.9,7.4,12.2,1.7,2.7,12.9,18.5,2.5,2.7,5.2,.109,-0.9,0.6,-0.3,1.0,4,Jaden McDaniels,25,73,73,2316,8.6,16.7,.515,2.1,5.2,.412,6.5,11.5,.562,.579,3.0,3.6,.835,1.6,4.8,6.4,4.1,1.7,1.5,2.7,5.0,22.3,117,114
goberru01,4,Rudy Gobert,33,C,76,76,31.3,4.4,6.5,.682,0.0,0.1,.000,4.4,6.4,.689,.682,2.1,4.0,.526,3.9,7.5,11.5,1.7,0.8,1.6,1.4,2.6,10.9,3,Rudy Gobert,33,C,76,76,2380,17.5,.664,.010,.615,14.1,25.9,20.1,7.2,1.2,4.5,14.5,12.9,4.8,4.0,8.7,.176,0.0,0.9,1.0,1.8,3,Rudy Gobert,33,76,76,2380,6.7,9.9,.682,0.0,0.1,.000,6.7,9.8,.689,.682,3.2,6.1,.526,6.0,11.5,17.5,2.6,1.2,2.5,2.1,4.0,16.6,132,110
divindo01,5,Donte DiVincenzo,29,SG,82,82,30.4,4.1,10.2,.406,3.0,7.9,.379,1.2,2.3,.497,.552,1.0,1.3,.743,0.8,3.3,4.1,3.8,1.3,0.4,1.4,2.4,12.2,2,Donte DiVincenzo,29,SG,82,82,2494,12.5,.567,.771,.126,3.0,11.6,7.4,16.8,2.0,1.2,11.8,16.9,2.3,2.9,5.2,.100,0.0,0.7,0.8,1.7,2,Donte DiVincenzo,29,82,82,2494,6.5,16.0,.406,4.7,12.3,.379,1.8,3.7,.497,.552,1.5,2.0,.743,1.3,5.1,6.4,6.0,2.0,0.7,2.3,3.8,19.1,116,115
dosunay01,6,Ayo Dosunmu,26,SG,24,9,28.9,5.7,10.9,.521,1.5,3.6,.414,4.2,7.3,.575,.590,1.5,1.7,.925,0.6,3.6,4.2,3.5,1.0,0.3,1.5,2.2,14.4,10,Ayo Dosunmu,26,SG,24,9,694,15.6,.619,.333,.153,2.3,13.5,8.0,17.8,1.7,0.7,11.2,19.0,1.1,0.8,1.9,.132,0.7,0.8,1.5,0.6,10,Ayo Dosunmu,26,24,9,694,9.4,18.0,.521,2.5,6.0,.414,6.9,12.0,.575,.590,2.5,2.8,.925,1.0,6.0,6.9,5.8,1.7,0.4,2.4,3.6,23.7,122,115
reidna01,7,Naz Reid,26,C,77,3,26.1,5.2,11.3,.456,2.1,5.8,.362,3.1,5.5,.556,.549,1.2,1.6,.732,1.2,5.0,6.2,2.2,1.0,1.0,1.6,2.5,13.6,6,Naz Reid,26,C,77,3,2007,15.4,.565,.514,.141,5.0,20.8,13.1,12.4,1.8,3.4,12.0,22.1,0.9,3.2,4.0,.097,-0.1,1.0,0.9,1.5,6,Naz Reid,26,77,3,2007,9.4,20.7,.456,3.9,10.7,.362,5.6,10.1,.556,.549,2.1,2.9,.732,2.1,9.2,11.3,4.0,1.8,1.9,3.0,4.6,24.9,110,111
anderky01,8,Kyle Anderson,32,SF,19,2,19.1,1.8,3.9,.473,0.0,0.3,.000,1.8,3.6,.507,.473,0.9,1.2,.773,1.1,2.6,3.7,3.3,0.8,0.6,0.8,2.0,4.6,12,Kyle Anderson,32,SF,19,2,363,12.7,.520,.068,.297,6.2,14.8,10.6,21.7,2.1,2.9,15.2,11.5,0.4,0.5,1.0,.126,-1.2,2.8,1.6,0.3,12,Kyle Anderson,32,19,2,363,4.6,9.7,.473,0.0,0.7,.000,4.6,9.1,.507,.473,2.2,2.9,.773,2.6,6.6,9.2,8.2,2.1,1.6,2.0,5.0,11.4,122,112
conlemi01,9,Mike Conley,38,PG,54,15,18.4,1.3,4.0,.335,1.0,3.1,.337,0.3,0.9,.327,.465,0.8,0.9,.900,0.3,1.4,1.7,2.9,0.6,0.3,0.6,1.6,4.5,8,Mike Conley,38,PG,54,15,991,9.4,.517,.772,.233,2.0,8.2,5.2,19.5,1.7,1.2,12.5,11.5,0.9,1.0,1.9,.092,-2.3,1.0,-1.3,0.2,8,Mike Conley,38,54,15,991,3.5,10.4,.335,2.7,8.0,.337,0.8,2.4,.327,.465,2.2,2.4,.900,0.9,3.6,4.5,7.6,1.7,0.7,1.6,4.0,11.8,120,116
hylanbo01,10,Bones Hyland,25,PG,71,3,16.6,3.0,6.6,.453,1.6,4.2,.388,1.4,2.4,.568,.577,0.9,1.2,.780,0.3,1.5,1.8,2.6,0.6,0.2,1.0,1.7,8.5,7,Bones Hyland,25,PG,71,3,1177,15.1,.599,.639,.175,2.2,9.5,5.9,22.7,1.8,1.3,12.2,20.6,1.8,1.3,3.1,.126,1.2,0.5,1.7,1.1,7,Bones Hyland,25,71,3,1177,8.6,19.0,.453,4.7,12.1,.388,3.9,6.9,.568,.577,2.6,3.3,.780,0.9,4.2,5.2,7.6,1.8,0.7,2.8,4.9,24.5,120,116
clarkja02,11,Jaylen Clark,24,SG,68,1,13.1,1.5,3.4,.434,0.5,1.5,.327,1.0,1.9,.520,.507,0.6,1.0,.657,0.8,1.0,1.8,0.6,0.7,0.1,0.3,1.3,4.0,9,Jaylen Clark,24,SG,68,1,888,10.3,.534,.443,.294,6.8,8.0,7.4,6.3,2.5,0.9,8.2,13.3,0.6,1.0,1.7,.090,-3.2,0.7,-2.4,-0.1,9,Jaylen Clark,24,68,1,888,5.3,12.3,.434,1.8,5.4,.327,3.5,6.8,.520,.507,2.4,3.6,.657,2.9,3.5,6.5,2.3,2.5,0.5,1.2,4.7,14.8,116,115
shannte01,12,Terrence Shannon Jr.,25,SG,43,2,12.5,1.8,4.0,.450,0.7,1.8,.408,1.1,2.2,.484,.541,1.3,1.6,.800,0.2,0.9,1.1,0.9,0.3,0.0,0.6,1.2,5.6,11,Terrence Shannon Jr.,25,SG,43,2,538,11.1,.597,.444,.409,2.1,7.8,5.0,9.5,1.2,0.2,10.6,17.7,0.6,0.4,1.0,.090,-2.5,-1.1,-3.6,-0.2,11,Terrence Shannon Jr.,25,43,2,538,6.8,15.2,.450,2.8,6.7,.408,4.1,8.4,.484,.541,5.0,6.2,.800,0.9,3.5,4.3,3.4,1.2,0.1,2.1,4.4,21.4,118,118
dilliro01,13,Rob Dillingham,21,PG,35,0,9.3,1.3,4.0,.333,0.3,0.9,.364,1.0,3.1,.324,.376,0.4,0.6,.750,0.1,1.0,1.2,1.7,0.5,0.1,1.0,1.0,3.5,13,Rob Dillingham,21,PG,35,0,326,6.0,.404,.234,.142,1.7,11.9,6.9,24.1,2.8,0.8,19.4,24.0,-1.0,0.4,-0.5,-0.079,-7.9,-0.3,-8.2,-0.5,13,Rob Dillingham,21,35,0,326,6.9,20.7,.333,1.8,4.8,.364,5.1,15.8,.324,.376,2.2,2.9,.750,0.7,5.3,6.0,8.5,2.8,0.4,5.3,5.3,17.7,85,113
freemen01,14,Enrique Freeman,25,PF,4,0,9.3,1.0,2.0,.500,0.5,1.0,.500,0.5,1.0,.500,.625,0.8,1.0,.750,0.5,2.0,2.5,0.5,0.5,0.8,0.5,1.3,3.3,20,Enrique Freeman,25,PF,4,0,37,15.6,.666,.500,.500,6.1,23.3,14.8,7.0,2.6,7.0,17.0,13.4,0.0,0.1,0.1,.162,-1.5,1.5,0.0,0.0,20,Enrique Freeman,25,4,0,37,5.2,10.3,.500,2.6,5.2,.500,2.6,5.2,.500,.625,3.9,5.2,.750,2.6,10.3,12.9,2.6,2.6,3.9,2.6,6.5,16.8,123,106
pullizy01,15,Zyon Pullin,24,SG,5,0,8.6,1.8,2.6,.692,0.2,0.6,.333,1.6,2.0,.800,.731,0.8,0.8,1.000,0.2,0.4,0.6,1.8,0.2,0.0,0.6,1.2,4.6,19,Zyon Pullin,24,SG,5,0,43,18.8,.779,.231,.308,2.6,5.0,3.8,31.0,1.1,0.0,16.9,17.4,0.2,0.0,0.2,.222,0.2,-1.3,-1.1,0.0,19,Zyon Pullin,24,5,0,43,10.0,14.4,.692,1.1,3.3,.333,8.9,11.1,.800,.731,4.4,4.4,1.000,1.1,2.2,3.3,10.0,1.1,0.0,3.3,6.7,25.5,144,119
berinjo01,16,Joan Beringer,19,PF,40,3,7.9,1.6,2.5,.663,0.0,0.0,,1.6,2.5,.663,.663,0.7,0.9,.703,1.1,1.2,2.3,0.3,0.2,0.7,0.3,1.2,3.9,14,Joan Beringer,19,PF,40,3,314,21.3,.683,.000,.378,16.1,16.1,16.1,5.6,1.1,7.2,8.8,16.8,1.0,0.5,1.5,.222,0.2,0.2,0.4,0.2,14,Joan Beringer,19,40,3,314,9.9,14.9,.663,0.0,0.0,,9.9,14.9,.663,.663,4.0,5.6,.703,6.8,7.1,14.0,1.8,1.1,4.0,1.7,7.1,23.7,139,111
phillju01,17,Julian Phillips,22,SF,13,0,7.2,1.1,2.5,.424,0.3,1.2,.250,0.8,1.3,.588,.485,0.7,0.9,.750,0.1,0.3,0.4,0.2,0.4,0.1,0.3,0.8,3.2,17,Julian Phillips,22,SF,13,0,94,9.2,.536,.485,.364,1.2,4.6,2.9,4.3,2.5,0.9,9.5,19.0,0.0,0.1,0.1,.041,-4.7,-1.3,-6.0,-0.1,17,Julian Phillips,22,13,0,94,7.1,16.8,.424,2.0,8.1,.250,5.1,8.6,.588,.485,4.6,6.1,.750,0.5,2.0,2.5,1.5,2.5,0.5,2.0,5.1,20.8,104,115
zikarro01,18,Rocco Zikarsky,19,C,5,0,7.2,1.0,1.6,.625,0.0,0.0,,1.0,1.6,.625,.625,0.8,0.8,1.000,0.4,2.4,2.8,0.4,0.0,1.0,0.2,0.6,2.8,21,Rocco Zikarsky,19,C,5,0,36,21.0,.717,.000,.500,6.2,35.9,21.4,7.5,0.0,12.0,9.3,12.6,0.1,0.1,0.2,.237,0.7,1.7,2.4,0.0,21,Rocco Zikarsky,19,5,0,36,6.6,10.6,.625,0.0,0.0,,6.6,10.6,.625,.625,5.3,5.3,1.000,2.7,15.9,18.6,2.7,0.0,6.6,1.3,4.0,18.6,145,105
