,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Anthony Edwards,21,5,5,199,.602,.548,1.8,13.6,7.4,26.5,2.3,4.4,5.7,32.4,122,116,25.5,edwaran01
2,Karl-Anthony Towns,27,5,5,180,.553,.500,3.8,30.2,16.7,9.4,0.8,1.9,17.9,25.8,96,117,11.2,townska01
3,Rudy Gobert,30,5,5,177,.648,.630,11.7,28.4,19.9,9.1,0.6,2.5,12.1,17.2,129,117,14.2,goberru01
4,Mike Conley,35,5,5,183,.640,.595,1.4,7.0,4.0,25.9,0.8,0.0,13.0,13.6,130,124,11.4,conlemi01
5,Nickeil Alexander-Walker,24,5,4,148,.578,.571,0.7,7.7,4.0,6.6,1.1,0.6,9.9,12.7,108,123,5.5,alexani01
6,Taurean Prince,28,5,1,100,.528,.485,3.4,5.4,4.3,6.5,1.5,0.9,11.9,19.4,97,123,4.2,princta02
7,Kyle Anderson,29,4,0,104,.551,.533,3.9,15.9,9.5,29.0,3.5,1.8,16.3,16.7,109,116,8.7,anderky01
8,Jaylen Nowell,23,5,0,62,.298,.288,6.6,2.5,4.5,9.4,0.0,0.0,6.9,21.8,67,130,0.3,nowelja01
9,Austin Rivers,30,4,0,46,.625,.625,2.7,9.5,5.7,2.9,1.1,0.0,11.1,9.1,109,121,2.1,riverau01
10,Nathan Knight,25,2,0,5,.250,.250,21.2,0.0,11.1,0.0,0.0,0.0,20.0,51.4,49,127,-0.4,knighna01
11,Jordan McLaughlin,26,2,0,14,.000,.000,0.0,15.5,7.4,20.3,0.0,0.0,0.0,13.6,28,119,-0.8,mclaujo01
12,Josh Minott,20,1,0,6,.000,.000,0.0,0.0,0.0,0.0,16.3,14.9,50.0,15.3,0,78,0.6,minotjo01
13,Wendell Moore Jr.,21,1,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.5,0,127,-1.0,moorewe01
,Team Totals,26.6,5,,1225,.565,.525,19.5,75.1,46.7,59.8,6.9,8.7,12.1,,109.7,118.8,,-9999
