,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Julius Randle,31,6,6,202,40,93,6,20,29,39,9,35,44,25,2,1,16,21,115,.430,.300,.744,33.7,19.2,7.3,4.2,0.3,0.2,randlju01
2,Ayo Dosunmu,26,5,1,162,39,64,12,22,19,20,6,8,14,20,2,1,7,14,109,.609,.545,.950,32.5,21.8,2.8,4.0,0.4,0.2,dosunay01
3,Jaden McDaniels,25,6,6,217,44,89,2,18,17,21,17,24,41,16,3,4,10,25,107,.494,.111,.810,36.1,17.8,6.8,2.7,0.5,0.7,mcdanja02
4,Anthony Edwards,24,4,4,119,24,67,8,31,18,21,1,26,27,12,1,5,7,11,74,.358,.258,.857,29.8,18.5,6.8,3.0,0.3,1.3,edwaran01
5,Naz Reid,26,6,0,148,27,59,7,22,4,7,8,34,42,12,3,1,11,18,65,.458,.318,.571,24.6,10.8,7.0,2.0,0.5,0.2,reidna01
6,Rudy Gobert,33,6,6,208,19,36,0,1,8,17,22,42,64,18,8,7,8,19,46,.528,.000,.471,34.7,7.7,10.7,3.0,1.3,1.2,goberru01
7,Donte DiVincenzo,29,4,4,96,16,32,11,23,0,2,0,15,15,16,7,0,4,10,43,.500,.478,.000,24.0,10.8,3.8,4.0,1.8,0.0,divindo01
8,Bones Hyland,25,6,0,82,14,34,8,24,7,8,2,7,9,11,3,0,6,10,43,.412,.333,.875,13.7,7.2,1.5,1.8,0.5,0.0,hylanbo01
9,Terrence Shannon Jr.,25,3,1,56,16,31,4,12,6,6,2,5,7,1,2,0,1,4,42,.516,.333,1.000,18.6,14.0,2.3,0.3,0.7,0.0,shannte01
10,Mike Conley,38,6,2,79,8,17,3,8,0,0,1,8,9,15,4,0,3,11,19,.471,.375,,13.2,3.2,1.5,2.5,0.7,0.0,conlemi01
11,Kyle Anderson,32,5,0,35,2,7,0,0,0,0,1,3,4,8,2,0,5,4,4,.286,,,7.1,0.8,0.8,1.6,0.4,0.0,anderky01
12,Jaylen Clark,24,2,0,24,1,4,1,3,0,0,1,2,3,2,0,1,0,5,3,.250,.333,,11.8,1.5,1.5,1.0,0.0,0.5,clarkja02
13,Joan Beringer,19,2,0,4,0,1,0,0,2,2,2,1,3,0,1,0,1,0,2,.000,,1.000,1.8,1.0,1.5,0.0,0.5,0.0,berinjo01
14,Joe Ingles,38,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.8,0.0,0.0,0.0,0.0,0.0,inglejo01
15,Julian Phillips,22,2,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,,,2.1,0.0,0.5,0.0,0.5,0.0,phillju01
,Team Totals,28.5,6,,1440,250,534,62,184,110,143,72,211,283,156,39,20,81,152,672,.468,.337,.769,240.0,112.0,47.2,26.0,6.5,3.3,-9999
