Lineup,Team,GP,MIN,OffRtg,DefRtg,NetRtg,AST_pct,AST_TO,AST_Ratio,OREB_pct,DREB_pct,REB_pct,TO_Ratio,eFG_pct,TS_pct,PACE,PIE
R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,MIN,54,710,118.8,110.9,7.9,59.9,1.74,18.7,29.8,72.1,52.2,0.1,58.8,61.6,101.72,53.9
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,43,541,115.0,112.8,2.3,70.4,2.17,21.6,24.5,75.4,51.2,0.1,58.3,61.2,100.65,52.7
T. Harris - D. Robinson - C. Cunningham - J. Duren - A. Thompson,DET,42,536,121.4,109.9,11.4,64.7,2.32,20.6,35.0,72.9,54.0,0.1,56.4,58.9,101.84,55.1
M. Bridges - L. Ball - M. Diabaté - B. Miller - K. Knueppel,CHA,49,509,134.9,108.6,26.4,66.3,2.48,21.8,35.5,73.9,55.5,0.1,63.7,66.1,99.25,60.5
C. McCollum - N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels,ATL,30,391,123.1,102.8,20.3,67.0,2.59,20.9,30.1,75.5,52.2,0.1,58.4,61.5,104.15,57.4
K. Durant - J. Okogie - A. Sengun - J. Smith Jr. - A. Thompson,HOU,41,377,121.8,111.5,10.3,59.6,2.05,19.5,36.2,68.4,52.9,0.1,57.6,60.4,98.16,57.2
A. Gordon - N. Jokić - J. Murray - C. Johnson - C. Braun,DEN,23,360,127.0,113.4,13.5,70.1,3.0,22.6,30.5,79.2,55.8,0.1,60.5,64.1,100.0,57.3
B. Ingram - J. Poeltl - R. Barrett - I. Quickley - S. Barnes,TOR,28,354,122.6,115.0,7.6,64.3,2.44,21.2,31.7,71.2,51.2,0.1,59.4,62.3,102.73,53.6
M. Porter Jr. - T. Mann - N. Claxton - N. Clowney - E. Dëmin,BKN,19,307,116.7,114.5,2.2,75.1,1.96,21.3,29.4,72.4,50.1,0.2,56.1,59.6,99.05,49.6
K. Durant - A. Sengun - J. Smith Jr. - T. Eason - A. Thompson,HOU,36,306,116.4,107.3,9.1,63.4,1.92,19.8,38.1,79.3,58.9,0.2,56.3,58.9,98.68,53.4
N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels - Z. Risacher,ATL,31,304,117.9,115.2,2.7,76.8,2.61,23.4,25.9,73.0,49.2,0.1,58.3,60.8,108.33,50.4
J. Harden - K. Leonard - K. Dunn - I. Zubac - J. Collins,LAC,24,303,115.9,113.4,2.5,60.1,1.81,19.2,28.8,72.6,51.1,0.1,57.4,60.7,99.69,51.8
D. Fox - D. Vassell - J. Champagnie - V. Wembanyama - S. Castle,SAS,29,284,125.4,107.7,17.6,70.5,2.71,22.3,27.1,75.2,53.9,0.1,61.2,64.5,104.6,59.3
K. Durant - A. Sengun - J. Smith Jr. - A. Thompson - R. Sheppard,HOU,44,273,114.7,121.1,-6.4,68.1,2.19,20.4,29.4,69.2,48.4,0.1,56.7,60.0,103.15,50.0
D. Booker - R. O'Neale - D. Brooks - M. Williams - C. Gillespie,PHX,30,267,114.7,104.3,10.4,63.2,1.88,19.6,23.9,70.8,47.9,0.1,57.0,60.1,104.0,54.8
W. Carter Jr. - D. Bane - J. Suggs - P. Banchero - T. da Silva,ORL,24,259,116.1,105.2,10.8,63.8,1.64,19.0,28.9,72.5,52.5,0.2,56.4,61.2,102.87,55.4
W. Carter Jr. - D. Bane - J. Suggs - P. Banchero - A. Black,ORL,21,238,109.8,102.9,6.9,71.2,2.04,19.9,18.5,73.7,46.9,0.1,54.8,59.6,104.98,55.2
L. James - M. Smart - D. Ayton - L. Dončić - J. LaRavia,LAL,18,226,115.4,120.9,-5.5,66.5,2.07,20.9,30.3,74.1,53.8,0.1,58.3,61.7,101.8,51.0
J. Brown - D. White - N. Queta - P. Pritchard - S. Hauser,BOS,35,200,122.6,104.7,17.9,58.9,2.46,19.5,29.5,70.5,51.7,0.1,60.1,62.4,98.11,60.1
P. George - J. Embiid - T. Maxey - D. Barlow - V. Edgecombe,PHI,17,193,113.6,113.2,0.4,62.1,2.1,19.0,26.4,69.9,48.2,0.1,53.6,57.5,99.48,49.5
J. Brown - D. White - N. Queta - P. Pritchard - J. Walsh,BOS,26,192,116.8,114.4,2.3,57.4,1.87,18.3,34.4,65.9,51.0,0.1,57.6,59.6,96.9,51.4
N. Alexander-Walker - O. Okongwu - V. Krejčí - J. Johnson - D. Daniels,ATL,28,189,101.7,105.6,-3.9,74.0,1.91,19.6,24.4,70.5,46.8,0.1,50.1,54.5,103.73,49.0
L. James - M. Smart - D. Ayton - L. Dončić - A. Reaves,LAL,16,188,118.8,108.3,10.5,58.9,2.52,19.4,23.7,76.4,50.1,0.1,59.1,61.5,101.65,55.8
T. Harris - D. Robinson - J. Duren - A. Thompson - D. Jenkins,DET,22,184,127.7,99.0,28.8,72.6,2.5,23.2,37.2,77.3,58.9,0.1,60.9,64.5,100.98,66.0
A. Wiggins - B. Adebayo - T. Herro - D. Mitchell - P. Larsson,MIA,14,182,114.1,111.0,3.1,72.6,2.98,22.1,19.9,74.4,45.7,0.1,56.3,58.9,103.32,51.8
