Team,DRtg,Opp_eFG,DRB_pct,ORB_pct
OKC,107.7,0.519,77.7,25.6
BOS,112.7,0.523,70.8,24.3
DET,109.7,0.517,69.1,25.8
SAS,111.3,0.522,73.8,22.7
NYK,113.3,0.541,70.7,23.3
HOU,113.2,0.530,65.2,25.5
MIN,113.5,0.529,74.3,26.3
CLE,115.1,0.543,73.1,25.6
MIA,114.5,0.540,74.6,25.1
TOR,113.0,0.540,74.5,26.0
CHO,114.4,0.540,69.5,23.4
PHI,115.5,0.541,73.8,27.5
DEN,117.4,0.543,76.4,24.7
LAC,116.1,0.545,76.3,27.1
PHO,113.9,0.541,71.1,28.1
POR,114.7,0.541,68.7,27.3
MIL,119.3,0.558,78.9,25.9
ATL,113.7,0.546,75.6,25.5
ORL,114.3,0.545,75.0,24.4
NOP,118.9,0.555,73.0,28.6
DAL,116.5,0.546,76.8,25.9
CHI,118.1,0.553,76.9,24.5
GSW,115.6,0.553,74.2,27.1
LAL,116.4,0.555,76.1,25.7
MEM,118.8,0.562,75.3,29.1
WAS,122.7,0.563,75.9,29.8
IND,118.8,0.556,78.3,25.9
UTA,122.3,0.578,73.8,27.1
SAC,121.5,0.572,74.1,26.5
BRK,119.0,0.571,76.4,26.0
