Team,Split,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST_pct,AST_TO,AST_ratio,OREB_pct,DREB_pct,REB_pct,TOV_pct,eFG_pct,TS_pct,PACE,PIE,POSS
Oklahoma City Thunder,Pre,56,42,14,2713.0,117.8,106.3,11.5,59.0,2.05,18.3,25.8,69.4,48.7,12.3,56.3,60.2,100.66,56.5,5688
Oklahoma City Thunder,Post,24,22,2,1162.0,118.0,104.9,13.1,61.0,2.03,18.7,27.7,70.8,50.2,12.9,56.2,59.9,99.70,57.1,2412
Detroit Pistons,Pre,53,40,13,2554.0,116.6,108.3,8.3,62.0,1.75,18.4,35.2,69.2,52.3,15.2,54.2,57.9,100.35,54.8,5331
Detroit Pistons,Post,27,18,9,1311.0,118.2,110.0,8.2,67.7,2.02,20.3,35.5,68.5,52.4,14.8,55.2,58.8,98.95,55.5,2701
San Antonio Spurs,Pre,54,38,16,2597.0,117.0,110.9,6.1,62.5,1.94,18.7,30.3,72.0,51.5,13.6,55.0,58.8,100.86,53.0,5453
San Antonio Spurs,Post,26,23,3,1253.0,121.8,108.2,13.5,69.3,2.37,21.2,31.1,73.7,53.4,13.1,57.7,60.8,100.44,56.8,2620
Boston Celtics,Pre,54,35,19,2602.0,120.2,112.6,7.5,56.1,1.98,17.5,33.8,69.1,51.4,12.6,55.1,57.9,95.70,52.7,5180
Boston Celtics,Post,26,19,7,1248.0,119.4,110.2,9.2,62.8,2.03,18.8,33.9,75.2,55.2,13.4,55.2,58.7,94.60,55.1,2460
Denver Nuggets,Pre,55,35,20,2670.0,121.0,116.9,4.1,65.3,2.20,19.9,28.7,70.2,50.5,12.8,57.4,61.4,98.42,52.8,5473
Denver Nuggets,Post,25,17,8,1220.0,121.4,114.8,6.6,69.7,2.38,21.1,27.6,75.3,52.4,12.7,58.2,61.9,101.63,52.8,2583
New York Knicks,Pre,55,35,20,2655.0,118.9,112.8,6.1,63.5,2.00,19.1,32.8,71.2,51.8,13.7,55.4,58.8,98.67,52.9,5459
New York Knicks,Post,25,17,8,1200.0,118.8,111.5,7.3,66.2,2.03,20.2,33.5,72.5,53.3,14.5,56.5,59.6,95.96,54.4,2400
Cleveland Cavaliers,Pre,55,34,21,2650.0,117.5,113.3,4.1,65.6,1.98,19.6,31.0,68.5,49.8,14.2,55.6,59.0,101.81,52.0,5617
Cleveland Cavaliers,Post,25,17,8,1205.0,120.4,115.6,4.9,64.7,2.21,19.8,29.4,70.8,50.7,12.7,57.1,60.5,98.19,52.8,2466
Minnesota Timberwolves,Pre,56,34,22,2703.0,117.0,112.4,4.6,61.5,1.83,18.4,30.6,69.8,50.5,14.1,56.4,59.6,101.65,52.4,5730
Minnesota Timberwolves,Post,24,13,11,1157.0,111.2,111.6,-0.4,60.4,1.55,17.7,29.1,68.1,49.0,15.8,54.4,57.9,101.00,49.4,2434
Houston Rockets,Pre,53,33,20,2579.0,117.0,112.0,5.0,58.1,1.60,17.3,39.9,69.7,54.7,15.7,53.4,56.8,96.59,53.0,5192
Houston Rockets,Post,26,17,9,1258.0,117.7,112.5,5.1,62.2,1.73,19.1,36.0,70.2,53.6,15.9,55.9,59.0,97.26,53.6,2546
Los Angeles Lakers,Pre,54,33,21,2592.0,116.3,116.6,-0.3,60.6,1.68,18.3,28.9,70.3,50.2,15.1,57.0,60.8,99.67,50.4,5389
Los Angeles Lakers,Post,25,17,8,1205.0,118.0,115.1,2.9,61.9,2.01,19.0,27.6,70.1,49.4,13.1,57.2,60.7,98.65,51.8,2479
Phoenix Suns,Pre,55,32,23,2645.0,114.5,112.7,1.8,60.4,1.67,17.8,32.9,67.5,49.8,15.1,54.2,57.4,99.02,50.0,5457
Phoenix Suns,Post,25,12,13,1210.0,113.8,113.5,0.4,59.9,1.84,17.4,33.0,67.1,49.1,13.5,52.7,55.7,96.56,48.7,2438
Toronto Raptors,Pre,55,32,23,2660.0,113.8,112.2,1.5,69.5,2.09,20.3,30.6,69.1,49.7,14.0,53.7,57.3,99.26,51.4,5500
Toronto Raptors,Post,25,13,12,1200.0,117.2,112.0,5.2,68.5,2.31,20.8,29.3,69.5,49.3,13.0,56.0,59.2,99.36,53.5,2484
Philadelphia 76ers,Pre,54,30,24,2632.0,114.8,114.5,0.3,59.9,1.78,17.4,31.5,66.9,49.0,13.7,53.1,57.5,99.64,49.7,5463
Philadelphia 76ers,Post,25,13,12,1200.0,114.0,115.8,-1.8,57.9,1.86,17.4,29.2,69.2,49.3,13.0,53.3,57.2,101.68,49.1,2541
Golden State Warriors,Pre,55,29,26,2650.0,114.3,112.5,1.8,70.5,1.85,20.0,29.5,68.7,48.9,15.5,55.3,58.8,100.68,50.5,5559
Golden State Warriors,Post,24,8,16,1167.0,112.7,117.6,-4.9,71.0,1.85,20.1,31.7,68.0,49.1,15.7,54.3,57.5,99.08,47.5,2408
Miami Heat,Pre,56,29,27,2693.0,113.7,111.6,2.1,65.9,2.02,19.1,29.5,70.3,49.7,13.5,53.3,57.0,104.87,51.3,5889
Miami Heat,Post,24,12,12,1152.0,118.9,118.5,0.3,67.1,2.34,19.9,29.7,70.4,49.9,12.2,55.2,59.2,102.77,50.9,2466
Orlando Magic,Pre,53,28,25,2559.0,113.6,114.0,-0.4,64.5,1.90,18.5,30.6,70.9,50.2,13.7,52.8,57.3,100.60,50.2,5368
Orlando Magic,Post,27,16,11,1311.0,115.7,113.8,1.9,65.2,1.84,18.8,30.3,70.9,50.8,14.4,53.7,58.4,100.08,50.7,2730
Portland Trail Blazers,Pre,56,27,29,2698.0,113.5,115.5,-2.0,60.2,1.43,17.0,35.7,68.5,51.7,16.9,53.2,57.0,102.05,47.6,5737
Portland Trail Blazers,Post,24,13,11,1157.0,111.4,109.4,2.0,64.9,1.50,18.1,34.1,69.3,51.5,17.2,53.8,57.1,101.06,51.1,2439
Atlanta Hawks,Pre,56,26,30,2698.0,113.6,114.9,-1.3,70.6,2.13,20.7,27.3,68.9,48.0,13.9,55.1,58.1,102.91,49.5,5785
Atlanta Hawks,Post,24,19,5,1157.0,118.4,107.7,10.7,66.1,2.14,19.8,33.0,73.2,52.8,13.4,55.8,59.0,101.48,55.1,2452
Charlotte Hornets,Pre,55,26,29,2655.0,116.8,114.8,2.0,64.6,1.66,18.5,35.3,72.4,53.8,16.1,54.7,58.6,98.51,50.4,5447
Charlotte Hornets,Post,25,17,8,1200.0,122.6,110.4,12.2,64.1,1.87,19.0,36.6,72.4,54.2,14.8,56.8,59.9,95.84,54.7,2398
LA Clippers,Pre,54,26,28,2607.0,115.3,115.6,-0.4,59.7,1.55,17.6,28.8,68.0,49.3,15.6,55.5,60.0,96.55,49.9,5242
LA Clippers,Post,26,15,11,1253.0,118.8,114.0,4.8,56.8,1.91,17.8,27.6,68.6,48.7,12.8,56.9,60.9,99.01,52.9,2587
Chicago Bulls,Pre,55,24,31,2650.0,113.5,117.6,-4.1,68.5,2.01,20.0,27.8,71.5,49.8,14.1,55.2,58.5,102.33,48.8,5659
Chicago Bulls,Post,25,7,18,1205.0,109.7,116.2,-6.5,64.7,1.58,18.5,28.3,69.7,49.3,16.3,54.0,57.3,104.66,46.7,2627
Milwaukee Bucks,Pre,53,23,30,2559.0,113.1,116.4,-3.3,63.3,1.80,19.0,26.0,69.7,48.4,14.7,56.6,59.1,98.35,48.1,5241
