Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg▼,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Oklahoma City Thunder,W,NW,64,18,.780,11.15,118.94,107.89,11.05,11.04,118.73,107.78,10.94
2,San Antonio Spurs,W,SW,62,20,.756,8.30,119.68,111.41,8.27,8.28,119.65,111.40,8.24
3,Detroit Pistons,E,C,60,22,.732,8.16,118.05,109.81,8.23,7.53,117.70,110.10,7.60
4,Boston Celtics,E,A,56,26,.683,7.70,120.82,112.67,8.15,7.37,120.80,113.00,7.80
5,New York Knicks,E,A,53,29,.646,6.33,119.87,113.40,6.47,6.05,119.85,113.67,6.18
6,Houston Rockets,W,SW,52,30,.634,5.22,118.69,113.30,5.39,4.87,118.42,113.40,5.03
7,Denver Nuggets,W,NW,54,28,.659,5.15,122.63,117.46,5.17,4.97,122.73,117.73,5.00
8,Charlotte Hornets,E,SE,44,38,.537,4.83,119.50,114.47,5.03,4.48,119.40,114.73,4.67
9,Cleveland Cavaliers,E,C,52,30,.634,4.11,119.26,115.20,4.05,3.77,119.21,115.49,3.72
10,Minnesota Timberwolves,W,NW,49,33,.598,3.35,116.76,113.68,3.08,3.07,116.53,113.72,2.81
11,Toronto Raptors,E,A,46,36,.561,2.83,115.83,113.25,2.58,2.75,115.78,113.26,2.52
12,Atlanta Hawks,E,SE,46,36,.561,2.41,116.13,113.77,2.36,2.38,116.13,113.80,2.33
13,Miami Heat,E,SE,43,39,.524,2.33,116.71,114.54,2.18,2.35,116.73,114.53,2.21
14,Los Angeles Lakers,W,P,53,29,.646,1.76,118.21,116.48,1.74,1.68,118.24,116.57,1.66
15,Phoenix Suns,W,P,45,37,.549,1.46,115.51,114.09,1.42,1.74,115.58,113.89,1.70
16,Los Angeles Clippers,W,P,42,40,.512,1.13,117.45,116.32,1.13,0.96,117.41,116.45,0.96
17,Orlando Magic,E,SE,45,37,.549,0.63,115.09,114.54,0.56,0.81,115.15,114.41,0.74
18,Portland Trail Blazers,W,NW,42,40,.512,-0.29,114.54,114.71,-0.17,-0.28,114.39,114.55,-0.16
19,Philadelphia 76ers,E,A,45,37,.549,-0.18,115.40,115.58,-0.17,-0.27,115.40,115.66,-0.26
20,Golden State Warriors,W,P,37,45,.451,-0.56,115.05,115.60,-0.55,-0.34,115.06,115.39,-0.33
21,New Orleans Pelicans,W,SW,26,56,.317,-4.50,114.40,119.05,-4.65,-4.26,114.57,118.97,-4.40
22,Chicago Bulls,E,C,31,51,.378,-5.21,113.01,118.16,-5.14,-5.09,113.10,118.14,-5.04
23,Dallas Mavericks,W,SW,26,56,.317,-5.51,111.23,116.66,-5.43,-5.33,111.12,116.37,-5.25
24,Memphis Grizzlies,W,SW,25,57,.305,-6.01,113.05,118.95,-5.90,-5.83,113.05,118.77,-5.72
25,Milwaukee Bucks,E,C,32,50,.390,-6.21,112.90,119.40,-6.49,-6.12,113.02,119.41,-6.40
26,Indiana Pacers,E,C,19,63,.232,-7.99,111.01,118.97,-7.96,-7.64,111.16,118.76,-7.60
27,Utah Jazz,W,NW,22,60,.268,-8.43,114.18,122.39,-8.21,-8.04,114.44,122.28,-7.84
28,Sacramento Kings,W,P,22,60,.268,-10.00,111.56,121.63,-10.07,-9.58,111.70,121.34,-9.64
29,Brooklyn Nets,E,A,20,62,.244,-9.99,108.84,119.11,-10.27,-9.70,109.00,118.96,-9.97
30,Washington Wizards,E,SE,17,65,.207,-11.98,111.00,122.84,-11.84,-11.62,111.30,122.79,-11.49
