Rk,Player,PTS/G,G,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Michael Jordan,33.4,179,1984-85,1997-98,21-34,179,179,12,7474,2188,4497,2040,4051,148,446,1463,1766,305,847,1152,1022,376,158,546,541,5987,.487,.504,.332,.828,.568,.503,G-F,jordami01
2,Luka Dončić,30.9,55,2019-20,2024-25,20-25,55,55,4,2156,592,1284,410,759,182,525,331,449,36,468,504,427,89,26,232,150,1697,.461,.540,.347,.737,.573,.532,G-F,doncilu01
3,Allen Iverson,29.7,71,1998-99,2007-08,23-32,71,71,7,3203,755,1882,632,1506,123,376,478,626,59,214,273,425,147,14,221,157,2111,.401,.420,.327,.764,.489,.434,G,iversal01
4,Kevin Durant,29.3,170,2009-10,2023-24,21-35,170,170,13,6893,1684,3528,1318,2499,366,1029,1251,1441,129,1198,1327,709,172,204,550,427,4985,.477,.527,.356,.868,.599,.529,F-G,duranke01
5,Jerry West,29.1,153,1960-61,1973-74,22-35,153,,13,6321,1622,3460,1622,3460,,,1213,1506,0,2,855,970,0,0,,451,4457,.469,.469,,.805,.541,.469,G,westje01
6,LeBron James,28.4,292,2005-06,2024-25,21-40,292,292,18,12062,2971,5984,2491,4541,480,1443,1867,2519,442,2186,2628,2095,493,284,1047,663,8289,.496,.549,.333,.741,.584,.537,F-G,jamesle01
7,Donovan Mitchell,28.3,63,2017-18,2024-25,21-28,63,63,6,2320,617,1403,418,842,199,561,350,424,51,263,314,303,86,21,190,156,1783,.440,.496,.355,.825,.561,.511,G,mitchdo01
8,Devin Booker,28.0,47,2020-21,2023-24,24-27,47,47,3,1880,464,955,354,672,110,283,277,308,38,200,238,247,49,18,156,156,1315,.486,.527,.389,.899,.603,.543,G,bookede01
9,Nikola Jokić,27.4,94,2018-19,2024-25,23-29,94,94,7,3601,978,1864,813,1439,165,425,459,556,286,873,1159,712,116,82,311,314,2580,.525,.565,.388,.826,.612,.569,C-F,jokicni01
10,Elgin Baylor,27.0,134,1958-59,1969-70,24-35,134,,11,5510,1388,3161,1388,3161,,,847,1098,,,1724,541,,,,435,3623,.439,.439,,.771,.497,.439,F,bayloel01
11,Giannis Antetokounmpo,27.0,84,2014-15,2024-25,20-30,84,84,8,3042,852,1602,790,1363,62,239,504,807,205,817,1022,446,85,110,283,271,2270,.532,.580,.259,.625,.580,.551,F-G,antetgi01
12,George Gervin,27.0,59,1976-77,1985-86,24-33,59,5,8,2202,622,1225,622,1212,0,13,348,424,110,231,341,186,69,51,187,207,1592,.508,.513,.000,.821,.564,.508,G-F,gervige01
13,Anthony Edwards,26.9,42,2021-22,2024-25,20-23,42,42,3,1660,396,846,266,501,130,345,208,264,43,236,279,230,57,37,114,104,1130,.468,.531,.377,.788,.587,.545,G-F,edwaran01
14,Stephen Curry,26.8,155,2012-13,2024-25,24-36,155,149,9,5773,1388,3056,738,1419,650,1637,721,811,113,715,828,953,231,50,516,388,4147,.454,.520,.397,.889,.608,.561,G,curryst01
15,Trae Young,26.4,27,2020-21,2022-23,22-24,27,27,1,1019,232,577,162,341,70,236,179,210,17,75,92,243,33,4,119,59,713,.402,.475,.297,.852,.533,.463,G,youngtr01
16,Anthony Davis,26.1,60,2014-15,2023-24,21-30,60,60,5,2259,574,1059,538,944,36,115,382,455,148,557,705,170,76,129,140,172,1566,.542,.570,.313,.840,.622,.559,F-C,davisan02
17,Ja Morant,26.0,22,2020-21,2024-25,21-25,22,22,2,810,203,456,159,328,44,128,123,164,29,107,136,179,31,7,72,46,573,.445,.485,.344,.750,.542,.493,G,moranja01
18,Hakeem Olajuwon,25.9,145,1984-85,2001-02,22-39,145,140,11,5749,1504,2847,1500,2829,4,18,743,1034,471,1150,1621,458,245,472,424,562,3755,.528,.530,.222,.719,.569,.529,C,olajuha01
19,Shai Gilgeous-Alexander,25.8,46,2018-19,2024-25,20-26,46,46,2,1702,411,878,340,675,71,203,293,341,38,210,248,262,64,45,102,130,1186,.468,.504,.350,.859,.577,.509,G,gilgesh01
20,Kobe Bryant,25.6,220,1996-97,2011-12,18-33,220,200,13,8641,2014,4499,1722,3617,292,882,1320,1617,230,889,1119,1040,310,144,647,660,5640,.448,.476,.331,.816,.541,.480,G-F,bryanko01
21,Bob Pettit,25.5,88,1955-56,1964-65,23-32,88,,9,3545,766,1834,766,1834,,,708,915,,,1304,241,,,,277,2240,.418,.418,,.774,.501,.418,F-C,pettibo01
