Rk,Player,PTS/G,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,Player-additional
1,Michael Jordan,30.1,1984-85,2002-03,21-39,1072,1039,14,41011,12192,24537,11611,22759,581,1778,7327,8772,1668,5004,6672,5633,2514,893,2924,2783,32292,.497,.510,.327,.835,.569,.509,G-F,CHIWAS,jordami01
2,Wilt Chamberlain,30.1,1959-60,1972-73,23-36,1045,,13,47859,12681,23497,12681,23497,,,6057,11862,,,23924,4643,,446,,2075,31419,.540,.540,,.511,.547,.540,C,LALPHIPHWSFW,chambwi01
3,Luka Dončić,29.2,2018-19,2025-26,19-26,514,514,6,18001,5052,10778,3420,6146,1632,4632,3285,4349,468,3908,4376,4230,661,237,2032,1181,15021,.469,.556,.352,.755,.592,.544,G-F,DALLAL,doncilu01
4,Joel Embiid,27.6,2016-17,2025-26,22-31,490,490,7,15608,4458,8909,3873,7182,585,1727,4043,4873,1083,4197,5280,1808,432,784,1656,1451,13544,.500,.539,.339,.830,.613,.533,C,PHI,embiijo01
5,Elgin Baylor,27.4,1958-59,1971-72,24-37,846,,11,33863,8693,20171,8693,20171,,,5763,7391,,,11463,3650,,,,2596,23149,.431,.431,,.780,.494,.431,F,LALMNL,bayloel01
6,Kevin Durant,27.1,2007-08,2025-26,19-37,1201,1198,16,44077,11258,22375,8881,16305,2377,6070,7704,8738,781,7473,8254,5280,1236,1344,3800,2279,32597,.503,.545,.392,.882,.622,.556,F-G,BRKGSWHOUOKCPHOSEA,duranke01
7,Jerry West,27.0,1960-61,1973-74,22-35,932,,14,36571,9016,19032,9016,19032,,,7160,8801,30,86,5366,6238,81,23,,2435,25192,.474,.474,,.814,.550,.474,G,LAL,westje01
8,LeBron James,26.8,2003-04,2025-26,19-41,1622,1620,22,61030,15961,31502,13325,23937,2636,7565,8882,12051,1842,10253,12095,12016,2417,1185,5650,2862,43440,.507,.557,.348,.737,.590,.549,F-G,CLELALMIA,jamesle01
9,Allen Iverson,26.7,1996-97,2009-10,21-34,914,901,11,37584,8467,19906,7408,16523,1059,3383,6375,8168,745,2649,3394,5624,1983,164,3262,1777,24368,.425,.448,.313,.780,.518,.452,G,DENDETMEMPHI,iversal01
10,Bob Pettit,26.4,1954-55,1964-65,22-32,792,,11,30690,7349,16872,7349,16872,,,6182,8119,,,12849,2369,,,,2529,20880,.436,.436,,.761,.511,.436,F-C,MLHSTL,pettibo01
11,George Gervin,26.2,1976-77,1985-86,24-33,791,623,9,26536,8045,15747,7968,15488,77,259,4541,5383,1186,2421,3607,2214,941,670,2137,2331,20708,.511,.514,.297,.844,.572,.513,G-F,CHISAS,gervige01
12,Oscar Robertson,25.7,1960-61,1973-74,22-35,1040,,12,43886,9508,19620,9508,19620,,,7694,9185,71,208,7804,9887,77,4,,2931,26710,.485,.485,,.838,.564,.485,G-F,CINMIL,roberos01
13,Shai Gilgeous-Alexander,25.3,2018-19,2025-26,20-27,530,521,4,17550,4674,9193,3945,7166,729,2027,3334,3857,389,2114,2503,2810,761,422,1223,1183,13411,.508,.551,.360,.864,.616,.548,G,LACOKC,gilgesh01
14,Damian Lillard,25.1,2012-13,2024-25,22-34,900,900,9,32614,7266,16568,4462,9012,2804,7556,5262,5853,534,3311,3845,6069,874,267,2541,1708,22598,.439,.495,.371,.899,.590,.523,G,MILPOR,lillada01
15,Trae Young,25.1,2018-19,2025-26,20-27,498,498,4,17006,3946,9112,2642,5404,1304,3708,3293,3776,303,1414,1717,4868,518,76,2090,874,12489,.433,.489,.352,.872,.580,.505,G,ATLWAS,youngtr01
16,Donovan Mitchell,25.1,2017-18,2025-26,21-29,609,601,7,20585,5398,11915,3556,6880,1842,5035,2634,3122,485,2155,2640,2928,844,193,1645,1463,15272,.453,.517,.366,.844,.575,.530,G,CLEUTA,mitchdo01
17,Karl Malone,25.0,1985-86,2003-04,22-40,1476,1471,14,54852,13528,26210,13443,25900,85,310,9787,13188,3562,11406,14968,5248,2085,1145,4524,4578,36928,.516,.519,.274,.742,.577,.518,F,LALUTA,malonka01
18,Kobe Bryant,25.0,1996-97,2015-16,18-37,1346,1198,18,48637,11719,26200,9892,20654,1827,5546,8378,10011,1499,5548,7047,6306,1944,640,4010,3353,33643,.447,.479,.329,.837,.550,.482,G-F,LAL,bryanko01
19,Dominique Wilkins,24.8,1982-83,1998-99,23-39,1074,995,9,38113,9963,21589,9252,19358,711,2231,6031,7438,2950,4219,7169,2677,1378,642,2669,2061,26668,.461,.478,.319,.811,.536,.478,F-G,ATLBOSLACORLSAS,wilkido01
20,Stephen Curry,24.8,2009-10,2025-26,21-37,1069,1061,12,36304,9022,19155,4774,9082,4248,10073,4236,4645,686,4287,4973,6743,1602,282,3308,2385,26528,.471,.526,.422,.912,.626,.582,G,GSW,curryst01
21,Kareem Abdul-Jabbar,24.6,1969-70,1988-89,22-41,1560,789,19,57446,15837,28307,15836,28289,1,18,6712,9304,2975,9394,17440,5660,1160,3189,2527,4657,38387,.559,.560,.056,.721,.592,.559,C,LALMIL,abdulka01
22,Devin Booker,24.6,2015-16,2025-26,19-29,737,712,5,25295,6295,13588,4749,9194,1546,4394,3984,4562,472,2494,2966,3908,628,208,2236,2140,18120,.463,.517,.352,.873,.581,.520,G,PHO,bookede01
23,Anthony Edwards,24.6,2020-21,2025-26,19-24,442,423,4,15400,3802,8398,2488,4841,1314,3557,1936,2413,317,2002,2319,1826,587,282,1273,888,10854,.453,.514,.369,.802,.574,.531,G-F,MIN,edwaran01
24,Larry Bird,24.3,1979-80,1991-92,23-35,897,870,12,34443,8591,17334,7942,15607,649,1727,3960,4471,1757,7217,8974,5695,1556,755,2816,2279,21791,.496,.509,.376,.886,.564,.514,F,BOS,birdla01
25,Adrian Dantley,24.3,1976-77,1990-91,21-35,955,645,6,34151,8169,15121,8162,15080,7,41,6832,8351,2207,3248,5455,2830,944,150,2503,2550,23177,.540,.541,.171,.818,.617,.540,F-G,BUFDALDETINDLALMILUTA,dantlad01
26,Pete Maravich,24.2,1970-71,1979-80,23-32,658,4,5,24316,6187,14025,6177,14010,10,15,3564,4344,426,1421,2747,3563,587,108,530,1865,15948,.441,.441,.667,.820,.500,.441,G,ATLBOSNOJUTA,maravpe01
27,Giannis Antetokounmpo,24.1,2013-14,2025-26,19-31,895,830,10,29273,7898,14266,7341,12313,557,1953,5178,7491,1697,7185,8882,4484,995,1088,2701,2617,21531,.554,.596,.285,.691,.613,.573,F-G,MIL,antetgi01
28,James Harden,24.0,2009-10,2025-26,20-36,1221,1007,11,42449,8661,19733,5271,10410,3390,9323,8627,10002,911,5898,6809,8873,1794,683,4505,2994,29339,.439,.506,.364,.863,.608,.525,G,BRKCLEHOULACOKCPHI,hardeja01
29,Anthony Davis,24.0,2012-13,2025-26,19-32,807,800,10,27741,7269,13923,6884,12617,385,1306,4462,5627,2148,6489,8637,2065,1055,1848,1614,1882,19385,.522,.546,.295,.793,.591,.536,F-C,DALLALNOHNOP,davisan02
30,Zion Williamson,23.8,2019-20,2025-26,19-25,276,269,2,8555,2525,4275,2492,4173,33,102,1498,2155,612,1156,1768,1119,279,172,734,624,6581,.591,.597,.324,.695,.630,.595,F-C,NOP,willizi01
31,Shaquille O'Neal,23.7,1992-93,2010-11,20-38,1207,1197,15,41918,11330,19457,11329,19435,1,22,5935,11252,4209,8890,13099,3026,739,2732,3310,4146,28596,.582,.583,.045,.527,.586,.582,C,BOSCLELALMIAORLPHO,onealsh01
32,Kyrie Irving,23.7,2011-12,2024-25,19-32,779,779,9,26879,6787,14313,4911,9550,1876,4763,2983,3360,638,2535,3173,4364,1022,337,1943,1770,18433,.474,.514,.394,.888,.584,.540,G,BOSBRKCLEDAL,irvinky01
33,Jayson Tatum,23.5,2017-18,2025-26,19-27,601,601,6,20707,4907,10716,3314,6392,1593,4324,2725,3246,520,3933,4453,2328,661,387,1428,1258,14132,.458,.518,.368,.839,.582,.532,F,BOS,tatumja01
34,Victor Wembanyama,23.4,2023-24,2025-26,20-22,181,172,2,5499,1512,3123,1120,1976,392,1147,822,1006,373,1624,1997,641,206,627,564,414,4238,.484,.567,.342,.817,.594,.547,C-F,SAS,wembavi01
35,Rick Barry,23.2,1965-66,1979-80,21-35,794,82,8,28825,7252,16163,7179,15942,73,221,3818,4243,510,2366,5168,4017,1104,269,574,2264,18395,.449,.450,.330,.900,.510,.451,F,GSWHOUSFW,barryri01
36,George Mikan,23.1,1948-49,1955-56,24-31,439,,4,8350,3544,8783,3544,8783,,,3068,3924,,,4167,1245,,,,1862,10156,.404,.404,,.782,.483,.404,C,MNL,mikange01
37,Paul Arizin,22.8,1950-51,1961-62,22-33,713,,10,24897,5628,13354,5628,13354,,,5010,6189,,,6129,1665,,,,2764,16266,.421,.421,,.810,.506,.421,F-G,PHW,arizipa01
38,Karl-Anthony Towns,22.8,2015-16,2025-26,20-30,720,720,6,24294,5977,11456,4747,8359,1230,3097,3200,3811,2035,5990,8025,2263,588,811,1932,2452,16384,.522,.568,.397,.840,.624,.575,C-F,MINNYK,townska01
39,Alex Groza,22.5,1949-50,1950-51,23-24,130,,1,,1013,2136,1013,2136,,,899,1189,,,709,318,,,,458,2925,.474,.474,,.756,.550,.474,C,INO,grozaal01
40,Cade Cunningham,22.5,2021-22,2025-26,20-24,272,272,2,9186,2278,5068,1754,3525,524,1543,1039,1237,215,1261,1476,2164,307,179,1030,778,6119,.449,.498,.340,.840,.545,.501,G,DET,cunnica01
41,Bernard King,22.5,1977-78,1992-93,21-36,874,547,4,29417,7830,15109,7807,14975,23,134,3972,5444,1704,3356,5060,2863,866,230,2791,2885,19655,.518,.521,.172,.730,.561,.519,F,GSWNJNNYKUTAWSB,kingbe01
42,Carmelo Anthony,22.5,2003-04,2021-22,19-37,1260,1120,10,43514,10119,22643,8388,17770,1731,4873,6320,7764,1983,5825,7808,3422,1223,644,3052,3543,28289,.447,.472,.355,.814,.543,.485,F,DENHOULALNYKOKCPOR,anthoca01
43,Ja Morant,22.4,2019-20,2025-26,20-26,327,325,2,10370,2639,5666,2204,4269,435,1397,1618,2092,296,1217,1513,2428,335,92,1108,555,7331,.466,.516,.311,.773,.557,.504,G,MEM,moranja01
44,Paolo Banchero,22.3,2022-23,2025-26,20-23,270,270,1,9313,2060,4592,1685,3409,375,1183,1536,2068,302,1698,2000,1292,218,154,805,554,6031,.449,.494,.317,.743,.548,.489,F,ORL,banchpa01
45,Nikola Jokić,22.2,2015-16,2025-26,20-30,810,769,8,25914,6880,12274,5954,9715,926,2559,3323,4030,2175,6802,8977,6080,1041,589,2419,2168,18009,.561,.613,.362,.825,.641,.598,C-F,DEN,jokicni01
46,Charles Barkley,22.1,1984-85,1999-00,21-36,1073,1012,11,39330,8435,15605,7897,13585,538,2020,6349,8643,4260,8286,12546,4215,1648,888,3376,3287,23757,.541,.581,.266,.735,.612,.558,F,HOUPHIPHO,barklch01
47,David Thompson,22.1,1976-77,1983-84,22-29,509,151,4,16305,4213,8365,4190,8282,23,83,2815,3616,737,1184,1921,1631,459,407,1129,1287,11264,.504,.506,.277,.778,.566,.505,G-F,DENSEA,thompda01
48,Bob McAdoo,22.1,1972-73,1985-86,21-34,852,211,5,28327,7420,14751,7417,14714,3,37,3944,5229,1818,5502,8048,1951,751,1363,1223,2726,18787,.503,.504,.081,.754,.551,.503,C-F,BOSBUFDETLALNJNNYKPHI,mcadobo01
49,Dwyane Wade,22.0,2003-04,2018-19,22-37,1054,909,13,35773,8454,17617,7905,15743,549,1874,5708,7463,1258,3675,4933,5701,1620,885,3326,2328,23165,.480,.502,.293,.765,.554,.495,G,CHICLEMIA,wadedw01
50,Julius Erving,22.0,1976-77,1986-87,26-36,836,823,11,28677,7237,14276,7191,14100,46,176,3844,4950,2067,3534,5601,3224,1508,1293,2323,2286,18364,.507,.510,.261,.777,.558,.509,F-G,PHI,ervinju01
51,Geoff Petrie,21.8,1970-71,1975-76,22-27,446,,2,16787,3970,8719,3970,8719,,,1792,2225,140,445,1271,2057,524,60,,1075,9732,.455,.455,,.805,.502,.455,G,POR,petrige01
52,Hakeem Olajuwon,21.8,1984-85,2001-02,22-39,1238,1186,12,44222,10749,20991,10724,20867,25,124,5423,7621,4034,9714,13748,3058,2162,3830,3667,4383,26946,.512,.514,.202,.712,.553,.513,C,HOUTOR,olajuha01
53,Alex English,21.5,1976-77,1990-91,23-37,1193,837,8,38063,10659,21036,10641,20953,18,83,4277,5141,2778,3760,6538,4351,1067,833,2821,3027,25613,.507,.508,.217,.832,.550,.507,F,DALDENINDMIL,englial01
54,Bradley Beal,21.4,2012-13,2025-26,19-32,807,758,3,27681,6364,13712,4640,9124,1724,4588,2854,3475,691,2560,3251,3442,885,339,1947,1819,17306,.464,.509,.376,.821,.568,.527,G,LACPHOWAS,bealbr01
55,DeMar DeRozan,21.1,2009-10,2025-26,20-36,1264,1252,6,43634,9563,20320,8901,18126,662,2194,6923,8209,870,4564,5434,5185,1250,416,2475,2808,26711,.471,.491,.302,.843,.558,.487,G-F,CHISACSASTOR,derozde01
56,De'Aaron Fox,21.1,2017-18,2025-26,20-28,603,589,2,19892,4719,10006,3773,7144,946,2862,2351,3146,372,1980,2352,3707,845,240,1613,1545,12735,.472,.528,.331,.747,.559,.519,G,SACSAS,foxde01
57,Tyrese Maxey,21.1,2020-21,2025-26,20-25,388,315,2,12848,2929,6348,2013,3921,916,2427,1408,1613,135,1107,1242,1864,420,162,620,785,8182,.461,.513,.377,.873,.580,.534,G,PHI,maxeyty01
58,David Robinson,21.1,1989-90,2002-03,24-37,987,985,10,34271,7365,14221,7340,14121,25,100,6035,8201,3083,7414,10497,2441,1388,2954,2417,2835,20790,.518,.520,.250,.736,.583,.519,C,SAS,robinda01
59,Cooper Flagg,21.0,2025-26,2025-26,19,70,70,0,2344,559,1194,487,950,72,244,283,342,86,380,466,316,84,64,161,142,1473,.468,.513,.295,.827,.548,.498,F-G,DAL,flaggco01
60,Mitch Richmond,21.0,1988-89,2001-02,23-36,976,902,6,34309,7305,16038,5979,12621,1326,3417,4561,5365,881,2920,3801,3398,1211,254,2579,2503,20497,.455,.474,.388,.850,.557,.497,G,GSWLALSACWAS,richmmi01
61,Patrick Ewing,21.0,1985-86,2001-02,23-39,1183,1122,11,40594,9702,19241,9683,19116,19,125,5392,7289,2752,8855,11607,2215,1136,2894,3537,4034,24815,.504,.507,.152,.740,.553,.505,C-F,NYKORLSEA,ewingpa01
62,Elvin Hayes,21.0,1968-69,1983-84,23-38,1303,129,12,50000,10976,24272,10971,24238,5,34,5356,7999,2778,6973,16279,2398,864,1771,1358,4193,27313,.452,.453,.147,.670,.491,.452,F-C,BALCAPHOUSDRWSB,hayesel01
63,Russell Westbrook,20.9,2008-09,2025-26,20-37,1301,1133,9,43026,9786,22329,8291,17473,1495,4856,6109,7928,2054,6971,9025,10351,2038,418,5038,3304,27176,.438,.475,.308,.771,.526,.472,G,DENHOULACLALOKCSACWAS,westbru01
64,Billy Cunningham,20.8,1965-66,1975-76,22-32,654,248,4,22406,5116,11467,5116,11467,,,3394,4717,159,714,6638,2625,115,45,,2431,13626,.446,.446,,.720,.503,.446,F-C,PHI,cunnibi01
65,LaMelo Ball,20.8,2020-21,2025-26,19-24,303,280,1,9392,2222,5317,1245,2643,977,2674,883,1042,354,1372,1726,2224,427,93,971,922,6304,.418,.471,.365,.847,.546,.510,G,CHO,ballla01
66,John Havlicek,20.8,1962-63,1977-78,22-37,1270,,13,46471,10513,23930,10513,23930,,,5369,6589,610,1389,8007,6114,476,117,204,3281,26395,.439,.439,,.815,.492,.439,F-G,BOS,havlijo01
67,Dirk Nowitzki,20.7,1998-99,2018-19,20-40,1522,1460,14,51368,11169,23734,9187,18524,1982,5210,7240,8239,1468,10021,11489,3651,1210,1281,2494,3601,31560,.471,.496,.380,.879,.577,.512,F-C,DAL,nowitdi01
68,Kawhi Leonard,20.7,2011-12,2025-26,20-34,798,769,7,25368,5987,11994,4628,8522,1359,3472,3213,3722,943,4132,5075,2470,1377,498,1345,1303,16546,.499,.543,.391,.863,.607,.556,F,LACSASTOR,leonaka01
69,John Drew,20.7,1974-75,1984-85,20-30,739,183,2,21828,5481,11658,5471,11601,10,57,4319,5774,2158,2930,5088,1224,1004,193,1402,2641,15291,.470,.472,.175,.748,.538,.471,F-G,ATLUTA,drewjo01
70,Zach LaVine,20.7,2014-15,2025-26,19-30,693,602,2,22685,5114,10878,3482,6702,1632,4176,2478,2967,301,2472,2773,2684,599,193,1799,1457,14338,.470,.520,.391,.835,.588,.545,G-F,CHIMINSAC,lavinza01
71,Glenn Robinson,20.7,1994-95,2004-05,22-32,688,668,2,25346,5571,12129,4951,10306,620,1823,2472,3016,1027,3162,4189,1879,826,389,2147,1847,14234,.459,.480,.340,.820,.529,.485,F,ATLMILPHISAS,robingl01
72,Chris Webber,20.7,1993-94,2007-08,20-34,831,827,5,30847,7192,15024,6928,14141,264,883,2534,3906,2271,5853,8124,3526,1197,1200,2313,2700,17182,.479,.490,.299,.649,.513,.487,F-C,DETGSWPHISACWASWSB,webbech01
73,Gilbert Arenas,20.7,2001-02,2011-12,20-30,552,455,3,19351,3722,8850,2643,5773,1079,3077,2879,3584,444,1724,2168,2909,884,134,1744,1683,11402,.421,.458,.351,.803,.547,.482,G,GSWMEMORLWAS,arenagi01
74,Moses Malone,20.6,1976-77,1994-95,21-39,1329,948,12,45071,9435,19225,9427,19145,8,80,8531,11090,6731,9481,16212,1796,1089,1733,3804,3076,27409,.491,.492,.100,.769,.569,.491,C-F,ATLBUFHOUMILPHISASWSB,malonmo01
75,Paul George,20.5,2010-11,2025-26,20-35,945,897,9,31651,6625,15066,4176,8684,2449,6382,3639,4271,770,5110,5880,3502,1601,417,2487,2502,19338,.440,.481,.384,.852,.571,.521,F-G,INDLACOKCPHI,georgpa01
76,Clyde Drexler,20.4,1983-84,1997-98,21-35,1086,950,10,37537,8335,17673,7508,15070,827,2603,4698,5962,2615,4062,6677,6125,2207,719,2977,3285,22195,.472,.498,.318,.788,.547,.495,G,HOUPOR,drexlcl01
77,Dan Issel,20.4,1976-77,1984-85,28-36,718,318,1,22342,5424,10711,5405,10636,19,75,3792,4756,1686,4021,5707,1804,698,396,1281,2022,14659,.506,.508,.253,.797,.572,.507,C-F,DEN,isselda01
78,Dave Bing,20.3,1966-67,1977-78,23-34,901,,7,32769,6962,15769,6962,15769,,,4403,5683,418,741,3420,5397,483,89,216,2615,18327,.441,.441,,.775,.502,.441,G,BOSDETWSB,bingda01
79,World B. Free,20.3,1975-76,1987-88,22-34,886,392,1,26893,6512,14294,6299,13662,213,632,4718,6264,1008,1422,2430,3319,910,223,1869,2270,17955,.456,.461,.337,.753,.527,.463,G,CLEGSWHOUPHISDC,freewo01
80,Lou Hudson,20.2,1966-67,1978-79,22-34,890,,6,29794,7392,15129,7392,15129,,,3156,3960,436,718,3926,2432,516,98,249,2439,17940,.489,.489,,.797,.532,.489,F-G,ATLLALSTL,hudsolo01
81,John Williamson,20.1,1976-77,1980-81,25-29,288,66,0,9149,2353,5236,2341,5195,12,41,1084,1301,199,523,722,813,330,55,565,847,5802,.449,.451,.293,.833,.499,.451,G,INDNJNNYNWSB,willijo01
82,Marques Johnson,20.1,1977-78,1989-90,21-33,691,359,5,23694,5733,11065,5719,10973,14,92,2412,3265,1825,2992,4817,2502,888,525,1627,1766,13892,.518,.521,.152,.739,.556,.519,F-G,GSWLACMIL,johnsma01
83,Walt Bellamy,20.1,1961-62,1974-75,22-35,1043,348,4,38940,7914,15340,7914,15340,,,5113,8088,264,481,14241,2544,52,48,,3536,20941,.516,.516,,.632,.554,.516,C,ATLBALCHPCHZDETNOJNYK,bellawa01
84,Bob Lanier,20.1,1970-71,1983-84,22-35,959,179,8,32103,7761,15092,7759,15079,2,13,3724,4858,1843,4853,9698,3007,777,1100,1112,3048,19248,.514,.515,.154,.767,.559,.514,C,DETMIL,laniebo01
85,Mark Aguirre,20.0,1981-82,1993-94,22-34,923,639,3,27730,7201,14865,6809,13607,392,1258,3664,4944,1704,2874,4578,2871,687,296,2306,2599,18458,.484,.500,.312,.741,.542,.498,F-G,DALDETLAC,aguirma01
86,Jaylen Brown,20.0,2016-17,2025-26,20-29,674,567,5,20908,5034,10533,3750,6944,1284,3589,2122,2872,687,3013,3700,1953,684,255,1536,1709,13474,.478,.540,.358,.739,.571,.539,F-G,BOS,brownja02
