Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Nikola Jokić,35:12,.438,.308,.385,.423,5.8,38.5,22.0,22.2,2.7,0.0,11.5,43.3,86,104,3.9,jokicni01
Jamal Murray,34:49,.398,.294,.294,.412,0.0,9.0,4.4,26.1,0.0,0.0,4.7,26.5,86,118,-3.4,murraja01
Spencer Jones,28:25,1.000,1.000,.667,.000,0.0,3.7,1.8,0.0,0.0,2.9,25.0,6.2,131,117,-1.2,jonessp01
Christian Braun,23:40,.174,.000,.250,1.000,4.3,4.4,4.4,0.0,0.0,3.4,0.0,10.7,50,117,-8.6,braunch01
Cameron Johnson,23:37,.436,.333,.500,.333,0.0,8.8,4.4,8.5,2.0,0.0,0.0,12.8,95,113,-3.4,johnsca02
Tim Hardaway Jr.,27:59,.564,.500,.750,.500,3.6,14.9,9.2,0.0,0.0,0.0,9.3,16.8,106,116,-1.2,hardati02
Bruce Brown,23:08,.571,.571,.000,.286,0.0,18.0,8.9,21.1,2.1,0.0,11.3,16.8,105,111,1.9,brownbr01
Zeke Nnaji,16:21,1.078,1.250,.500,3.000,6.2,12.8,9.5,13.3,2.9,0.0,0.0,12.4,224,110,15.7,nnajize01
Julian Strawther,14:19,.381,.357,.429,.286,7.1,14.6,10.8,0.0,0.0,0.0,20.2,30.2,66,116,-11.3,strawju01
DaRon Holmes,4:10,,,,,0.0,50.1,24.8,0.0,0.0,0.0,,0.0,0,107,-3.5,holmeda01
Tyus Jones,4:10,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,95,121,-2.7,jonesty01
Jalen Pickett,4:10,.568,,,,0.0,0.0,0.0,41.1,0.0,0.0,0.0,9.2,144,121,4.8,pickeja02
