Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Nikola Jokić,35:12,7,26,.269,2,10,.200,11,11,1.000,2,13,15,3,2,0,4,3,27,15.8,-21,jokicni01
Jamal Murray,34:49,5,17,.294,0,5,.000,6,7,.857,0,3,3,4,0,0,1,0,16,8.4,-12,murraja01
Spencer Jones,28:25,2,3,.667,2,2,1.000,0,0,,0,1,1,0,0,1,1,4,6,3.1,-5,jonessp01
Christian Braun,23:40,0,4,.000,0,1,.000,2,4,.500,1,1,2,0,0,1,0,1,2,-0.3,-19,braunch01
Cameron Johnson,23:37,2,6,.333,0,3,.000,2,2,1.000,0,2,2,1,1,0,0,3,6,3.7,-14,johnsca02
Tim Hardaway Jr.,27:59,3,8,.375,2,6,.333,3,4,.750,1,4,5,0,0,0,1,1,11,6.7,-13,hardati02
Bruce Brown,23:08,4,7,.571,0,0,,1,2,.500,0,4,4,2,1,0,1,2,9,7.1,-3,brownbr01
Zeke Nnaji,16:21,2,2,1.000,1,1,1.000,5,6,.833,1,2,3,1,1,0,0,3,10,10.8,+2,nnajize01
Julian Strawther,14:19,2,7,.286,1,3,.333,1,2,.500,1,2,3,0,0,0,2,1,6,0.4,0,strawju01
Tyus Jones,4:10,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,0,jonesty01
Jalen Pickett,4:10,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1,1.3,0,pickeja02
DaRon Holmes,4:10,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,0,holmeda01
