,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Nikola Jokić,28,7,7,280,78,151,8,35,39,44,24,56,80,55,11,7,24,18,203,.517,.229,.886,40.0,29.0,11.4,7.9,1.6,1.0,jokicni01
2,Jamal Murray,26,7,7,263,52,129,13,39,12,12,5,24,29,31,9,1,19,20,129,.403,.333,1.000,37.6,18.4,4.1,4.4,1.3,0.1,murraja01
3,Aaron Gordon,28,7,7,244,41,65,10,17,11,14,17,21,38,30,7,6,9,20,103,.631,.588,.786,34.8,14.7,5.4,4.3,1.0,0.9,gordoaa01
4,Michael Porter Jr.,25,7,7,246,26,70,13,40,10,13,4,36,40,7,5,8,13,19,75,.371,.325,.769,35.1,10.7,5.7,1.0,0.7,1.1,portemi01
5,Kentavious Caldwell-Pope,30,7,7,240,18,43,10,27,9,9,3,22,25,20,7,4,4,21,55,.419,.370,1.000,34.3,7.9,3.6,2.9,1.0,0.6,caldwke01
6,Christian Braun,22,7,0,139,15,32,4,9,8,11,3,18,21,7,2,4,1,10,42,.469,.444,.727,19.8,6.0,3.0,1.0,0.3,0.6,braunch01
7,Justin Holiday,34,7,0,114,10,25,10,20,2,4,0,16,16,3,2,0,3,12,32,.400,.500,.500,16.3,4.6,2.3,0.4,0.3,0.0,holidju01
8,Reggie Jackson,33,7,0,66,10,27,4,10,2,2,2,8,10,5,1,1,6,5,26,.370,.400,1.000,9.4,3.7,1.4,0.7,0.1,0.1,jacksre01
9,Julian Strawther,21,3,0,16,2,6,1,4,2,4,0,2,2,0,1,0,1,3,7,.333,.250,.500,5.3,2.3,0.7,0.0,0.3,0.0,strawju01
10,Zeke Nnaji,23,3,0,14,2,3,0,0,1,2,2,0,2,0,0,1,2,1,5,.667,,.500,4.7,1.7,0.7,0.0,0.0,0.3,nnajize01
11,Jalen Pickett,24,3,0,11,2,3,0,1,0,0,0,1,1,1,0,1,0,1,4,.667,.000,,3.6,1.3,0.3,0.3,0.0,0.3,pickeja02
12,Hunter Tyson,23,3,0,14,0,4,0,3,1,2,1,2,3,1,0,0,1,0,1,.000,.000,.500,4.6,0.3,1.0,0.3,0.0,0.0,tysonhu01
13,Peyton Watson,21,5,0,30,0,7,0,2,1,4,1,11,12,1,0,2,0,3,1,.000,.000,.250,6.0,0.2,2.4,0.2,0.0,0.4,watsope01
14,DeAndre Jordan,35,1,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,.000,,,4.4,0.0,1.0,0.0,0.0,0.0,jordade01
,Team Totals,27.3,7,,1680,256,566,73,207,98,121,63,217,280,161,45,35,88,134,683,.452,.353,.810,240.0,97.6,40.0,23.0,6.4,5.0,-9999
