,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Nikola Jokić,30,6,6,237,.554,.475,4.1,33.2,18.8,44.1,1.3,1.8,14.1,30.4,110,110,22.7,jokicni01
2,Jamal Murray,28,6,6,238,.484,.399,3.5,10.6,7.1,25.5,1.0,0.6,8.1,29.5,101,117,15.8,murraja01
3,Cameron Johnson,29,6,6,186,.612,.589,2.1,9.9,6.2,12.3,1.5,0.8,7.9,18.1,115,115,10.5,johnsca02
4,Tim Hardaway Jr.,33,6,0,140,.585,.511,4.8,10.6,7.7,6.2,1.4,1.2,6.7,18.9,115,115,8.1,hardati02
5,Christian Braun,24,6,6,187,.564,.500,1.1,11.3,6.2,7.6,1.5,2.0,8.3,11.4,111,115,7.2,braunch01
6,Spencer Jones,24,6,3,145,.920,.921,2.2,7.3,4.8,2.0,1.3,4.0,15.9,7.7,138,117,5.6,jonessp01
7,Bruce Brown,29,6,0,116,.501,.485,3.0,11.7,7.3,15.1,4.2,0.0,19.2,17.8,88,110,4.4,brownbr01
8,Aaron Gordon,30,3,3,89,.494,.450,4.9,14.0,9.5,11.7,0.0,0.8,2.8,17.1,110,117,8.0,gordoaa01
9,Jonas Valančiūnas,33,4,0,25,.698,.714,15.1,26.6,20.9,6.7,0.0,3.6,38.8,23.2,85,109,0.9,valanjo01
10,Zeke Nnaji,25,2,0,19,1.078,1.250,5.4,10.9,8.1,11.4,2.5,0.0,0.0,10.7,224,113,5.4,nnajize01
11,Tyus Jones,29,3,0,30,.507,.500,0.0,0.0,0.0,25.4,3.3,0.0,0.0,13.5,120,118,3.0,jonesty01
12,Julian Strawther,23,2,0,18,.381,.357,5.6,11.5,8.5,0.0,0.0,0.0,20.2,23.8,66,117,0.0,strawju01
13,Jalen Pickett,26,2,0,4,.568,,0.0,0.0,0.0,41.0,0.0,0.0,0.0,9.2,144,121,0.7,pickeja02
14,DaRon Holmes,23,2,0,4,,,0.0,49.9,24.7,0.0,0.0,0.0,,0.0,,107,0.3,holmeda01
,Team Totals,28.6,6,,1440,.556,.496,16.6,72.3,44.8,67.4,7.5,7.1,11.0,,109.3,113.8,,-9999
