Team,Player,player_id,Age,Pos,G,GS,MPG,PPG,RPG,APG,FG%,3P%,FT%,TS%,eFG%,USG%,PER,BPM,VORP,PTS_per100,FGA_per100,AST_per100,TRB_per100,ORtg,DRtg
MIN,Anthony Edwards,edwaran01,24,SG,61,60,35.0,28.8,5.0,3.7,.489,.399,.796,.617,.572,31.5,21.8,4.5,3.5,39.3,27.5,5.0,6.7,117,114
MIN,Julius Randle,randlju01,31,PF,79,79,33.0,21.1,6.7,5.0,.481,.315,.802,.585,.526,26.5,18.4,1.5,2.3,30.5,22.1,7.3,9.7,117,114
MIN,Jaden McDaniels,mcdanja02,25,PF,73,73,31.7,14.8,4.2,2.7,.515,.412,.835,.611,.579,18.5,14.0,-0.3,1.0,22.3,16.7,4.1,6.4,117,114
MIN,Rudy Gobert,goberru01,33,C,76,76,31.3,10.9,11.5,1.7,.682,.000,.526,.664,.682,12.9,17.5,1.0,1.8,16.6,9.9,2.6,17.5,132,110
MIN,Donte DiVincenzo,divindo01,29,SG,82,82,30.4,12.2,4.1,3.8,.406,.379,.743,.567,.552,16.9,12.5,0.8,1.7,19.1,16.0,6.0,6.4,116,115
MIN,Ayo Dosunmu,dosunay01,26,SG,24,9,28.9,14.4,4.2,3.5,.521,.414,.925,.619,.590,19.0,15.6,1.5,0.6,23.7,18.0,5.8,6.9,122,115
MIN,Naz Reid,reidna01,26,C,77,3,26.1,13.6,6.2,2.2,.456,.362,.732,.565,.549,22.1,15.4,0.9,1.5,24.9,20.7,4.0,11.3,110,111
MIN,Kyle Anderson,anderky01,32,SF,19,2,19.1,4.6,3.7,3.3,.473,.000,.773,.520,.473,11.5,12.7,1.6,0.3,11.4,9.7,8.2,9.2,122,112
MIN,Mike Conley,conlemi01,38,PG,54,15,18.4,4.5,1.7,2.9,.335,.337,.900,.517,.465,11.5,9.4,-1.3,0.2,11.8,10.4,7.6,4.5,120,116
MIN,Bones Hyland,hylanbo01,25,PG,71,3,16.6,8.5,1.8,2.6,.453,.388,.780,.599,.577,20.6,15.1,1.7,1.1,24.5,19.0,7.6,5.2,120,116
MIN,Jaylen Clark,clarkja02,24,SG,68,1,13.1,4.0,1.8,0.6,.434,.327,.657,.534,.507,13.3,10.3,-2.4,-0.1,14.8,12.3,2.3,6.5,116,115
MIN,Terrence Shannon Jr.,shannte01,25,SG,43,2,12.5,5.6,1.1,0.9,.450,.408,.800,.597,.541,17.7,11.1,-3.6,-0.2,21.4,15.2,3.4,4.3,118,118
MIN,Rob Dillingham,dilliro01,21,PG,35,0,9.3,3.5,1.2,1.7,.333,.364,.750,.404,.376,24.0,6.0,-8.2,-0.5,17.7,20.7,8.5,6.0,85,113
MIN,Enrique Freeman,freemen01,25,PF,4,0,9.3,3.3,2.5,0.5,.500,.500,.750,.666,.625,13.4,15.6,0.0,0.0,16.8,10.3,2.6,12.9,123,106
MIN,Zyon Pullin,pullizy01,24,SG,5,0,8.6,4.6,0.6,1.8,.692,.333,1.000,.779,.731,17.4,18.8,-1.1,0.0,25.5,14.4,10.0,3.3,144,119
MIN,Joan Beringer,berinjo01,19,PF,40,3,7.9,3.9,2.3,0.3,.663,,.703,.683,.663,16.8,21.3,0.4,0.2,23.7,14.9,1.8,14.0,139,111
MIN,Julian Phillips,phillju01,22,SF,13,0,7.2,3.2,0.4,0.2,.424,.250,.750,.536,.485,19.0,9.2,-6.0,-0.1,20.8,16.8,1.5,2.5,104,115
MIN,Rocco Zikarsky,zikarro01,19,C,5,0,7.2,2.8,2.8,0.4,.625,,1.000,.717,.625,12.6,21.0,2.4,0.0,18.6,10.6,2.7,18.6,145,105
MIN,Joe Ingles,inglejo01,38,SF,27,2,5.7,1.5,0.7,1.3,.593,.438,1.000,.735,.722,11.5,13.0,0.2,0.1,12.8,8.4,10.6,5.9,120,112
MIN,Leonard Miller,millele01,22,SF,19,0,5.0,2.3,1.3,0.3,.545,.083,.636,.581,.561,20.8,12.2,-5.8,-0.1,22.1,16.6,2.5,12.6,103,113
MIN,Johnny Juzang,juzanjo01,24,SG,21,0,4.2,2.0,0.8,0.3,.421,.250,.625,.518,.500,22.3,12.1,-3.3,0.0,23.3,20.6,3.3,9.2,105,116
