,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Anthony Edwards,22,7,7,284,.609,.567,0.9,14.3,7.6,26.2,2.1,1.4,10.7,29.8,117,110,21.3,edwaran01
2,Karl-Anthony Towns,28,7,7,243,.610,.578,6.8,22.9,15.0,14.7,1.3,1.1,10.9,23.4,118,109,14.9,townska01
3,Jaden McDaniels,23,7,7,226,.604,.579,6.8,7.7,7.3,5.9,1.9,4.1,9.7,15.2,116,109,9.7,mcdanja02
4,Naz Reid,24,7,0,156,.551,.531,3.7,18.5,11.3,6.8,1.4,4.1,8.0,22.9,105,106,7.9,reidna01
5,Mike Conley,36,6,6,196,.579,.557,0.6,14.9,7.9,30.5,1.9,0.9,10.9,15.5,126,107,11.6,conlemi01
6,Rudy Gobert,31,6,6,203,.611,.605,8.4,29.5,19.1,8.1,1.3,3.8,16.5,14.2,114,108,10.5,goberru01
7,Nickeil Alexander-Walker,25,7,1,176,.491,.480,0.7,6.4,3.7,11.0,0.0,2.4,13.6,15.9,89,117,3.9,alexani01
8,Kyle Anderson,30,7,1,89,.441,.333,12.8,7.5,9.7,25.4,3.6,2.1,21.8,14.6,111,106,3.8,anderky01
9,Luka Garza,25,3,0,17,.856,.786,7.7,17.4,13.3,10.4,0.0,0.0,0.0,29.8,179,104,5.7,garzalu01
10,Monte Morris,28,5,0,37,.377,.342,3.4,7.6,5.4,22.6,2.9,0.0,0.0,25.7,93,109,1.9,morrimo01
11,Josh Minott,21,3,0,15,.429,.429,8.9,25.6,18.5,28.8,0.0,0.0,0.0,23.1,90,103,1.5,minotjo01
12,Jordan McLaughlin,27,3,0,19,.205,.250,0.0,12.4,7.2,14.1,0.0,0.0,17.0,15.1,43,107,-0.1,mclaujo01
13,Wendell Moore Jr.,22,2,0,10,.333,.333,0.0,16.9,9.5,23.2,5.1,0.0,25.0,18.1,63,74,1.0,moorewe01
14,Leonard Miller,20,1,0,3,.000,.000,0.0,59.1,32.1,0.0,0.0,0.0,0.0,14.5,0,69,-0.1,millele01
15,T.J. Warren,30,1,0,6,.000,.000,22.0,23.2,22.6,26.2,0.0,0.0,0.0,16.9,59,134,0.3,warretj01
,Team Totals,27.1,7,,1680,.572,.539,22.8,78.9,51.7,64.4,7.9,11.4,11.5,,113.8,108.1,,-9999
