,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Anthony Edwards,22,7,7,284,71,142,19,51,33,39,2,34,36,40,11,4,19,14,194,.500,.373,.846,40.5,27.7,5.1,5.7,1.6,0.6,edwaran01
2,Karl-Anthony Towns,28,7,7,243,49,96,13,33,19,24,14,50,64,21,6,3,13,26,130,.510,.394,.792,34.7,18.6,9.1,3.0,0.9,0.4,townska01
3,Jaden McDaniels,23,7,7,226,29,57,8,21,13,19,13,15,28,9,8,10,7,21,79,.509,.381,.684,32.3,11.3,4.0,1.3,1.1,1.4,mcdanja02
4,Naz Reid,24,7,0,156,30,65,9,28,7,9,5,27,32,6,4,7,6,13,76,.462,.321,.778,22.2,10.9,4.6,0.9,0.6,1.0,reidna01
5,Mike Conley,36,6,6,196,23,53,13,29,7,9,1,26,27,40,7,2,7,14,66,.434,.448,.778,32.7,11.0,4.5,6.7,1.2,0.3,conlemi01
6,Rudy Gobert,31,6,6,203,23,38,0,0,16,29,14,51,65,11,5,8,10,24,62,.605,,.552,33.8,10.3,10.8,1.8,0.8,1.3,goberru01
7,Nickeil Alexander-Walker,25,7,1,176,18,50,12,37,2,2,1,10,11,13,0,5,8,8,50,.360,.324,1.000,25.1,7.1,1.6,1.9,0.0,0.7,alexani01
8,Kyle Anderson,30,7,1,89,6,18,0,1,7,8,10,6,16,17,6,2,6,9,19,.333,.000,.875,12.8,2.7,2.3,2.4,0.9,0.3,anderky01
9,Luka Garza,25,3,0,17,5,7,1,2,7,8,1,3,4,1,0,0,0,0,18,.714,.500,.875,5.6,6.0,1.3,0.3,0.0,0.0,garzalu01
10,Monte Morris,28,5,0,37,6,19,1,9,2,2,1,2,3,5,2,0,0,3,15,.316,.111,1.000,7.4,3.0,0.6,1.0,0.4,0.0,morrimo01
11,Josh Minott,21,3,0,15,2,7,2,4,0,0,1,4,5,2,0,0,0,2,6,.286,.500,,4.9,2.0,1.7,0.7,0.0,0.0,minotjo01
12,Jordan McLaughlin,27,3,0,19,1,4,0,3,0,2,0,3,3,2,0,0,1,1,2,.250,.000,.000,6.4,0.7,1.0,0.7,0.0,0.0,mclaujo01
13,Wendell Moore Jr.,22,2,0,10,1,3,0,1,0,0,0,2,2,2,1,0,1,1,2,.333,.000,,5.2,1.0,1.0,1.0,0.5,0.0,moorewe01
14,Leonard Miller,20,1,0,3,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,.000,.000,,3.3,0.0,2.0,0.0,0.0,0.0,millele01
15,T.J. Warren,30,1,0,6,0,2,0,1,0,0,1,1,2,1,0,0,0,0,0,.000,.000,,5.9,0.0,2.0,1.0,0.0,0.0,warretj01
,Team Totals,27.1,7,,1680,264,562,78,221,113,151,64,236,300,170,50,41,82,136,719,.470,.353,.748,240.0,102.7,42.9,24.3,7.1,5.9,-9999
