"Player","Regular_Rk","Regular_PTS/G","Regular_From","Regular_To","Regular_Age","Regular_G","Regular_GS","Regular_AS","Regular_MP","Regular_FG","Regular_FGA","Regular_2P","Regular_2PA","Regular_3P","Regular_3PA","Regular_FT","Regular_FTA","Regular_ORB","Regular_DRB","Regular_TRB","Regular_AST","Regular_STL","Regular_BLK","Regular_TOV","Regular_PF","Regular_PTS","Regular_FG%","Regular_2P%","Regular_3P%","Regular_FT%","Regular_TS%","Regular_eFG%","Regular_Pos","Regular_Team","Regular_Player-additional","Postseason_Rk","Postseason_PTS/G","Postseason_G","Postseason_From","Postseason_To","Postseason_Age","Postseason_G_2","Postseason_GS","Postseason_AS","Postseason_MP","Postseason_FG","Postseason_FGA","Postseason_2P","Postseason_2PA","Postseason_3P","Postseason_3PA","Postseason_FT","Postseason_FTA","Postseason_ORB","Postseason_DRB","Postseason_TRB","Postseason_AST","Postseason_STL","Postseason_BLK","Postseason_TOV","Postseason_PF","Postseason_PTS","Postseason_FG%","Postseason_2P%","Postseason_3P%","Postseason_FT%","Postseason_TS%","Postseason_eFG%","Postseason_Pos","Postseason_Player-additional"
"Michael Jordan","1","30.1","1984-85","2002-03","21-39","1072","1039","14","41011","12192","24537","11611","22759","581","1778","7327","8772","1668","5004","6672","5633","2514","893","2924","2783","32292",".497",".510",".327",".835",".569",".509","G-F","CHIWAS","jordami01","1","33.4","179","1984-85","1997-98","21-34","179","179","12","7474","2188","4497","2040","4051","148","446","1463","1766","305","847","1152","1022","376","158","546","541","5987",".487",".504",".332",".828",".568",".503","G-F","jordami01"
"Wilt Chamberlain","2","30.1","1959-60","1972-73","23-36","1045","","13","47859","12681","23497","12681","23497","","","6057","11862","","","23924","4643","","446","","2075","31419",".540",".540","",".511",".547",".540","C","LALPHIPHWSFW","chambwi01","45","22.5","160","1959-60","1972-73","23-36","160","","11","7559","1425","2728","1425","2728","","","757","1627","","","3913","673","","","","412","3607",".522",".522","",".465",".524",".522","C","chambwi01"
"Luka Dončić","3","29.2","2018-19","2025-26","19-26","514","514","6","18001","5052","10778","3420","6146","1632","4632","3285","4349","468","3908","4376","4230","661","237","2032","1181","15021",".469",".556",".352",".755",".592",".544","G-F","DALLAL","doncilu01","2","30.9","55","2019-20","2024-25","20-25","55","55","4","2156","592","1284","410","759","182","525","331","449","36","468","504","427","89","26","232","150","1697",".461",".540",".347",".737",".573",".532","G-F","doncilu01"
"Joel Embiid","4","27.6","2016-17","2025-26","22-31","490","490","7","15608","4458","8909","3873","7182","585","1727","4043","4873","1083","4197","5280","1808","432","784","1656","1451","13544",".500",".539",".339",".830",".613",".533","C","PHI","embiijo01","26","24.9","59","2017-18","2023-24","23-29","59","59","7","2083","466","1015","401","790","65","225","472","570","127","514","641","182","49","102","218","197","1469",".459",".508",".289",".828",".580",".491","C","embiijo01"
"Elgin Baylor","5","27.4","1958-59","1971-72","24-37","846","","11","33863","8693","20171","8693","20171","","","5763","7391","","","11463","3650","","","","2596","23149",".431",".431","",".780",".494",".431","F","LALMNL","bayloel01","10","27.0","134","1958-59","1969-70","24-35","134","","11","5510","1388","3161","1388","3161","","","847","1098","","","1724","541","","","","435","3623",".439",".439","",".771",".497",".439","F","bayloel01"
"Kevin Durant","6","27.1","2007-08","2025-26","19-37","1201","1198","16","44077","11258","22375","8881","16305","2377","6070","7704","8738","781","7473","8254","5280","1236","1344","3800","2279","32597",".503",".545",".392",".882",".622",".556","F-G","BRKGSWHOUOKCPHOSEA","duranke01","4","29.3","170","2009-10","2023-24","21-35","170","170","13","6893","1684","3528","1318","2499","366","1029","1251","1441","129","1198","1327","709","172","204","550","427","4985",".477",".527",".356",".868",".599",".529","F-G","duranke01"
"Jerry West","7","27.0","1960-61","1973-74","22-35","932","","14","36571","9016","19032","9016","19032","","","7160","8801","30","86","5366","6238","81","23","","2435","25192",".474",".474","",".814",".550",".474","G","LAL","westje01","5","29.1","153","1960-61","1973-74","22-35","153","","13","6321","1622","3460","1622","3460","","","1213","1506","0","2","855","970","0","0","","451","4457",".469",".469","",".805",".541",".469","G","westje01"
"LeBron James","8","26.8","2003-04","2025-26","19-41","1622","1620","22","61030","15961","31502","13325","23937","2636","7565","8882","12051","1842","10253","12095","12016","2417","1185","5650","2862","43440",".507",".557",".348",".737",".590",".549","F-G","CLELALMIA","jamesle01","6","28.4","292","2005-06","2024-25","21-40","292","292","18","12062","2971","5984","2491","4541","480","1443","1867","2519","442","2186","2628","2095","493","284","1047","663","8289",".496",".549",".333",".741",".584",".537","F-G","jamesle01"
"Allen Iverson","9","26.7","1996-97","2009-10","21-34","914","901","11","37584","8467","19906","7408","16523","1059","3383","6375","8168","745","2649","3394","5624","1983","164","3262","1777","24368",".425",".448",".313",".780",".518",".452","G","DENDETMEMPHI","iversal01","3","29.7","71","1998-99","2007-08","23-32","71","71","7","3203","755","1882","632","1506","123","376","478","626","59","214","273","425","147","14","221","157","2111",".401",".420",".327",".764",".489",".434","G","iversal01"
"Bob Pettit","10","26.4","1954-55","1964-65","22-32","792","","11","30690","7349","16872","7349","16872","","","6182","8119","","","12849","2369","","","","2529","20880",".436",".436","",".761",".511",".436","F-C","MLHSTL","pettibo01","21","25.5","88","1955-56","1964-65","23-32","88","","9","3545","766","1834","766","1834","","","708","915","","","1304","241","","","","277","2240",".418",".418","",".774",".501",".418","F-C","pettibo01"
"George Gervin","11","26.2","1976-77","1985-86","24-33","791","623","9","26536","8045","15747","7968","15488","77","259","4541","5383","1186","2421","3607","2214","941","670","2137","2331","20708",".511",".514",".297",".844",".572",".513","G-F","CHISAS","gervige01","12","27.0","59","1976-77","1985-86","24-33","59","5","8","2202","622","1225","622","1212","0","13","348","424","110","231","341","186","69","51","187","207","1592",".508",".513",".000",".821",".564",".508","G-F","gervige01"
"Oscar Robertson","12","25.7","1960-61","1973-74","22-35","1040","","12","43886","9508","19620","9508","19620","","","7694","9185","71","208","7804","9887","77","4","","2931","26710",".485",".485","",".838",".564",".485","G-F","CINMIL","roberos01","49","22.2","86","1961-62","1973-74","23-35","86","","8","3673","675","1466","675","1466","","","560","655","15","39","578","769","15","4","","267","1910",".460",".460","",".855",".544",".460","G-F","roberos01"
"Shai Gilgeous-Alexander","13","25.3","2018-19","2025-26","20-27","530","521","4","17550","4674","9193","3945","7166","729","2027","3334","3857","389","2114","2503","2810","761","422","1223","1183","13411",".508",".551",".360",".864",".616",".548","G","LACOKC","gilgesh01","19","25.8","46","2018-19","2024-25","20-26","46","46","2","1702","411","878","340","675","71","203","293","341","38","210","248","262","64","45","102","130","1186",".468",".504",".350",".859",".577",".509","G","gilgesh01"
