Team,Player,player_id,Series_PPG,Series_TS%,Series_eFG%,Series_USG%,Series_ORtg,Series_DRtg,Series_GmSc,RS_PPG,RS_TS%,RS_eFG%,RS_USG%,RS_ORtg,RS_DRtg,Delta_PPG,Delta_TS%,Delta_eFG%,Delta_USG%,Delta_ORtg,Delta_DRtg
MIN,Ayo Dosunmu,dosunay01,21.8,.749,.703,20.9,145,114,18.0,14.4,.619,.590,19.0,122,115,7.4,0.13,0.113,1.9,23.0,-1.0
MIN,Anthony Edwards,edwaran01,18.5,.485,.418,29.8,99,107,11.4,28.8,.617,.572,31.5,117,114,-10.3,-0.132,-0.154,-1.7,-18.0,-7.0
MIN,Julius Randle,randlju01,19.2,.522,.462,26.5,107,111,12.4,21.1,.585,.526,26.5,117,114,-1.9,-0.063,-0.064,0.0,-10.0,-3.0
MIN,Jaden McDaniels,mcdanja02,17.8,.545,.506,21.2,114,111,12.8,14.8,.611,.579,18.5,117,114,3.0,-0.066,-0.073,2.7,-3.0,-3.0
MIN,Rudy Gobert,goberru01,7.7,.529,.528,10.6,117,105,10.5,10.9,.664,.682,12.9,132,110,-3.2,-0.135,-0.154,-2.3,-15.0,-5.0
MIN,Donte DiVincenzo,divindo01,10.8,.654,.672,16.4,123,103,10.2,12.2,.567,.552,16.9,116,115,-1.4,0.087,0.12,-0.5,7.0,-12.0
DEN,Nikola Jokić,jokicni01,25.8,.554,.475,30.4,110,110,22.7,27.7,.670,.618,30.4,134,111,-1.9,-0.116,-0.143,0.0,-24.0,-1.0
DEN,Jamal Murray,murraja01,23.7,.484,.399,29.5,101,117,15.8,25.4,.622,.573,27.9,126,119,-1.7,-0.138,-0.174,1.6,-25.0,-2.0
DEN,Aaron Gordon,gordoaa01,11.3,.494,.450,17.1,110,117,8.0,16.2,.620,.574,21.9,127,118,-4.9,-0.126,-0.124,-4.8,-17.0,-1.0
DEN,Cameron Johnson,johnsca02,14.2,.612,.589,18.1,115,115,10.5,12.2,.629,.596,15.1,127,120,2.0,-0.017,-0.007,3.0,-12.0,-5.0
