Rk,Player,PTS/100 Poss.,MP,USG%,TS%,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
1,Luka Dončić,45.7,2289,38.1,.616,2025-26,26,LAL,64,64,1,9.5,120,114,6.6,2.9,.199,8.0,1.3,9.2,6.5,27.9,2.2,22.5,12.7,40.6,2.2,1.4,12.8,38.1,G-F,doncilu01
2,Shai Gilgeous-Alexander,45.3,2259,33.4,.665,2025-26,27,OKC,68,68,1,15.3,133,108,11.1,4.2,.326,8.8,3.0,11.7,7.8,30.9,1.9,11.7,7.0,35.0,2.0,2.3,8.7,33.4,G,gilgesh01
3,Kawhi Leonard,43.2,2085,33.5,.629,2025-26,34,LAC,65,65,1,9.2,124,113,6.5,2.7,.212,7.4,0.6,8.0,5.3,27.9,4.1,18.6,11.5,21.0,2.9,1.2,8.4,33.5,F,leonaka01
4,Jaylen Brown,42.3,2443,36.2,.573,2025-26,29,BOS,71,71,1,6.9,114,113,3.5,3.3,.135,3.5,-0.2,3.3,3.3,22.0,3.7,18.1,11.1,25.9,1.5,1.1,12.7,36.2,F-G,brownja02
5,Victor Wembanyama,41.2,1866,32.4,.626,2025-26,22,SAS,64,55,1,10.0,122,101,5.0,5.1,.258,6.5,4.2,10.7,6.0,29.9,7.7,34.0,21.2,17.6,1.7,9.4,10.8,32.4,C-F,wembavi01
6,Donovan Mitchell,40.1,2342,32.2,.613,2025-26,29,CLE,70,70,1,8.2,121,116,5.8,2.4,.168,5.2,-0.2,5.1,4.2,23.0,2.4,12.4,7.4,27.9,2.1,0.8,11.1,32.2,G,mitchdo01
7,Anthony Edwards,39.3,2137,31.5,.617,2025-26,24,MIN,61,60,1,6.6,118,114,3.9,2.7,.147,4.7,-0.2,4.5,3.5,21.8,1.9,13.4,7.8,17.6,1.9,2.0,10.9,31.5,G-F,edwaran01
8,Nikola Jokić,38.6,2247,30.4,.669,2025-26,30,DEN,64,64,1,14.7,133,111,11.3,3.4,.314,10.0,4.1,14.1,9.1,32.2,9.9,30.5,20.7,50.7,2.0,2.2,15.5,30.4,C-F,jokicni01
9,Devin Booker,38.4,2146,32.2,.585,2025-26,29,PHO,64,64,1,6.4,119,118,4.7,1.8,.144,3.2,-1.0,2.2,2.3,20.4,2.4,10.7,6.4,30.4,1.2,0.8,12.3,32.2,G,bookede01
10,Michael Porter Jr.,36.9,1689,30.5,.595,2025-26,27,BRK,52,52,0,3.0,113,118,1.7,1.3,.084,4.2,-1.2,3.0,2.1,19.9,4.5,21.6,12.6,18.2,1.6,0.7,10.3,30.5,F,portemi01
11,Jalen Brunson,36.9,2590,30.4,.580,2025-26,29,NYK,74,74,1,8.8,122,117,6.6,2.3,.163,4.0,-0.9,3.1,3.3,20.1,1.3,9.4,5.3,31.3,1.1,0.3,9.5,30.4,G,brunsja01
12,Tyrese Maxey,35.9,2634,29.5,.586,2025-26,25,PHI,69,69,1,8.6,120,116,5.9,2.7,.156,5.0,0.5,5.5,4.9,21.9,1.0,11.1,6.0,29.2,2.4,2.0,9.1,29.5,G,maxeyty01
13,Kevin Durant,35.7,2840,27.1,.641,2025-26,37,HOU,78,78,1,10.6,124,115,7.5,3.1,.179,4.4,0.1,4.5,4.6,21.2,1.6,14.8,8.3,20.7,1.1,2.3,13.5,27.1,F-G,duranke01
14,LaMelo Ball,35.5,1988,31.9,.547,2025-26,24,CHO,71,68,0,6.1,117,114,3.7,2.5,.148,4.8,-0.1,4.7,3.4,19.8,3.6,15.5,9.7,42.7,2.1,0.7,13.1,31.9,G,ballla01
15,Jamal Murray,35.1,2652,27.9,.622,2025-26,28,DEN,75,75,1,9.5,125,119,7.8,1.7,.173,5.5,-1.4,4.1,4.1,21.8,1.4,12.0,7.0,31.2,1.2,1.0,10.0,27.9,G,murraja01
16,Deni Avdija,34.7,2166,29.3,.599,2025-26,25,POR,65,65,1,6.8,119,115,4.4,2.4,.151,3.6,0.6,4.2,3.4,20.3,3.7,19.0,11.2,32.0,1.1,1.7,16.0,29.3,G-F,avdijde01
17,Pascal Siakam,34.3,2057,30.1,.562,2025-26,31,IND,62,62,1,2.7,110,118,1.1,1.6,.063,1.8,-1.0,0.7,1.4,18.6,4.6,17.4,10.9,20.0,1.6,1.0,9.5,30.1,F-C,siakapa01
18,Cade Cunningham,34.3,2150,30.5,.567,2025-26,24,DET,63,63,1,7.9,118,110,4.3,3.6,.176,4.9,1.6,6.5,4.6,21.7,2.9,15.0,9.0,44.8,2.1,2.5,14.7,30.5,G,cunnica01
19,Norman Powell,33.9,1694,27.1,.609,2025-26,32,MIA,57,52,1,3.8,116,116,2.2,1.7,.109,1.7,-0.2,1.5,1.5,17.4,1.3,11.1,6.2,12.6,1.7,0.7,9.9,27.1,G,powelno01
20,Zion Williamson,33.9,1841,25.8,.644,2025-26,25,NOP,62,55,0,6.1,126,120,5.1,1.0,.159,3.5,-0.6,2.9,2.3,22.7,7.3,13.5,10.3,17.8,1.6,1.7,11.1,25.8,F-C,willizi01
21,Keyonte George,33.5,1786,27.9,.609,2025-26,22,UTA,54,54,0,3.3,118,124,3.1,0.1,.088,3.0,-2.1,0.9,1.3,18.6,1.4,10.9,6.0,28.4,1.5,0.8,13.7,27.9,G,georgke01
22,Jalen Duren,33.4,1976,23.6,.688,2025-26,22,DET,70,70,1,11.0,134,108,7.2,3.8,.267,4.4,0.5,5.0,3.5,26.1,15.3,26.4,20.9,11.0,1.4,3.0,11.6,23.6,C,durenja01
23,James Harden,33.3,2438,28.6,.610,2025-26,36,CLELAC,70,70,0,7.7,120,117,5.6,2.1,.151,4.6,-0.8,3.8,3.6,20.7,1.9,13.6,7.9,34.7,1.6,1.1,15.3,28.6,G,hardeja01
24,Brandon Miller,33.0,1941,28.0,.573,2025-26,23,CHO,64,64,0,4.4,114,114,2.1,2.3,.108,1.7,-0.1,1.6,1.8,16.8,4.1,14.1,9.2,17.9,1.7,2.0,12.4,28.0,F-G,millebr02
25,Austin Reaves,32.9,1762,26.7,.641,2025-26,27,LAL,51,45,0,5.6,123,118,4.2,1.4,.152,3.4,-0.7,2.7,2.1,20.3,2.3,13.4,8.0,24.0,1.6,1.1,14.0,26.7,G,reaveau01
26,Dillon Brooks,32.8,1702,28.6,.540,2025-26,30,PHO,56,56,0,2.0,108,117,0.4,1.6,.057,-1.1,-1.3,-2.4,-0.2,14.1,2.7,10.8,6.6,9.7,1.7,0.5,8.6,28.6,F-G,brookdi01
27,Karl-Anthony Towns,32.1,2322,25.9,.619,2025-26,30,NYK,75,75,1,9.6,123,110,5.6,4.0,.198,2.7,0.6,3.3,3.1,22.0,11.2,31.7,21.4,14.7,1.4,1.8,13.3,25.9,C-F,townska01
28,Collin Sexton,31.5,1585,26.0,.616,2025-26,27,CHICHO,67,21,0,3.9,117,117,2.5,1.4,.118,1.1,-0.4,0.7,1.1,17.4,2.8,7.6,5.3,22.0,2.3,0.6,14.4,26.0,G,sextoco01
29,Brandon Ingram,30.9,2572,27.0,.569,2025-26,28,TOR,76,76,1,4.3,110,115,1.3,3.0,.079,0.9,-0.5,0.4,1.6,16.1,2.7,16.0,9.3,17.0,1.1,2.0,11.5,27.0,F,ingrabr01
30,RJ Barrett,30.8,1697,25.7,.583,2025-26,25,TOR,56,56,0,3.9,115,115,1.9,1.9,.109,1.0,-0.7,0.3,1.0,16.9,3.6,16.4,9.9,16.9,1.2,1.1,9.6,25.7,G-F,barrerj01
31,Paolo Banchero,30.7,2464,27.4,.569,2025-26,23,ORL,71,71,0,5.0,112,114,2.1,2.9,.097,1.4,0.0,1.4,2.1,17.7,3.6,23.5,13.5,23.1,1.0,1.5,13.5,27.4,F,banchpa01
32,LeBron James,30.7,1972,27.0,.595,2025-26,41,LAL,59,59,1,5.4,118,116,3.4,2.0,.131,3.3,0.2,3.5,2.8,20.8,2.6,18.3,10.7,34.0,1.7,1.7,14.4,27.0,F-G,jamesle01
33,Alperen Şengün,30.6,2398,26.6,.569,2025-26,23,HOU,72,72,1,8.0,118,112,4.4,3.6,.160,2.7,1.4,4.2,3.7,21.4,10.1,19.4,14.8,29.0,1.8,3.0,15.0,26.6,C-F,sengual01
