Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,Player-additional
1,Darryn Peterson,49.0,26.8,9,2025-26,Kansas,9,9,241,67,133,41,69,26,64,40,48,4,36,40,19,10,7,14,11,200,.504,.594,.406,.833,.642,.602,G,FR,darryn-peterson-1
2,Bol Bol,43.1,29.8,9,2018-19,Oregon,9,9,268,74,132,61,107,13,25,28,37,19,67,86,9,7,24,18,15,189,.561,.570,.520,.757,.632,.610,C,FR,bol-bol-1
3,Mike Daum,42.7,20.8,34,2015-16,South Dakota State,34,3,706,172,311,143,246,29,65,145,176,71,136,207,27,17,11,56,71,518,.553,.581,.446,.824,.656,.600,F,FR,mike-daum-1
4,Jao Ituka,41.4,22.0,28,2021-22,Marist,28,16,617,151,287,135,248,16,39,109,142,19,69,88,45,19,7,66,54,427,.526,.544,.410,.768,.602,.554,G,FR,jao-ituka-1
5,Zion Williamson,41.2,30.0,33,2018-19,Duke,33,33,990,296,435,272,364,24,71,130,203,116,177,293,68,70,59,78,68,746,.680,.747,.338,.640,.702,.708,F,FR,zion-williamson-1
6,Cameron Boozer,41.1,32.2,18,2025-26,Duke,18,18,580,146,249,120,180,26,69,100,133,60,119,179,73,32,12,41,30,418,.586,.667,.377,.752,.669,.639,F,FR,cameron-boozer-3
7,Trae Young,40.4,35.4,32,2017-18,Oklahoma,32,32,1133,261,618,143,290,118,328,236,274,14,111,125,279,54,8,167,57,876,.422,.493,.360,.861,.585,.518,G,FR,trae-young-1
8,Brice Sensabaugh,40.3,24.5,33,2022-23,Ohio State,33,21,809,197,410,137,262,60,148,83,100,42,135,177,38,18,13,67,82,537,.480,.523,.405,.830,.587,.554,F,FR,brice-sensabaugh-1
9,Antoine Davis,39.7,37.4,30,2018-19,Detroit Mercy,30,29,1122,263,657,131,310,132,347,126,147,22,72,94,107,28,0,99,70,784,.400,.423,.380,.857,.539,.501,G,FR,antoine-davis-2
10,AJ Dybantsa,39.6,31.8,18,2025-26,Brigham Young,18,18,572,139,254,123,201,16,53,111,146,27,96,123,64,25,8,50,21,405,.547,.612,.302,.760,.626,.579,F,FR,aj-dybantsa-1
11,James Daniel,39.3,31.8,28,2013-14,Howard,28,26,891,155,421,64,190,91,231,186,233,15,54,69,44,37,1,93,64,587,.368,.337,.394,.798,.552,.476,G,FR,james-daniel-1
12,Vernon Carey Jr.,39.2,24.9,31,2019-20,Duke,31,30,772,199,345,191,324,8,21,146,218,83,189,272,30,22,49,63,85,552,.577,.590,.381,.670,.615,.588,C,FR,vernon-careyjr-1
13,Lamine Diane,39.0,35.3,33,2018-19,Cal State Northridge,33,33,1165,340,701,333,678,7,23,131,251,108,260,368,68,50,72,105,112,818,.485,.491,.304,.522,.499,.490,F,FR,lamine-diane-1
14,Jhivvan Jackson,38.7,25.7,29,2017-18,UTSA,29,9,745,174,404,97,195,77,209,109,142,9,85,94,52,30,2,70,70,534,.431,.497,.368,.768,.566,.526,G,FR,jhivvan-jackson-1
15,Money Williams,38.5,20.8,12,2023-24,Montana,12,6,249,53,114,43,80,10,34,45,51,5,42,47,39,6,1,26,32,161,.465,.538,.294,.882,.582,.509,G,FR,money-williams-1
16,Jabari Parker,38.2,30.7,35,2013-14,Duke,35,35,1074,236,499,198,393,38,106,160,214,105,201,306,41,37,43,81,83,670,.473,.504,.358,.748,.558,.511,F,FR,jabari-parker-1
17,Maurice Creek,38.2,25.4,12,2009-10,Indiana,12,12,305,69,131,39,64,30,67,29,38,19,27,46,22,17,5,18,22,197,.527,.609,.448,.763,.661,.641,G,FR,maurice-creek-1
