season,origin,count
2001,US Total,40
2001,International,9
2001,Auburn,2
2001,Cincinnati,2
2001,Connecticut,2
2001,Florida,2
2001,Louisiana State,2
2001,Michigan State,2
2001,St. John's (NY),2
2001,Arizona State,1
2002,US Total,41
2002,International,13
2002,Arizona,3
2002,DePaul,2
2002,Michigan State,2
2002,North Carolina,2
2002,Seton Hall,2
2002,Southern California,2
2002,Stanford,2
2002,Syracuse,2
2003,US Total,35
2003,International,12
2003,Duke,3
2003,Fresno State,3
2003,Maryland,3
2003,California,2
2003,Illinois,2
2003,Tennessee,2
2003,Connecticut,1
2003,Gonzaga,1
2004,US Total,34
2004,International,15
2004,UCLA,2
2004,Wake Forest,2
2004,Xavier,2
2004,Alabama,1
2004,Arizona,1
2004,Boston College,1
2004,Brigham Young,1
2004,California,1
2005,US Total,31
2005,International,19
2005,Connecticut,2
2005,Duke,2
2005,Saint Joseph's,2
2005,Arizona,1
2005,Brigham Young,1
2005,Cal State Fullerton,1
2005,Central Connecticut State,1
2005,Colorado,1
2006,US Total,39
2006,International,12
2006,North Carolina,4
2006,Arizona,2
2006,Illinois,2
2006,Mississippi State,2
2006,Arizona State,1
2006,Cincinnati,1
2006,Connecticut,1
2006,Duke,1
2007,US Total,41
2007,International,13
2007,Connecticut,4
2007,Michigan State,3
2007,Texas,3
2007,Duke,2
2007,Illinois,2
2007,Memphis,2
2007,UCLA,2
2007,Villanova,2
2008,US Total,40
2008,International,10
2008,Florida,5
2008,Boston College,2
2008,Georgia Tech,2
2008,Nevada,2
2008,Ohio State,2
2008,Southern California,2
2008,Alabama,1
2008,Arizona,1
2009,US Total,41
2009,International,9
2009,Kansas,4
2009,Memphis,3
2009,UCLA,3
2009,Indiana,2
2009,Kansas State,2
2009,Ohio State,2
2009,Stanford,2
2009,Arizona,1
2010,US Total,40
2010,International,6
2010,North Carolina,4
2010,Arizona,2
2010,Arizona State,2
2010,Connecticut,2
2010,Louisville,2
2010,Pittsburgh,2
2010,Southern California,2
2010,UCLA,2
2011,US Total,43
2011,International,7
2011,Kentucky,4
2011,Texas,3
2011,Georgetown,2
2011,Georgia Tech,2
2011,Kansas,2
2011,Nevada,2
2011,Oklahoma,2
2011,Syracuse,2
2012,US Total,50
2012,International,5
2012,Kentucky,4
2012,Kansas,3
2012,Texas,3
2012,Duke,2
2012,Florida,2
2012,Florida State,2
2012,Georgia,2
2012,Purdue,2
2013,US Total,50
2013,International,7
2013,Kentucky,6
2013,North Carolina,4
2013,Baylor,3
2013,Duke,3
2013,Syracuse,3
2013,Vanderbilt,3
2013,Connecticut,2
2013,Kansas,2
2014,US Total,41
2014,International,6
2014,Duke,2
2014,Florida,2
2014,Indiana,2
2014,Kansas,2
2014,Louisville,2
2014,Michigan,2
2014,Arizona,1
2014,Arizona State,1
2015,US Total,42
2015,International,10
2015,Arizona,3
2015,Kentucky,3
2015,Michigan,3
2015,UCLA,3
2015,Duke,2
2015,Michigan State,2
2015,Oklahoma State,2
2015,Syracuse,2
2016,US Total,41
2016,International,10
2016,Kentucky,4
2016,Duke,3
2016,Arizona,2
2016,Kansas,2
2016,Louisiana State,2
2016,Louisville,2
2016,Notre Dame,2
2016,Stanford,2
2017,US Total,42
2017,International,12
2017,Kentucky,4
2017,Baylor,2
2017,Kansas,2
2017,Maryland,2
2017,Michigan State,2
2017,Providence,2
2017,Syracuse,2
2017,UNLV,2
2018,US Total,52
2018,International,8
2018,Kentucky,4
2018,Oregon,4
2018,California,3
2018,North Carolina,3
2018,UCLA,3
2018,Arizona,2
2018,Duke,2
2018,Florida State,2
2019,US Total,49
2019,International,9
2019,Duke,6
2019,Kentucky,4
2019,Villanova,4
2019,Kansas,2
2019,Miami (FL),2
2019,Michigan State,2
2019,Southern California,2
2019,UCLA,2
2020,US Total,53
2020,International,7
2020,Virginia,4
2020,Duke,3
2020,Gonzaga,3
2020,Kentucky,3
2020,North Carolina,3
2020,Tennessee,3
2020,Florida State,2
2020,Iowa State,2
2021,US Total,50
2021,International,9
2021,Arizona,3
2021,Duke,3
2021,Kentucky,3
2021,Auburn,2
2021,Florida State,2
2021,Memphis,2
2021,Michigan State,2
2021,Mississippi State,2
2022,US Total,46
2022,International,12
2022,Texas,3
2022,Alabama,2
2022,Auburn,2
2022,Baylor,2
2022,Florida,2
2022,Gonzaga,2
2022,Iowa,2
2022,Kentucky,2
2023,US Total,44
2023,Duke,5
2023,International,5
2023,Arizona,3
2023,Auburn,2
2023,Baylor,2
2023,Kansas,2
2023,Kentucky,2
2023,Memphis,2
2023,Michigan,2
2024,US Total,48
2024,International,12
2024,Arkansas,3
2024,Gonzaga,3
2024,Alabama,2
2024,Connecticut,2
2024,Duke,2
2024,Houston,2
2024,Indiana,2
2024,Kansas,2
2025,US Total,43
2025,International,13
2025,Connecticut,4
2025,Colorado,3
2025,Kentucky,3
2025,Baylor,2
2025,Duke,2
2025,Kansas,2
2025,Marquette,2
2025,Southern California,2
2026,US Total,44
2026,International,9
2026,Duke,5
2026,Florida,3
2026,Illinois,2
2026,Kentucky,2
2026,Rutgers,2
2026,Tennessee,2
2026,Arizona,1
2026,Arkansas,1
