player,rookie_season,minutes,pts,poss,pts_per_100,position
Kenyon Martin,2001,2273.3233333333333,814,999.48,81.44235002201144,Forward
Stromile Swift,2001,1313.22,391,465.04,84.07878892138311,Forward-Center
Darius Miles,2001,2139.1633333333334,761,881.72,86.30857868711155,Forward
Marcus Fizer,2001,1581.3533333333332,683,840.84,81.2282955140098,
Mike Miller,2001,2388.935,975,998.32,97.6640756470871,Guard-Forward
DerMarr Johnson,2001,1309.915,397,521.28,76.15868631062001,Forward-Guard
Jamal Crawford,2001,1046.621666666667,282,403.96,69.80889196950193,Guard
Courtney Alexander,2001,1373.9116666666666,618,714.0,86.5546218487395,Guard
Desmond Mason,2001,1523.5283333333334,463,532.04,87.02353206525825,Guard
Quentin Richardson,2001,1356.0533333333333,613,658.52,93.0875296118569,Forward
Morris Peterson,2001,1810.575,747,814.8,91.67893961708396,Guard
Mark Madsen,2001,636.8783333333333,137,156.28,87.66316867161505,Forward
A.J. Guyton,2001,628.5383333333333,198,223.92,88.42443729903538,Guard
Eddie House,2001,544.805,251,297.4,84.3981170141224,Guard
Tyson Chandler,2002,1392.8166666666666,436,500.68,87.08156906607014,Center
Pau Gasol,2002,3001.866666666667,1441,1497.88,96.20263305471732,Center-Forward
Jason Richardson,2002,2627.845,1151,1342.4,85.7419547079857,Guard
Shane Battier,2002,3098.1,1125,1240.52,90.6877760938961,Forward
Eddie Griffin,2002,1895.4766666666667,642,750.84,85.5042352565127,Forward
Joe Johnson,2002,1916.736666666667,581,678.32,85.65278924401461,Guard-Forward
Richard Jefferson,2002,1919.4233333333332,742,814.6,91.08765038055488,Forward
Troy Murphy,2002,1450.3916666666669,480,575.64,83.38544923910777,Forward-Center
Steven Hunter,2002,514.0466666666666,189,204.36,92.48385202583675,Center
Jason Collins,2002,1403.1083333333331,350,422.15999999999997,82.90695470911503,Center
Gerald Wallace,2002,431.7166666666666,173,217.24,79.63542625667465,Forward
Jamaal Tinsley,2002,2443.415,751,1111.8400000000001,67.54569002734206,Guard
Tony Parker,2002,2271.1783333333333,705,860.4,81.93863319386332,Guard
Trenton Hassell,2002,2235.5783333333334,681,779.16,87.40181734175266,Forward-Guard
Terence Morris,2002,1115.2966666666666,255,346.32,73.63132363132364,
Bobby Simmons,2002,339.69666666666666,112,122.2,91.65302782324059,Forward
Loren Woods,2002,515.7033333333334,110,158.4,69.44444444444444,Center
Jarron Collins,2002,1444.6616666666666,450,478.64,94.01637974260404,Center
Kenny Satterfield,2002,559.8583333333333,189,272.24,69.42403761387011,Guard
Yao Ming,2003,2381.893333333333,1104,1141.24,96.73688268900494,Center
Jay Williams,2003,1961.19,714,926.84,77.03595011005136,Guard
Drew Gooden,2003,1875.57,875,1020.28,85.76077155290704,Forward
Nikoloz Tskitishvili,2003,1319.9883333333332,315,505.6,62.302215189873415,Forward
Dajuan Wagner,2003,1384.9083333333333,629,760.4,82.71962125197265,Guard
Nenê,2003,2258.3283333333334,839,950.04,88.31207107069176,Center-Forward
Amar'e Stoudemire,2003,2569.938333333333,1106,1231.96,89.77564206630085,Forward-Center
Caron Butler,2003,2855.651666666666,1201,1389.0,86.46508279337652,Forward
Melvin Ely,2003,802.9716666666667,236,268.56,87.87607983318439,Center-Forward
Kareem Rush,2003,874.7516666666667,227,317.12,71.58173562058526,Guard
Qyntel Woods,2003,334.9783333333333,128,149.8,85.44726301735646,Forward-Guard
Vincent Yarbrough,2003,1379.2516666666668,406,536.28,75.706720369956,Forward
Dan Gadzuric,2003,759.3583333333333,169,196.64,85.94385679414158,Center
Carlos Boozer,2003,2047.9583333333333,810,805.48,100.5611560808462,Forward
Lonny Baxter,2003,683.6466666666666,262,297.32,88.12054352213104,Forward
Rasual Butler,2003,1515.2966666666666,540,694.76,77.72468190454258,Forward
LeBron James,2004,3126.865,1654,1967.4,84.07034665040155,Forward
Carmelo Anthony,2004,2991.2316666666666,1725,1943.0,88.78023674729799,Forward
Chris Bosh,2004,2516.485,861,945.72,91.04174597132344,Forward
Dwyane Wade,2004,2135.85,991,1131.28,87.59988685382929,Guard
