player,rookie_season,minutes,pts_per_100,poss_est,player_id,usg_pct
Aaron Gray,2008,612.9966666666667,86.02574205411085,304.56,201189.0,13.900000000000002
Aaron Nesmith,2021,668.7316666666667,102.19388711794488,213.32,1630174.0,16.400000000000002
Aaron Wiggins,2022,1208.75,97.10550887021476,428.4,1630598.0,14.3
Acie Law,2008,865.36,74.81217369158283,314.12,201151.0,15.7
Adam Morrison,2007,2325.83,79.853007767599,1148.36,200747.0,
Adem Bona,2025,904.55,113.46801346801348,297.0,1641737.0,14.3
Adreian Payne,2015,739.6383333333333,74.93667323388685,284.24,203940.0,17.5
AJ Griffin,2023,1401.435,107.2723609991942,595.68,1631100.0,16.69999999999999
A.J. Guyton,2001,628.5383333333333,88.42443729903538,223.92,2062.0,21.7
A.J. Price,2010,865.3116666666666,91.92825112107624,446.0,201985.0,22.3
Ajay Mitchell,2025,596.955,102.45183887915935,228.4,1642349.0,16.2
Al Horford,2008,2539.8866666666668,91.39689183773434,898.28,201143.0,16.5
Al Jefferson,2005,1044.215,96.07605177993528,494.4,2744.0,21.5
Al Thornton,2008,2157.6983333333333,89.2761965675301,1125.72,201154.0,22.5
Al-Farouq Aminu,2011,1451.835,81.40943423115291,561.36,202329.0,15.9
Alec Burks,2012,938.9033333333332,90.24887454344687,470.92,202692.0,19.6
Aleksej Pokusevski,2021,1089.915,69.84090736088909,525.48,1630197.0,19.5
Alex Sarr,2025,1814.2283333333328,85.6495170510546,1014.6,1642259.0,23.5
Alexander Johnson,2007,752.6716666666666,97.0438936996118,267.92,200792.0,17.7
Alperen Şengün,2022,1489.2933333333333,89.62801782198736,772.08,1630578.0,21.1
Amar'e Stoudemire,2003,2569.938333333333,89.77564206630085,1231.96,2405.0,27.3
Amen Thompson,2024,1388.5316666666668,97.9808010592519,604.2,1641708.0,17.2
Anderson Varejão,2005,868.7616666666667,96.76949941792782,274.88,2760.0,13.3
Andre Iguodala,2005,2680.843333333333,95.31772575250837,777.4,2738.0,14.499999999999998
Andre Jackson Jr.,2024,572.3283333333334,94.09816320385426,132.84,1641748.0,11.5
Andre Roberson,2014,399.04333333333335,82.05689277899343,91.4,203460.0,8.799999999999999
Andrea Bargnani,2007,1629.45,94.5272379417984,794.48,200745.0,22.3
Andrew Bogut,2006,2348.13,94.076142878142,816.36,101106.0,17.2
Andrew Nembhard,2023,2073.5316666666668,88.92735300020068,797.28,1629614.0,16.1
Andrew Nicholson,2013,1249.4083333333333,96.80717725443633,606.36,203094.0,19.1
Andrew Wiggins,2015,2968.7966666666666,91.30766800084264,1519.04,203952.0,26.700000000000003
Andris Biedriņš,2005,382.305,101.3011152416357,107.6,2740.0,11.0
Anthony Bennett,2014,662.6383333333333,71.76875248048684,302.36,203461.0,17.2
Anthony Davis,2013,1845.9516666666664,100.34722222222224,864.0,203076.0,25.0
Anthony Edwards,2021,2314.1666666666665,93.3802023237717,1490.68,1630162.0,26.200000000000003
Anthony Randolph,2009,1129.1266666666668,87.07943599050678,573.04,201576.0,23.3
Antoine Wright,2006,370.1666666666667,62.67908309455587,111.68,101120.0,13.1
Archie Goodwin,2014,532.88,82.48299319727892,235.2,203462.0,22.5
Arron Afflalo,2008,970.3366666666668,88.10010214504597,313.28,201167.0,13.69999999999999
Ausar Thompson,2024,1582.805,90.20702187033552,616.36,1641709.0,18.5
Austin Rivers,2013,1417.55,73.70190803878637,511.52,203085.0,20.9
Ayo Dosunmu,2022,2109.641666666667,100.24803637866886,677.32,1630245.0,14.499999999999998
Bam Adebayo,2018,1368.185,98.39920785543362,484.76,1628389.0,15.7
Baylor Scheierman,2025,383.8883333333333,88.7806411062225,127.28,1631248.0,14.499999999999998
