player,rookie_season,minutes,poss_est,player_id,usg_pct,pts_per_100
Aaron Gray,2008,612.9966666666667,304.56,201189,13.900000000000002,21.4
Aaron Nesmith,2021,668.7316666666667,213.32,1630174,16.400000000000002,15.5
Aaron Wiggins,2022,1208.75,428.4,1630598,14.3,16.3
Acie Law,2008,865.36,314.12,201151,15.7,13.8
Adam Morrison,2007,2325.83,1148.36,200747,,19.8
Adem Bona,2025,904.55,297.0,1641737,14.3,17.7
Adreian Payne,2015,739.6383333333333,284.24,203940,17.5,14.6
AJ Griffin,2023,1401.435,595.68,1631100,16.69999999999999,21.3
A.J. Guyton,2001,628.5383333333333,223.92,2062,21.7,16.9
A.J. Price,2010,865.3116666666666,446.0,201985,22.3,22.8
Ajay Mitchell,2025,596.955,228.4,1642349,16.2,18.7
Al Horford,2008,2539.8866666666668,898.28,201143,16.5,16.8
Al Jefferson,2005,1044.215,494.4,2744,21.5,22.8
Al Thornton,2008,2157.6983333333333,1125.72,201154,22.5,23.9
Al-Farouq Aminu,2011,1451.835,561.36,202329,15.9,15.9
Alec Burks,2012,938.9033333333332,470.92,202692,19.6,23.1
Aleksej Pokusevski,2021,1089.915,525.48,1630197,19.5,15.5
Alex Sarr,2025,1814.2283333333328,1014.6,1642259,23.5,22.1
Alexander Johnson,2007,752.6716666666666,267.92,200792,17.7,17.0
Alperen Şengün,2022,1489.2933333333333,772.08,1630578,21.1,21.9
Amar'e Stoudemire,2003,2569.938333333333,1231.96,2405,27.3,22.1
Amen Thompson,2024,1388.5316666666668,604.2,1641708,17.2,20.0
Anderson Varejão,2005,868.7616666666667,274.88,2760,13.3,16.2
Andre Iguodala,2005,2680.843333333333,777.4,2738,14.499999999999998,13.7
Andre Jackson Jr.,2024,572.3283333333334,132.84,1641748,11.5,10.2
Andre Roberson,2014,399.04333333333335,91.4,203460,8.799999999999999,9.2
Andrea Bargnani,2007,1629.45,794.48,200745,22.3,23.2
Andrew Bogut,2006,2348.13,816.36,101106,17.2,16.9
Andrew Nembhard,2023,2073.5316666666668,797.28,1629614,16.1,16.0
Andrew Nicholson,2013,1249.4083333333333,606.36,203094,19.1,23.8
Andrew Wiggins,2015,2968.7966666666666,1519.04,203952,26.700000000000003,23.4
Andris Biedriņš,2005,382.305,107.6,2740,11.0,14.5
Anthony Bennett,2014,662.6383333333333,302.36,203461,17.2,16.0
Anthony Davis,2013,1845.9516666666664,864.0,203076,25.0,24.8
Anthony Edwards,2021,2314.1666666666665,1490.68,1630162,26.200000000000003,28.1
Anthony Randolph,2009,1129.1266666666668,573.04,201576,23.3,21.0
Antoine Wright,2006,370.1666666666667,111.68,101120,13.1,9.8
Archie Goodwin,2014,532.88,235.2,203462,22.5,17.5
Arron Afflalo,2008,970.3366666666668,313.28,201167,13.69999999999999,14.8
Ausar Thompson,2024,1582.805,616.36,1641709,18.5,16.7
Austin Rivers,2013,1417.55,511.52,203085,20.9,14.3
Ayo Dosunmu,2022,2109.641666666667,677.32,1630245,14.499999999999998,15.4
