player,rookie_season,minutes,usg_pct,pts_per_100,poss_est
Kenyon Martin,2001,2273.3233333333333,,81.44235002201144,999.48
Stromile Swift,2001,1313.22,,84.07878892138311,465.04
Darius Miles,2001,2139.1633333333334,,86.30857868711155,881.72
Marcus Fizer,2001,1581.3533333333332,,81.2282955140098,840.84
Mike Miller,2001,2388.935,,97.6640756470871,998.32
DerMarr Johnson,2001,1309.915,,76.15868631062001,521.28
Jamal Crawford,2001,1046.621666666667,,69.80889196950193,403.96
Courtney Alexander,2001,1373.9116666666666,,86.5546218487395,714.0
Desmond Mason,2001,1523.5283333333334,,87.02353206525825,532.04
Quentin Richardson,2001,1356.0533333333333,,93.0875296118569,658.52
Morris Peterson,2001,1810.575,,91.67893961708396,814.8
Mark Madsen,2001,636.8783333333333,,87.66316867161505,156.28
A.J. Guyton,2001,628.5383333333333,,88.42443729903538,223.92
Eddie House,2001,544.805,,84.3981170141224,297.4
Tyson Chandler,2002,1392.8166666666666,,87.08156906607014,500.68
Pau Gasol,2002,3001.866666666667,,96.20263305471732,1497.88
Jason Richardson,2002,2627.845,,85.7419547079857,1342.4
Shane Battier,2002,3098.1,,90.6877760938961,1240.52
Eddie Griffin,2002,1895.4766666666667,,85.5042352565127,750.84
Joe Johnson,2002,1916.736666666667,,85.65278924401461,678.32
Richard Jefferson,2002,1919.4233333333332,,91.08765038055488,814.6
Troy Murphy,2002,1450.3916666666669,,83.38544923910777,575.64
Steven Hunter,2002,514.0466666666666,,92.48385202583675,204.36
Jason Collins,2002,1403.1083333333331,,82.90695470911503,422.15999999999997
Gerald Wallace,2002,431.7166666666666,,79.63542625667465,217.24
Jamaal Tinsley,2002,2443.415,,67.54569002734206,1111.8400000000001
Tony Parker,2002,2271.1783333333333,,81.93863319386332,860.4
Trenton Hassell,2002,2235.5783333333334,,87.40181734175266,779.16
Terence Morris,2002,1115.2966666666666,,73.63132363132364,346.32
Bobby Simmons,2002,339.69666666666666,,91.65302782324059,122.2
Loren Woods,2002,515.7033333333334,,69.44444444444444,158.4
Jarron Collins,2002,1444.6616666666666,,94.01637974260404,478.64
Kenny Satterfield,2002,559.8583333333333,,69.42403761387011,272.24
Yao Ming,2003,2381.893333333333,,96.73688268900494,1141.24
Jay Williams,2003,1961.19,,77.03595011005136,926.84
Drew Gooden,2003,1875.57,,85.76077155290704,1020.28
Nikoloz Tskitishvili,2003,1319.9883333333332,,62.302215189873415,505.6
Dajuan Wagner,2003,1384.9083333333333,,82.71962125197265,760.4
Nenê,2003,2258.3283333333334,,88.31207107069176,950.04
Amar'e Stoudemire,2003,2569.938333333333,,89.77564206630085,1231.96
Caron Butler,2003,2855.651666666666,,86.46508279337652,1389.0
Melvin Ely,2003,802.9716666666667,,87.87607983318439,268.56
Kareem Rush,2003,874.7516666666667,,71.58173562058526,317.12
Qyntel Woods,2003,334.9783333333333,,85.44726301735646,149.8
