player,rookie_season,minutes,pts_per_100,poss_est,player_id,usg_pct
Kenyon Martin,2001,2273.3233333333333,81.44235002201144,999.48,2030,22.0
Stromile Swift,2001,1313.22,84.07878892138311,465.04,2031,21.6
Darius Miles,2001,2139.1633333333334,86.30857868711155,881.72,2032,18.3
Marcus Fizer,2001,1581.3533333333332,81.2282955140098,840.84,2033,25.7
Mike Miller,2001,2388.935,97.6640756470871,998.32,2034,20.7
DerMarr Johnson,2001,1309.915,76.15868631062001,521.28,2035,17.599999999999998
Jamal Crawford,2001,1046.621666666667,69.80889196950193,403.96,2037,21.4
Courtney Alexander,2001,1373.9116666666666,86.5546218487395,714.0,2042,20.1
Desmond Mason,2001,1523.5283333333334,87.02353206525825,532.04,2046,18.5
Quentin Richardson,2001,1356.0533333333333,93.0875296118569,658.52,2047,22.8
Morris Peterson,2001,1810.575,91.67893961708396,814.8,2050,20.7
Mark Madsen,2001,636.8783333333333,87.66316867161505,156.28,2058,12.4
A.J. Guyton,2001,628.5383333333333,88.42443729903538,223.92,2062,21.7
Eddie House,2001,544.805,84.3981170141224,297.4,2067,23.3
Tyson Chandler,2002,1392.8166666666666,87.08156906607014,500.68,2199,18.099999999999998
Pau Gasol,2002,3001.866666666667,96.20263305471732,1497.88,2200,23.599999999999998
Jason Richardson,2002,2627.845,85.7419547079857,1342.4,2202,22.5
Shane Battier,2002,3098.1,90.6877760938961,1240.52,2203,12.9
Eddie Griffin,2002,1895.4766666666667,85.5042352565127,750.84,2204,19.3
Joe Johnson,2002,1916.736666666667,85.65278924401461,678.32,2207,18.899999999999988
Richard Jefferson,2002,1919.4233333333327,91.08765038055488,814.6,2210,19.5
Troy Murphy,2002,1450.3916666666669,83.38544923910777,575.64,2211,16.400000000000002
Steven Hunter,2002,514.0466666666666,92.48385202583675,204.36,2212,13.5
Jason Collins,2002,1403.1083333333331,82.90695470911503,422.16,2215,12.4
Gerald Wallace,2002,431.7166666666666,79.63542625667465,217.24,2222,19.5
Jamaal Tinsley,2002,2443.415,67.54569002734206,1111.84,2224,15.7
Tony Parker,2002,2271.1783333333333,81.93863319386332,860.4,2225,22.5
Trenton Hassell,2002,2235.5783333333334,87.40181734175266,779.16,2239,11.1
Terence Morris,2002,1115.2966666666666,73.63132363132364,346.32,2242,15.0
Bobby Simmons,2002,339.69666666666666,91.6530278232406,122.2,2250,16.0
Loren Woods,2002,515.7033333333334,69.44444444444444,158.4,2254,13.600000000000001
Jarron Collins,2002,1444.6616666666666,94.01637974260404,478.64,2260,14.000000000000002
Kenny Satterfield,2002,559.8583333333333,69.42403761387011,272.24,2261,20.599999999999998
Yao Ming,2003,2381.893333333333,96.73688268900494,1141.24,2397,24.9
Jay Williams,2003,1961.19,77.03595011005136,926.84,2398,
Drew Gooden,2003,1875.57,85.76077155290704,1020.28,2400,22.399999999999988
Nikoloz Tskitishvili,2003,1319.9883333333332,62.302215189873415,505.6,2401,20.599999999999998
Dajuan Wagner,2003,1384.9083333333333,82.71962125197265,760.4,2402,23.0
Nenê,2003,2258.3283333333334,88.31207107069176,950.04,2403,16.900000000000002
Amar'e Stoudemire,2003,2569.938333333333,89.77564206630085,1231.96,2405,27.3
Caron Butler,2003,2855.651666666666,86.46508279337652,1389.0,2406,18.3
Melvin Ely,2003,802.9716666666667,87.87607983318439,268.56,2408,16.6
Kareem Rush,2003,874.7516666666667,71.58173562058526,317.12,2416,18.0
Qyntel Woods,2003,334.9783333333333,85.44726301735646,149.8,2417,21.2
Vincent Yarbrough,2003,1379.2516666666668,75.706720369956,536.28,2428,
Dan Gadzuric,2003,759.3583333333333,85.94385679414158,196.64,2429,15.6
Carlos Boozer,2003,2047.9583333333333,100.5611560808462,805.48,2430,19.6
Lonny Baxter,2003,683.6466666666666,88.12054352213104,297.32,2437,16.8
Rasual Butler,2003,1515.2966666666666,77.72468190454258,694.76,2446,19.6
LeBron James,2004,3126.865,84.07034665040155,1967.4,2544,29.2
Carmelo Anthony,2004,2991.2316666666666,88.78023674729799,1943.0,2546,28.599999999999998
Chris Bosh,2004,2516.485,91.04174597132344,945.72,2547,21.7
Dwyane Wade,2004,2135.85,87.59988685382929,1131.28,2548,30.2
Chris Kaman,2004,1850.2966666666664,76.47743992153016,652.48,2549,18.5
Kirk Hinrich,2004,2709.268333333333,83.11230607128583,1100.92,2550,22.1
T.J. Ford,2004,1484.0883333333334,67.39984830724677,580.12,2551,
Jarvis Hayes,2004,2043.963333333333,79.3519784936094,848.12,2553,17.7
Marcus Banks,2004,1377.5166666666669,76.84426229508198,624.64,2556,16.6
Žarko Čabarkapa,2004,574.5916666666667,74.00116652085156,274.32,2560,21.4
David West,2004,929.0383333333332,87.72493573264782,311.2,2561,19.1
Sasha Pavlović,2004,1136.5083333333334,79.58996583048588,479.96,2562,17.8
Boris Diaw,2004,1915.235,71.26187697949658,479.92,2564,15.299999999999999
Zoran Planinić,2004,466.7433333333333,79.9373040752351,191.4,2565,21.899999999999988
Brian Cook,2004,437.77166666666665,91.00516674495069,170.32,2567,19.0
Leandro Barbosa,2004,1500.565,89.16412684002336,616.8399999999999,2571,18.4
Josh Howard,2004,1586.435,87.15818832231855,659.72,2572,18.2
Luke Walton,2004,717.955,80.42151968940654,216.36,2575,14.799999999999999
Steve Blake,2004,1387.243333333333,78.656462585034,564.48,2581,16.5
Willie Green,2004,767.5016666666667,80.59516429014259,451.64,2584,22.6
Keith Bogans,2004,1786.045,86.71124111993315,574.3199999999999,2586,21.3
Dwight Howard,2005,2678.443333333333,95.82698394092134,1023.72,2730,21.099999999999998
Emeka Okafor,2005,2599.63,86.40102586557407,1278.92,2731,21.6
Ben Gordon,2005,2013.0933333333328,90.7554379776602,1360.8,2732,25.8
Devin Harris,2005,1176.67,88.38076704775806,493.32,2734,21.099999999999998
Josh Childress,2005,2371.7716666666665,94.9814038887058,849.64,2735,13.69999999999999
Luol Deng,2005,1661.07,85.22318646018124,834.28,2736,20.200000000000003
Rafael Araújo,2005,735.595,78.02547770700637,251.2,2737,15.1
Andre Iguodala,2005,2680.843333333333,95.31772575250837,777.4,2738,14.499999999999998
Andris Biedriņš,2005,382.305,101.3011152416357,107.6,2740,11.0
Sebastian Telfair,2005,1330.14,74.97718085799974,613.52,2742,21.7
Kris Humphries,2005,869.0166666666667,72.50156478197371,383.44,2743,18.7
Al Jefferson,2005,1044.215,96.07605177993528,494.4,2744,21.5
Josh Smith,2005,2049.9416666666666,84.98953974895397,841.28,2746,18.7
J.R. Smith,2005,1863.5216666666668,84.28177271943439,927.84,2747,21.5
Jameer Nelson,2005,1614.9766666666667,86.98616301383699,792.08,2749,24.4
Tony Allen,2005,1254.4733333333334,92.67631103074142,530.88,2754,18.099999999999998
Beno Udrih,2005,1155.2,93.05357989568516,506.16,2757,24.2
David Harrison,2005,759.9083333333333,95.2930984695351,277.04,2758,19.8
