season,position_group,shot_type,metric,value
2001,Forward,3p,attempts,45.5
2001,Forward,3p,makes,13.25
2001,Forward,3p,pct,0.29120879120879123
2001,Forward,fg,attempts,511.25
2001,Forward,fg,makes,237.75
2001,Forward,fg,pct,0.4650366748166259
2001,Forward,ft,attempts,156.25
2001,Forward,ft,makes,92.5
2001,Forward,ft,pct,0.592
2001,Forward-Center,3p,attempts,4.0
2001,Forward-Center,3p,makes,0.0
2001,Forward-Center,3p,pct,0.0
2001,Forward-Center,fg,attempts,339.0
2001,Forward-Center,fg,makes,153.0
2001,Forward-Center,fg,pct,0.45132743362831856
2001,Forward-Center,ft,attempts,141.0
2001,Forward-Center,ft,makes,85.0
2001,Forward-Center,ft,pct,0.6028368794326241
2001,Forward-Guard,3p,attempts,127.0
2001,Forward-Guard,3p,makes,41.0
2001,Forward-Guard,3p,pct,0.3228346456692913
2001,Forward-Guard,fg,attempts,390.0
2001,Forward-Guard,fg,makes,146.0
2001,Forward-Guard,fg,pct,0.37435897435897436
2001,Forward-Guard,ft,attempts,87.0
2001,Forward-Guard,ft,makes,64.0
2001,Forward-Guard,ft,pct,0.735632183908046
2001,Guard,3p,attempts,86.5
2001,Guard,3p,makes,30.833333333333332
2001,Guard,3p,pct,0.35645472061657035
2001,Guard,fg,attempts,404.6666666666667
2001,Guard,fg,makes,167.83333333333334
2001,Guard,fg,pct,0.41474464579901155
2001,Guard,ft,attempts,78.83333333333333
2001,Guard,ft,makes,60.0
2001,Guard,ft,pct,0.7610993657505285
2001,Guard-Forward,3p,attempts,364.0
2001,Guard-Forward,3p,makes,148.0
2001,Guard-Forward,3p,pct,0.4065934065934066
2001,Guard-Forward,fg,attempts,845.0
2001,Guard-Forward,fg,makes,368.0
2001,Guard-Forward,fg,pct,0.43550295857988164
2001,Guard-Forward,ft,attempts,128.0
2001,Guard-Forward,ft,makes,91.0
2001,Guard-Forward,ft,pct,0.7109375
2002,Center,3p,attempts,1.6666666666666667
2002,Center,3p,makes,0.3333333333333333
2002,Center,3p,pct,0.2
2002,Center,fg,attempts,233.6
2002,Center,fg,makes,105.2
2002,Center,fg,pct,0.4503424657534247
2002,Center,ft,attempts,144.2
2002,Center,ft,makes,96.4
2002,Center,ft,pct,0.6685159500693482
2002,Center-Forward,3p,attempts,5.0
2002,Center-Forward,3p,makes,1.0
2002,Center-Forward,3p,pct,0.2
2002,Center-Forward,fg,attempts,1064.0
2002,Center-Forward,fg,makes,551.0
2002,Center-Forward,fg,pct,0.5178571428571429
2002,Center-Forward,ft,attempts,477.0
2002,Center-Forward,ft,makes,338.0
2002,Center-Forward,ft,pct,0.7085953878406709
2002,Forward,3p,attempts,125.2
2002,Forward,3p,makes,42.0
2002,Forward,3p,pct,0.3354632587859425
2002,Forward,fg,attempts,497.6
2002,Forward,fg,makes,208.8
2002,Forward,fg,pct,0.41961414790996787
2002,Forward,ft,attempts,142.0
2002,Forward,ft,makes,99.2
2002,Forward,ft,pct,0.6985915492957746
2002,Forward-Center,3p,attempts,9.0
2002,Forward-Center,3p,makes,3.0
2002,Forward-Center,3p,pct,0.3333333333333333
2002,Forward-Center,fg,attempts,423.0
2002,Forward-Center,fg,makes,178.0
2002,Forward-Center,fg,pct,0.42080378250591016
2002,Forward-Center,ft,attempts,156.0
2002,Forward-Center,ft,makes,121.0
2002,Forward-Center,ft,pct,0.7756410256410257
2002,Forward-Guard,3p,attempts,165.0
2002,Forward-Guard,3p,makes,60.0
2002,Forward-Guard,3p,pct,0.36363636363636365
2002,Forward-Guard,fg,attempts,628.0
2002,Forward-Guard,fg,makes,267.0
2002,Forward-Guard,fg,pct,0.4251592356687898
2002,Forward-Guard,ft,attempts,114.0
2002,Forward-Guard,ft,makes,87.0
2002,Forward-Guard,ft,pct,0.7631578947368421
2002,Guard,3p,attempts,159.25
2002,Guard,3p,makes,48.0
2002,Guard,3p,pct,0.30141287284144425
2002,Guard,fg,attempts,672.0
2002,Guard,fg,makes,273.5
2002,Guard,fg,pct,0.4069940476190476
2002,Guard,ft,attempts,150.5
2002,Guard,ft,makes,104.0
2002,Guard,ft,pct,0.6910299003322259
2002,Guard-Forward,3p,attempts,130.0
2002,Guard-Forward,3p,makes,38.0
2002,Guard-Forward,3p,pct,0.2923076923076923
2002,Guard-Forward,fg,attempts,584.0
2002,Guard-Forward,fg,makes,251.0
2002,Guard-Forward,fg,pct,0.4297945205479452
2002,Guard-Forward,ft,attempts,53.0
2002,Guard-Forward,ft,makes,41.0
2002,Guard-Forward,ft,pct,0.7735849056603774
2003,Center,3p,attempts,1.5
2003,Center,3p,makes,0.5
2003,Center,3p,pct,0.3333333333333333
2003,Center,fg,attempts,475.0
2003,Center,fg,makes,235.5
2003,Center,fg,pct,0.4957894736842105
2003,Center,ft,attempts,213.5
2003,Center,ft,makes,165.0
2003,Center,ft,pct,0.7728337236533958
2003,Center-Forward,3p,attempts,3.0
2003,Center-Forward,3p,makes,0.0
2003,Center-Forward,3p,pct,0.0
2003,Center-Forward,fg,attempts,402.5
2003,Center-Forward,fg,makes,206.5
2003,Center-Forward,fg,pct,0.5130434782608696
2003,Center-Forward,ft,attempts,207.5
2003,Center-Forward,ft,makes,124.5
2003,Center-Forward,ft,pct,0.6
2003,Forward,3p,attempts,79.85714285714286
2003,Forward,3p,makes,22.285714285714285
2003,Forward,3p,pct,0.27906976744186046
2003,Forward,fg,attempts,575.1428571428571
2003,Forward,fg,makes,243.0
2003,Forward,fg,pct,0.4225037257824143
2003,Forward,ft,attempts,159.0
2003,Forward,ft,makes,121.57142857142857
2003,Forward,ft,pct,0.7646001796945193
2003,Forward-Center,3p,attempts,10.0
2003,Forward-Center,3p,makes,2.0
2003,Forward-Center,3p,pct,0.2
2003,Forward-Center,fg,attempts,830.0
2003,Forward-Center,fg,makes,392.0
2003,Forward-Center,fg,pct,0.472289156626506
2003,Forward-Center,ft,attempts,484.0
2003,Forward-Center,ft,makes,320.0
2003,Forward-Center,ft,pct,0.6611570247933884
2003,Forward-Guard,3p,attempts,9.0
2003,Forward-Guard,3p,makes,3.0
2003,Forward-Guard,3p,pct,0.3333333333333333
2003,Forward-Guard,fg,attempts,118.0
2003,Forward-Guard,fg,makes,59.0
2003,Forward-Guard,fg,pct,0.5
2003,Forward-Guard,ft,attempts,20.0
2003,Forward-Guard,ft,makes,7.0
2003,Forward-Guard,ft,pct,0.35
2003,Guard,3p,attempts,148.0
2003,Guard,3p,makes,46.333333333333336
2003,Guard,3p,pct,0.3130630630630631
2003,Guard,fg,attempts,511.3333333333333
2003,Guard,fg,makes,197.33333333333334
2003,Guard,fg,pct,0.3859191655801825
2003,Guard,ft,attempts,114.66666666666667
2003,Guard,ft,makes,82.33333333333333
2003,Guard,ft,pct,0.7180232558139535
2004,Center,3p,attempts,2.0
2004,Center,3p,makes,0.0
2004,Center,3p,pct,0.0
2004,Center,fg,attempts,435.0
2004,Center,fg,makes,200.0
2004,Center,fg,pct,0.45977011494252873
2004,Center,ft,attempts,142.0
2004,Center,ft,makes,99.0
2004,Center,ft,pct,0.6971830985915493
2004,Center-Forward,3p,attempts,15.5
2004,Center-Forward,3p,makes,3.0
2004,Center-Forward,3p,pct,0.1935483870967742
2004,Center-Forward,fg,attempts,227.0
2004,Center-Forward,fg,makes,103.5
2004,Center-Forward,fg,pct,0.45594713656387664
2004,Center-Forward,ft,attempts,60.5
2004,Center-Forward,ft,makes,38.5
2004,Center-Forward,ft,pct,0.6363636363636364
2004,Forward,3p,attempts,102.83333333333333
2004,Forward,3p,makes,31.666666666666668
2004,Forward,3p,pct,0.3079416531604538
2004,Forward,fg,attempts,790.8333333333334
2004,Forward,fg,makes,337.3333333333333
2004,Forward,fg,pct,0.4265542676501581
2004,Forward,ft,attempts,249.16666666666666
2004,Forward,ft,makes,187.0
2004,Forward,ft,pct,0.7505016722408027
2004,Forward-Center,3p,attempts,32.0
2004,Forward-Center,3p,makes,6.0
2004,Forward-Center,3p,pct,0.1875
2004,Forward-Center,fg,attempts,197.0
2004,Forward-Center,fg,makes,81.0
2004,Forward-Center,fg,pct,0.41116751269035534
2004,Forward-Center,ft,attempts,53.0
2004,Forward-Center,ft,makes,35.0
2004,Forward-Center,ft,pct,0.660377358490566
2004,Forward-Guard,3p,attempts,66.0
2004,Forward-Guard,3p,makes,20.0
2004,Forward-Guard,3p,pct,0.30303030303030304
2004,Forward-Guard,fg,attempts,532.0
2004,Forward-Guard,fg,makes,229.0
2004,Forward-Guard,fg,pct,0.43045112781954886
2004,Forward-Guard,ft,attempts,138.0
2004,Forward-Guard,ft,makes,97.0
2004,Forward-Guard,ft,pct,0.7028985507246377
2004,Guard,3p,attempts,143.14285714285714
2004,Guard,3p,makes,52.714285714285715
2004,Guard,3p,pct,0.36826347305389223
2004,Guard,fg,attempts,527.8571428571429
2004,Guard,fg,makes,218.42857142857142
2004,Guard,fg,pct,0.4138024357239513
2004,Guard,ft,attempts,131.14285714285714
2004,Guard,ft,makes,101.14285714285714
2004,Guard,ft,pct,0.7712418300653595
2004,Guard-Forward,3p,attempts,128.5
2004,Guard-Forward,3p,makes,43.0
2004,Guard-Forward,3p,pct,0.3346303501945525
2004,Guard-Forward,fg,attempts,415.0
2004,Guard-Forward,fg,makes,166.0
2004,Guard-Forward,fg,pct,0.4
2004,Guard-Forward,ft,attempts,93.5
2004,Guard-Forward,ft,makes,65.0
2004,Guard-Forward,ft,pct,0.6951871657754011
2005,Center,3p,attempts,2.0
2005,Center,3p,makes,0.25
2005,Center,3p,pct,0.125
2005,Center,fg,attempts,361.8
2005,Center,fg,makes,174.0
2005,Center,fg,pct,0.48092868988391374
2005,Center,ft,attempts,132.8
2005,Center,ft,makes,81.6
2005,Center,ft,pct,0.6144578313253012
2005,Center-Forward,3p,attempts,2.0
