season,position_group,metric,value,shot_type
2001,Forward,attempts,6.931607204285223,fg
2001,Forward-Center,attempts,4.2375,fg
2001,Forward-Guard,attempts,5.0,fg
2001,Guard,attempts,6.432979686524768,fg
2001,Guard-Forward,attempts,10.304878048780488,fg
2001,Unknown,attempts,8.972222222222221,fg
2002,Center,attempts,3.433132931379012,fg
2002,Center-Forward,attempts,12.975609756097562,fg
2002,Forward,attempts,7.06644411147619,fg
2002,Forward-Center,attempts,5.158536585365853,fg
2002,Forward-Guard,attempts,8.051282051282051,fg
2002,Guard,attempts,9.237869769119769,fg
2002,Guard-Forward,attempts,7.584415584415584,fg
2002,Unknown,attempts,4.25,fg
2003,Center,attempts,6.388128422100547,fg
2003,Center-Forward,attempts,5.657211538461539,fg
2003,Forward,attempts,7.965198141469328,fg
2003,Forward-Center,attempts,10.121951219512194,fg
2003,Forward-Guard,attempts,2.2264150943396226,fg
2003,Guard,attempts,8.405400024884907,fg
2004,Center,attempts,5.304878048780488,fg
2004,Center-Forward,attempts,4.073496240601504,fg
2004,Forward,attempts,10.251683662573706,fg
2004,Forward-Center,attempts,4.020408163265306,fg
2004,Forward-Guard,attempts,7.940298507462686,fg
2004,Guard,attempts,7.925838539844627,fg
2004,Guard-Forward,attempts,5.489335876538928,fg
2004,Unknown,attempts,2.63265306122449,fg
2005,Center,attempts,5.756416117669184,fg
2005,Center-Forward,attempts,8.25609756097561,fg
2005,Forward,attempts,6.285812358112945,fg
2005,Forward-Center,attempts,4.326086956521739,fg
2005,Forward-Guard,attempts,8.025,fg
2005,Guard,attempts,6.978575989624264,fg
2005,Guard-Forward,attempts,5.84225530566994,fg
2006,Center,attempts,7.390243902439025,fg
2006,Center-Forward,attempts,7.434782608695652,fg
2006,Forward,attempts,6.832341820047835,fg
2006,Forward-Center,attempts,9.846153846153847,fg
2006,Forward-Guard,attempts,4.102564102564103,fg
2006,Guard,attempts,8.12025904612195,fg
2006,Guard-Forward,attempts,4.850746268656716,fg
2007,Center-Forward,attempts,7.241577352688464,fg
2007,Forward,attempts,4.862583982296227,fg
2007,Forward-Center,attempts,2.232142857142857,fg
2007,Forward-Guard,attempts,9.743589743589743,fg
2007,Guard,attempts,6.428148705470377,fg
2008,Center,attempts,3.3442622950819674,fg
2008,Center-Forward,attempts,8.246913580246913,fg
2008,Forward,attempts,8.527894503496956,fg
2008,Forward-Center,attempts,4.028303357430971,fg
2008,Guard,attempts,5.8313926477530575,fg
2008,Guard-Forward,attempts,6.151898734177215,fg
2009,Center,attempts,5.116533721940993,fg
2009,Center-Forward,attempts,5.16,fg
2009,Forward,attempts,7.426532116198355,fg
2009,Forward-Center,attempts,7.864053326421685,fg
2009,Guard,attempts,11.310860006127138,fg
2009,Guard-Forward,attempts,6.118143459915612,fg
2009,Unknown,attempts,6.841269841269841,fg
2010,Center,attempts,1.9264705882352942,fg
2010,Center-Forward,attempts,6.036585365853658,fg
2010,Forward,attempts,5.290238714176242,fg
2010,Forward-Center,attempts,4.276595744680851,fg
2010,Forward-Guard,attempts,6.2125,fg
2010,Guard,attempts,8.37822098749009,fg
2010,Guard-Forward,attempts,9.030464968821134,fg
2011,Center,attempts,12.395061728395062,fg
2011,Center-Forward,attempts,4.7830238726790455,fg
2011,Forward,attempts,4.241314857981525,fg
2011,Forward-Center,attempts,4.625383141762452,fg
2011,Forward-Guard,attempts,6.421718854097268,fg
2011,Guard,attempts,10.043478260869566,fg
2011,Guard-Forward,attempts,7.061757348342715,fg
2012,Center,attempts,3.9942279942279946,fg
2012,Center-Forward,attempts,7.366666666666666,fg
2012,Forward,attempts,5.857980652388547,fg
2012,Guard,attempts,8.675137233299683,fg
2013,Center-Forward,attempts,3.456140350877193,fg
2013,Forward,attempts,5.149433320434963,fg
2013,Forward-Center,attempts,7.278911004454483,fg
2013,Forward-Guard,attempts,7.421052631578948,fg
2013,Guard,attempts,7.6642266033459885,fg
2014,Forward,attempts,5.347876699571614,fg
2014,Forward-Center,attempts,6.049128919860627,fg
2014,Guard,attempts,8.525570239485626,fg
2014,Guard-Forward,attempts,5.09074074074074,fg
2015,Center,attempts,6.17741935483871,fg
2015,Forward,attempts,7.8765595684803,fg
2015,Forward-Guard,attempts,2.696969696969697,fg
2015,Guard,attempts,6.6278665588776065,fg
2015,Guard-Forward,attempts,7.0,fg
2016,Center,attempts,5.136363636363637,fg
2016,Center-Forward,attempts,12.543385999897735,fg
