Rk,Player,PTS/100 Poss.,MP,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
1,Joel Embiid,38.9,786,PHI,1,3,2014,Kansas,2016-17,22,PHI,31,31,0,1.9,103,102,0.5,1.5,.117,1.9,2.7,4.5,1.3,24.1,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,C,embiijo01
2,Zion Williamson,37.4,668,NOH,1,1,2019,Duke,2019-20,19,NOP,24,24,0,2.0,115,114,1.5,0.4,.141,3.5,-1.4,2.1,0.7,24.1,10.1,13.7,11.9,13.3,1.1,1.1,11.9,30.5,F-C,willizi01
3,Victor Wembanyama,34.3,2106,SAS,1,1,2023,,2023-24,20,SAS,71,71,0,3.7,104,106,-0.7,4.4,.085,1.9,3.3,5.2,3.8,23.1,8.2,30.7,19.4,21.5,2.0,10.0,16.2,32.2,C-F,wembavi01
4,Ben Gordon,32.0,2002,CHI,1,3,2004,Connecticut,2004-05,21,CHI,82,3,0,3.5,100,103,0.8,2.7,.084,1.0,-0.3,0.7,1.4,14.9,3.1,8.9,6.0,16.3,1.4,0.4,13.7,30.4,G,gordobe01
5,Luka Dončić,31.9,2318,ATL,1,3,2018,,2018-19,19,DAL,72,72,0,4.9,107,109,2.1,2.8,.101,3.6,0.3,3.9,3.4,19.6,4.0,21.9,13.0,31.6,1.6,0.9,15.0,30.5,G-F,doncilu01
6,Cam Whitmore,31.9,880,HOU,1,20,2023,Villanova,2023-24,19,HOU,47,2,0,1.5,109,113,0.4,1.1,.082,1.0,-0.9,0.1,0.5,16.6,5.3,16.7,11.0,6.0,1.7,1.8,8.2,27.1,F,whitmca01
7,Kyrie Irving,31.8,1558,CLE,1,1,2011,Duke,2011-12,19,CLE,51,51,0,4.1,109,110,3.4,0.6,.125,4.6,-0.5,4.1,2.4,21.4,3.1,11.2,7.0,36.5,1.8,1.0,16.1,28.7,G,irvinky01
8,Donovan Mitchell,30.7,2638,DEN,1,13,2017,Louisville,2017-18,21,UTA,79,71,0,5.2,103,105,1.4,3.8,.095,0.9,0.3,1.2,2.2,16.7,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,G,mitchdo01
9,Blake Griffin,30.7,3112,LAC,1,1,2009,Oklahoma,2010-11,21,LAC,82,82,1,9.8,111,107,6.5,3.4,.152,3.0,-0.3,2.6,3.6,21.9,10.2,26.9,18.6,18.7,1.0,1.1,11.7,27.3,F-C,griffbl01
10,Michael Beasley,29.8,2009,MIA,1,2,2008,Kansas State,2008-09,20,MIA,81,19,0,3.4,103,108,1.2,2.2,.081,-0.2,-1.5,-1.7,0.1,17.2,6.5,19.8,13.1,7.7,1.1,1.5,10.2,27.7,F,beaslmi01
11,Carmelo Anthony,29.6,2995,DEN,1,3,2003,Syracuse,2003-04,19,DEN,82,82,0,6.1,102,105,3.7,2.4,.098,1.6,-1.6,0.1,1.6,17.6,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,F,anthoca01
12,Jaden Hardy,29.5,708,SAC,2,37,2022,,2022-23,20,DAL,48,5,0,0.7,108,118,0.2,0.5,.048,-0.4,-1.9,-2.3,0.0,14.6,1.8,13.0,7.3,14.9,1.2,0.9,11.1,26.4,G,hardyja02
13,Rodrigue Beaubois,29.4,700,OKC,1,25,2009,,2009-10,21,DAL,56,16,0,2.0,111,107,1.1,0.8,.134,1.3,0.2,1.5,0.6,18.5,2.0,10.7,6.4,18.6,2.1,1.3,14.4,24.7,G,beaubro01
14,Immanuel Quickley,29.4,1243,OKC,1,25,2020,Kentucky,2020-21,21,NYK,64,3,0,3.2,113,111,1.8,1.4,.125,1.4,-0.5,0.9,0.9,15.8,2.2,9.7,6.0,16.2,1.2,0.9,8.1,25.6,G,quickim01
15,Jared McCain,29.3,592,PHI,1,16,2024,Duke,2024-25,20,PHI,23,8,0,0.7,113,123,0.6,0.1,.057,1.8,-1.6,0.2,0.3,15.2,2.4,8.6,5.4,16.7,1.2,0.0,11.0,24.7,G,mccaija01
16,Marcus Thornton,29.3,1872,MIA,2,43,2009,Louisiana State,2009-10,22,NOH,73,17,0,4.0,111,112,3.1,0.9,.103,2.3,-1.4,0.9,1.4,17.4,4.4,8.9,6.6,10.3,1.6,0.4,7.3,25.3,G,thornma01
17,Kevin Durant,29.2,2768,OKC,1,2,2007,Texas,2007-08,19,SEA,80,80,0,2.3,100,110,0.4,1.9,.040,0.5,-0.7,-0.1,1.3,15.8,2.8,10.9,6.9,12.0,1.4,1.9,12.9,28.1,F-G,duranke01
18,Karl-Anthony Towns,28.8,2627,MIN,1,1,2015,Kentucky,2015-16,20,MIN,82,82,0,8.3,112,106,5.5,2.8,.151,2.5,-0.4,2.2,2.7,22.5,10.3,27.5,19.0,11.3,1.1,4.3,12.6,24.9,C-F,townska01
19,Trae Young,28.6,2503,DAL,1,5,2018,Oklahoma,2018-19,20,ATL,81,81,0,3.3,107,117,2.5,0.7,.062,2.3,-2.8,-0.6,0.9,17.0,2.6,10.2,6.3,40.5,1.3,0.5,17.6,28.4,G,youngtr01
20,Jahlil Okafor,28.6,1591,PHI,1,3,2015,Duke,2015-16,20,PHI,53,48,0,1.2,99,110,0.3,0.9,.037,-0.5,-1.8,-2.3,-0.1,17.1,8.1,17.8,12.8,8.2,0.7,2.9,12.5,27.3,C-F,okafoja01
21,Paolo Banchero,28.6,2430,ORL,1,1,2022,Duke,2022-23,20,ORL,72,72,0,2.4,105,114,-0.3,2.6,.047,-0.7,-0.7,-1.5,0.3,14.9,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,F,banchpa01
22,Kon Knueppel,28.6,1216,CHA,1,4,2025,Duke,2025-26,20,CHO,37,36,0,2.7,120,120,2.0,0.6,.106,2.3,-1.3,1.0,0.9,16.0,3.6,14.4,9.1,16.8,1.0,0.6,13.4,22.5,G-F,knuepko01
23,Anthony Edwards,28.4,2314,MIN,1,1,2020,Georgia,2020-21,19,MIN,72,55,0,0.8,102,116,-0.6,1.4,.017,-0.4,-1.7,-2.1,-0.1,13.9,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,G-F,edwaran01
24,Michael Porter Jr.,28.0,903,DEN,1,14,2018,Missouri,2019-20,21,DEN,55,8,0,2.9,118,109,1.8,1.1,.154,2.4,-0.8,1.5,0.8,19.8,8.2,23.9,16.1,7.9,1.5,2.6,10.6,22.3,F,portemi01
25,LeBron James,28.0,3122,CLE,1,1,2003,,2003-04,19,CLE,79,79,0,5.1,99,104,2.4,2.6,.078,2.3,-0.6,1.7,2.9,18.3,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,F-G,jamesle01
26,Bennedict Mathurin,27.8,2222,IND,1,6,2022,Arizona,2022-23,20,IND,78,17,0,1.8,109,121,1.0,0.8,.038,-1.2,-2.5,-3.7,-1.0,13.1,4.4,11.5,7.9,7.6,1.0,0.5,11.7,24.6,G-F,mathube01
27,GG Jackson II,27.7,1233,MEM,2,45,2023,South Carolina,2023-24,19,MEM,48,18,0,1.2,107,117,0.2,1.1,.048,-0.2,-1.8,-2.0,0.0,13.7,4.5,13.2,8.7,8.0,1.1,1.8,9.3,24.2,F,jacksgg01
28,Tyreke Evans,27.7,2677,SAC,1,4,2009,Memphis,2009-10,20,SAC,72,72,0,5.4,107,110,3.3,2.1,.097,1.3,0.0,1.3,2.2,18.2,2.8,13.6,8.1,26.1,2.1,0.7,13.6,26.2,G-F,evansty01
29,Marvin Bagley III,27.4,1567,SAC,1,2,2018,Duke,2018-19,19,SAC,62,4,0,3.6,111,110,2.0,1.6,.110,0.5,-1.5,-1.0,0.4,18.9,10.4,20.8,15.5,5.9,1.0,3.2,10.7,24.2,F-C,baglema01
30,Chet Holmgren,27.0,2413,OKC,1,2,2022,Gonzaga,2023-24,21,OKC,82,82,0,8.9,122,108,4.6,4.4,.178,1.8,1.5,3.4,3.3,20.4,6.2,23.1,15.0,11.6,1.1,7.3,10.9,21.6,F-C,holmgch01
31,Channing Frye,27.0,1572,NYK,1,8,2005,Arizona,2005-06,22,NYK,65,14,0,3.5,110,110,2.6,0.9,.108,0.7,-1.4,-0.7,0.5,18.1,10.6,18.5,14.5,6.6,1.0,2.5,11.6,24.2,C-F,fryech01
32,Isaiah Jackson,26.9,541,LAL,1,22,2021,Kentucky,2021-22,20,IND,36,15,0,1.4,113,109,0.7,0.7,.126,-1.6,0.0,-1.6,0.0,20.5,12.2,18.7,15.4,2.9,2.3,8.4,14.0,22.5,C-F,jacksis01
33,Ja Morant,26.9,2074,MEM,1,2,2019,Murray State,2019-20,20,MEM,67,67,0,3.8,109,113,2.3,1.5,.088,1.4,-1.2,0.3,1.2,17.4,2.6,10.4,6.6,35.2,1.3,0.8,17.0,25.9,G,moranja01
34,Jonathan Kuminga,26.8,1185,GSW,1,7,2021,,2021-22,19,GSW,70,12,0,3.0,112,108,1.3,1.8,.123,-1.3,-0.2,-1.5,0.1,15.2,5.1,16.1,10.8,8.4,1.3,1.8,12.0,22.7,F,kuminjo01
35,Klay Thompson,26.7,1608,GSW,1,11,2011,Washington State,2011-12,21,GSW,66,29,0,1.7,102,111,1.4,0.3,.050,0.3,-1.7,-1.4,0.2,14.9,1.7,9.6,5.7,14.2,1.6,1.0,12.0,24.7,G-F,thompkl01
36,LaMelo Ball,26.7,1469,CHA,1,3,2020,,2020-21,19,CHO,51,31,0,2.8,108,110,1.0,1.9,.093,1.1,0.7,1.8,1.4,17.5,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,G,ballla01
37,Stephon Castle,26.6,2162,SAS,1,4,2024,Connecticut,2024-25,20,SAS,81,47,0,1.1,106,119,0.1,1.0,.025,-1.5,-1.7,-3.2,-0.6,13.7,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26.0,G,castlst01
38,Brandon Miller,26.5,2383,CHA,1,2,2023,Alabama,2023-24,21,CHO,74,68,0,0.8,105,121,-0.3,1.0,.015,-0.9,-1.6,-2.6,-0.3,13.0,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,F-G,millebr02
39,Dion Waiters,26.5,1756,CLE,1,4,2012,Syracuse,2012-13,21,CLE,61,48,0,0.9,99,111,0.3,0.6,.026,-0.4,-1.8,-2.1,-0.1,13.7,1.4,8.8,4.9,18.4,1.7,0.7,11.8,26.1,G,waitedi01
40,Jaren Jackson Jr.,26.2,1515,MEM,1,4,2018,Michigan State,2018-19,19,MEM,58,56,0,3.3,108,107,1.2,2.2,.105,-1.2,1.0,-0.3,0.7,16.4,5.3,15.0,10.1,7.2,1.7,5.1,12.7,22.8,F,jacksja02
41,Bones Hyland,26.1,1310,DEN,1,26,2021,VCU,2021-22,21,DEN,69,4,0,2.4,109,112,1.1,1.3,.088,0.3,-0.7,-0.4,0.5,14.4,1.2,14.4,8.0,21.2,1.5,1.4,12.1,23.8,G,hylanbo01
42,Collin Sexton,26.1,2605,CLE,1,8,2018,Alabama,2018-19,20,CLE,82,72,0,-0.6,101,121,-0.1,-0.5,-0.011,-1.4,-3.3,-4.7,-1.8,12.0,2.3,8.0,5.0,15.3,0.8,0.2,12.3,25.2,G,sextoco01
43,Nikola Mirotić,26.1,1654,HOU,1,23,2011,,2014-15,23,CHI,82,3,0,5.7,111,101,3.0,2.7,.165,1.4,1.0,2.3,1.8,17.9,4.3,21.8,13.3,9.7,1.7,2.4,10.6,22.8,F,mirotni01
44,Cade Cunningham,26.0,2088,DET,1,1,2021,Oklahoma State,2021-22,20,DET,64,64,0,-0.5,96,113,-2.4,1.9,-0.011,-1.1,-0.5,-1.6,0.2,13.1,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,G,cunnica01
45,Cooper Flagg,26.0,1285,DAL,1,1,2025,Duke,2025-26,19,DAL,37,37,0,2.5,111,113,0.8,1.7,.094,-0.1,0.8,0.7,0.9,16.5,3.9,15.7,10.0,19.0,1.7,1.9,11.5,23.4,F-G,flaggco01
46,Nick Young,26.0,1158,WAS,1,16,2007,Southern California,2007-08,22,WAS,75,2,0,0.4,98,112,-0.1,0.6,.017,-2.6,-2.1,-4.7,-0.8,11.6,2.3,9.6,5.8,9.6,1.6,0.5,15.0,24.9,G-F,youngni01
47,Damian Lillard,25.9,3167,POR,1,6,2012,Weber State,2012-13,22,POR,82,82,0,5.8,108,112,5.1,0.7,.088,2.1,-1.9,0.3,1.8,16.4,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,G,lillada01
48,Willie Green,25.9,767,OKC,2,41,2003,Detroit Mercy,2003-04,22,PHI,53,0,0,0.0,89,105,-0.7,0.6,-0.003,-2.6,-1.2,-3.8,-0.3,10.8,2.5,7.5,5.0,14.1,1.8,0.5,13.1,27.7,G,greenwi01
49,O.J. Mayo,25.9,3120,MIN,1,3,2008,Southern California,2008-09,21,MEM,82,82,0,3.4,103,112,1.5,1.8,.052,0.2,-1.4,-1.3,0.6,14.2,2.2,10.1,6.1,15.5,1.6,0.3,13.8,24.5,G,mayooj01
50,Kristaps Porziņģis,25.8,2047,NYK,1,4,2015,,2015-16,20,NYK,72,72,0,4.4,103,103,1.5,2.9,.102,0.6,0.3,0.9,1.5,17.7,7.1,20.7,14.0,7.9,1.3,5.0,10.9,24.6,C-F,porzikr01
51,Brandon Roy,25.8,2015,MIN,1,6,2006,Washington,2006-07,22,POR,57,55,0,4.8,112,111,3.8,1.0,.114,2.3,-0.3,2.0,2.0,18.0,3.5,12.1,7.7,20.9,1.8,0.4,11.8,23.0,G,roybr01
52,Jalen Green,25.8,2138,HOU,1,2,2021,,2021-22,19,HOU,67,67,0,0.7,105,120,0.5,0.2,.015,-0.5,-2.4,-2.9,-0.5,12.5,1.7,10.0,5.8,13.1,1.0,0.8,11.3,23.7,G,greenja05
53,Marreese Speights,25.7,1263,PHI,1,16,2008,Florida,2008-09,21,PHI,79,2,0,3.8,115,107,2.4,1.5,.146,-0.6,-0.8,-1.4,0.2,17.9,11.6,16.3,13.9,4.2,1.1,3.6,7.6,21.9,C-F,speigma01
54,Dennis Smith Jr.,25.7,2049,DAL,1,9,2017,NC State,2017-18,20,DAL,69,69,0,-0.7,93,110,-2.4,1.7,-0.017,-1.2,-1.2,-2.4,-0.2,12.8,2.6,11.8,7.0,29.5,1.7,0.8,14.9,28.9,G,smithde03
